test_case_id,screen,check_item,expected,actual,result,evidence,notes
PL!-PR-005#A01#P3_draw_discard,private,mode choices,source card and two non-duplicated choices are visible,"PL!-PR-005 source, 登場時, draw/discard and opponent-wait buttons visible",UI_PASS,screenshots/PL_-PR-005_opponent_wait_choice_ui.png,same choice popup used before draw branch selection
PL!-PR-005#A01#P3_draw_discard,private,discard candidate list,drawn hand card appears; source on stage is not a discard candidate,LL-bp1-001 button only; PL!-PR-005 source shown but not selectable,UI_PASS,screenshots/PL_-PR-005_draw_discard_candidate_ui.png,
PL!-PR-005#A01#P3_draw_discard,private,resolved cleanup,popup closes and selected card moves to waiting room,LL-bp1-001 shown in Waiting room; no pending popup,UI_PASS,screenshots/PL_-PR-005_draw_discard_resolved_ui.png,
PL!-PR-006#A01#P3_draw_discard,private,draw/discard shared UI route,same effect family as PL!-PR-005 with separate state execution already passed,not separately screen-captured; representative PL!-PR-005 UI route verified,UI_REPRESENTATIVE_PASS_SHARED_ROUTE,screenshots/PL_-PR-005_draw_discard_candidate_ui.png,state/cleanup/undo for this card is separately saved
PL!-PR-008#A01#P3_draw_discard,private,draw/discard shared UI route,same effect family as PL!-PR-005 with separate state execution already passed,not separately screen-captured; representative PL!-PR-005 UI route verified,UI_REPRESENTATIVE_PASS_SHARED_ROUTE,screenshots/PL_-PR-005_draw_discard_candidate_ui.png,state/cleanup/undo for this card is separately saved
PL!-PR-005#A01#P3_opponent_wait_count0,private,mode choices,source card and two non-duplicated choices are visible,"PL!-PR-005 source, 登場時, opponent-wait branch visible",UI_REPRESENTATIVE_PASS_SHARED_ROUTE,screenshots/PL_-PR-005_opponent_wait_choice_ui.png,
PL!-PR-005#A01#P3_opponent_wait_count0,private,opponent count prompt,count prompt uses current aggregate opponent-count model with 0..3 buttons,0 input available in 0..3 prompt,UI_REPRESENTATIVE_PASS_SHARED_ROUTE,screenshots/PL_-PR-005_opponent_wait_count_ui.png,v2: individual opponent card state is not required
PL!-PR-005#A01#P3_opponent_wait_count1,private,mode choices,source card and two non-duplicated choices are visible,"PL!-PR-005 source, 登場時, opponent-wait branch visible",UI_REPRESENTATIVE_PASS_SHARED_ROUTE,screenshots/PL_-PR-005_opponent_wait_choice_ui.png,
PL!-PR-005#A01#P3_opponent_wait_count1,private,opponent count prompt,count prompt uses current aggregate opponent-count model with 0..3 buttons,1 input available in 0..3 prompt,UI_REPRESENTATIVE_PASS_SHARED_ROUTE,screenshots/PL_-PR-005_opponent_wait_count_ui.png,v2: individual opponent card state is not required
PL!-PR-005#A01#P3_opponent_wait_count2,private,mode choices,source card and two non-duplicated choices are visible,"PL!-PR-005 source, 登場時, opponent-wait branch visible",UI_PASS,screenshots/PL_-PR-005_opponent_wait_choice_ui.png,
PL!-PR-005#A01#P3_opponent_wait_count2,private,opponent count prompt,count prompt uses current aggregate opponent-count model with 0..3 buttons,2 input applied; private display becomes 2/3,UI_PASS,screenshots/PL_-PR-005_opponent_wait_count_ui.png,v2: individual opponent card state is not required
PL!-PR-005#A01#P3_opponent_wait_existing1_plus2,private,mode choices,source card and two non-duplicated choices are visible,"PL!-PR-005 source, 登場時, opponent-wait branch visible",UI_REPRESENTATIVE_PASS_SHARED_ROUTE,screenshots/PL_-PR-005_opponent_wait_choice_ui.png,
PL!-PR-005#A01#P3_opponent_wait_existing1_plus2,private,opponent count prompt,count prompt uses current aggregate opponent-count model with 0..3 buttons,same prompt; state run confirms existing 1 plus input 2 clamps/applies to aggregate count,UI_REPRESENTATIVE_PASS_SHARED_ROUTE,screenshots/PL_-PR-005_opponent_wait_count_ui.png,v2: individual opponent card state is not required
PL!-PR-005#A01#P3_opponent_wait_count2,private,resolved display,input 2 is reflected in private Opponent wait display,Opponent wait shows 2/3; popup closed,UI_PASS,screenshots/PL_-PR-005_opponent_wait_resolved_ui.png,
PL!-PR-005#A01#P3_opponent_wait_count2,private,undo display,undo restores count prompt and Opponent wait 0/3,prompt restored; Opponent wait shows 0/3,UI_PASS,screenshots/PL_-PR-005_opponent_wait_after_undo_ui.png,
PL!-PR-005#A01#P3_opponent_wait_count2,public,public aggregate display,public view matches aggregate opponent_wait_count,PUBLIC VIEW shows Opponent wait 2/3,UI_PASS,screenshots/PL_-PR-005_opponent_wait_public_ui.png,
PL!-PR-005#A01#P3_choice_required,private,choice required popup,mandatory mode choice remains visible; no silent skip in UI,choice popup with two buttons visible,UI_PASS,screenshots/PL_-PR-005_opponent_wait_choice_ui.png,state test covers next/no-selection behavior
LL-bp1-001#A01#P3_candidate_multi,private,candidate filter,member candidates visible; live card not selectable,LL-bp2-001 and LL-bp3-001 buttons visible; LL-bp5-001 live has no button,UI_PASS,screenshots/LL-bp1-001_candidate_multi_ui.png,
LL-bp1-001#A01#P3_candidate_multi,private,resolved cleanup,selected member moves to hand; popup closes,LL-bp2-001 shown in hand; candidate popup closed,UI_PASS,screenshots/LL-bp1-001_candidate_multi_resolved_ui.png,public reveal notice remains as expected
LL-bp1-001#A01#P3_candidate_zero,private,no valid target,no invalid live candidate; explicit no-target confirmation shown,message says no matching card in waiting room; confirm button visible,UI_PASS,screenshots/LL-bp1-001_candidate_zero_ui.png,
LL-bp1-001#A01#P3_candidate_zero,private,no-target cleanup,confirm closes popup and no pending remains,popup closed after 確認,UI_PASS,screenshots/LL-bp1-001_candidate_zero_resolved_ui.png,
LL-bp1-001#A01#P3_candidate_one,private,single candidate shared route,same LL green-room member filter route as candidate_multi; state execution separately passed,not separately screen-captured; representative candidate_multi UI verified,UI_REPRESENTATIVE_PASS_SHARED_ROUTE,screenshots/LL-bp1-001_candidate_multi_ui.png,
