canonical_id,trigger,family,positive_setup_id,negative_setup_id,route_confidence,condition_expected,condition_observed,condition_satisfied,trigger_executed,pending_sequence_completed,expected_effect_delta,actual_effect_delta,effect_completed,cleanup_applicable,cleanup_passed,undo_applicable,undo_passed,ui_required,browser_checked,browser_passed,pilot_status,reason,evidence
PL!S-bp3-016#A01,常時,success_zone_reference,evidence/PL_S_bp3_016_A01/positive,evidence/PL_S_bp3_016_A01/negative,STRONG_FAMILY_MATCH,own success zone has exactly 2 live cards,positive_success_count=2; negative_success_count=1,true,true,true,effective_cost positive 6 vs negative 5,effective_cost positive=6 negative=5,true,false,not_applicable,false,not_applicable,false,false,false,IMPLEMENTED_AND_REACHABLE,pilot exact delta matched,evidence/PL_S_bp3_016_A01/positive; evidence/PL_S_bp3_016_A01/negative; evidence/PL_S_bp3_016_A01/pending_steps
PL!SP-bp4-003#A02,常時,blade_continuous,evidence/PL_SP_bp4_003_A02/positive,evidence/PL_SP_bp4_003_A02/negative,WEAK_GLOBAL_PRESENCE,source card is on stage C,source_present_positive=True,true,true,true,always_blade_bonus +2 on source slot,always_blade_bonus=0,false,false,not_applicable,false,not_applicable,false,false,false,TRIGGER_REACHED_RESOLVER_BLOCKED,pilot did not reach exact expected delta; see evidence logs and pending steps,evidence/PL_SP_bp4_003_A02/positive; evidence/PL_SP_bp4_003_A02/negative; evidence/PL_SP_bp4_003_A02/pending_steps
PL!-bp3-002#A02,常時,opponent_reference,evidence/PL_bp3_002_A02/positive,evidence/PL_bp3_002_A02/negative,STRONG_FAMILY_MATCH,opponent_wait_count is set to 2 through aggregate input,opponent_wait_count=2,true,true,true,per opponent wait member: blade/heart count positive 2 vs negative 0,always_blade_bonus positive=2 negative=0,true,false,not_applicable,false,not_applicable,false,false,false,IMPLEMENTED_AND_REACHABLE,pilot exact delta matched,evidence/PL_bp3_002_A02/positive; evidence/PL_bp3_002_A02/negative; evidence/PL_bp3_002_A02/pending_steps
PL!SP-bp1-001#A01,常時,other,evidence/PL_SP_bp1_001_A01/positive,evidence/PL_SP_bp1_001_A01/negative,WEAK_GLOBAL_PRESENCE,source is alone on stage,stage_member_count=1,true,true,true,live confirm sends set live to green / no LIVE_PERF,phase_after_confirm=LIVE_CONFIRM; set_zone=['PL!N-bp1-029']; green_count=0,false,false,not_applicable,false,not_applicable,false,false,false,RULE_INTERPRETATION_REQUIRED,pilot did not reach exact expected delta; see evidence logs and pending steps,evidence/PL_SP_bp1_001_A01/positive; evidence/PL_SP_bp1_001_A01/negative; evidence/PL_SP_bp1_001_A01/pending_steps
PL!N-pb1-003#A01,起動,activated,evidence/PL_N_pb1_003_A01/positive,evidence/PL_N_pb1_003_A01/negative,STRONG_FAMILY_MATCH,source in hand and a valid target member is on stage,"source_in_hand_initial=PL!N-pb1-003; target_stage={'cardnumber': 'PL!N-bp4-003', 'active': True, 'temp_blade': 0, 'temp_hearts': {}, 'temp_score': 0, 'temp_cost': 0, 'temp_until': '', 'energy_under': 0, 'under_cards': [], 'heart_replace_color': ''}",true,true,true,"hand source moves to green, draw +1, target temp_blade +1",green_has_source=False; temp_blade=0; pending=[],false,true,false,true,true,true,false,false,TRIGGER_REACHED_RESOLVER_BLOCKED,pilot did not reach exact expected delta; see evidence logs and pending steps,evidence/PL_N_pb1_003_A01/positive; evidence/PL_N_pb1_003_A01/negative; evidence/PL_N_pb1_003_A01/pending_steps
PL!SP-bp2-008#A01,起動,activated,evidence/PL_SP_bp2_008_A01/positive,evidence/PL_SP_bp2_008_A01/negative,STRONG_FAMILY_MATCH,"source on stage C, listed cost resources and likely targets are present",see positive/negative metrics,true,true,true,specific effect text must change target active/wait/zone/hand as written,"{""positive"": {""phase"": ""MAIN"", ""hand"": [""PL!N-bp4-030"", ""PL!SP-pb1-014"", ""PL!S-pb1-017"", ""PL!SP-sd1-019"", ""PL!-pb1-015"", ""PL!SP-pb1-014""], ""green_room"": [], ""set_zone"": [], ""stage"": {""L"": {""cardnumber"": ""PL!SP-bp4-003"", ""active"": true, ""temp_blade"": 0, ""temp_hearts"": {}, ""temp_score"": 0, ""temp_cost"": 0, ""temp_until"": """", ""energy_under"": 0, ""under_cards"": [], ""heart_replace_color"": """"}, ""C"": {""cardnumber"": ""PL!SP-bp2-008"", ""active"": true, ""temp_blade"": 0, ""temp_hearts"": {}, ""temp_score"": 0, ""temp_cost"": 0, ""temp_until"": """", ""energy_under"": 0, ""under_cards"": [], ""heart_replace_color"": """"}, ""R"": {""cardnumber"": ""PL!SP-pb2-035"", ""active"": true, ""temp_blade"": 0, ""temp_hearts"": {}, ""temp_score"": 0, ""temp_cost"": 0, ""temp_until"": """", ""energy_under"": 0, ""under_cards"": [], ""heart_replace_color"": """"}}, ""pending"": [], ""always_blade_bonus"": 0, ""always_score_bonus"": 0, ""effective_cost"": 9, ""temp_blade"": 0, ""temp_hearts"": {}, ""can_activate"": false, ""energy_active"": 39, ""energy_wait"": 4, ""opponent_wait_count"": 0, ""opponent_success_count"": 0}, ""negative"": {""phase"": ""MAIN"", ""hand"": [""PL!N-bp4-030"", ""PL!SP-pb1-014"", ""PL!S-pb1-017"", ""PL!SP-sd1-019"", ""PL!-pb1-015"", ""PL!SP-pb1-014""], ""green_room"": [], ""set_zone"": [], ""stage"": {""L"": {""cardnumber"": ""PL!SP-bp4-003"", ""active"": true, ""temp_blade"": 0, ""temp_hearts"": {}, ""temp_score"": 0, ""temp_cost"": 0, ""temp_until"": """", ""energy_under"": 0, ""under_cards"": [], ""heart_replace_color"": """"}, ""C"": {""cardnumber"": ""PL!SP-bp2-008"", ""active"": true, ""temp_blade"": 0, ""temp_hearts"": {}, ""temp_score"": 0, ""temp_cost"": 0, ""temp_until"": """", ""energy_under"": 0, ""under_cards"": [], ""heart_replace_color"": """"}, ""R"": {""cardnumber"": ""PL!SP-pb2-035"", ""active"": true, ""temp_blade"": 0, ""temp_hearts"": {}, ""temp_score"": 0, ""temp_cost"": 0, ""temp_until"": """", ""energy_under"": 0, ""under_cards"": [], ""heart_replace_color"": """"}}, ""pending"": [], ""always_blade_bonus"": 0, ""always_score_bonus"": 0, ""effective_cost"": 9, ""temp_blade"": 0, ""temp_hearts"": {}, ""can_activate"": false, ""energy_active"": 40, ""energy_wait"": 3, ""opponent_wait_count"": 0, ""opponent_success_count"": 0}, ""log_tail"": [""[EXT] effect matchers active: broad generic green pick one to hand"", ""[EXT] loaded llocg_ext extensions"", ""[ACT] C: PL!SP-bp2-008 activated"", ""[COST] paid [E]1 (E active=39 wait=4)"", ""[WARN] activate: unsupported effect_template: このメンバーがいるエリアとは別の自分のエリア1つを選ぶ。このメンバーをそのエリアに移動する。選んだエリアにメンバーがいる場合、そのメンバーは、このメンバーがいたエリアに移動させる。""]}",false,false,not_applicable,true,true,true,true,true,TRIGGER_REACHED_RESOLVER_BLOCKED,pilot did not reach exact expected delta; see evidence logs and pending steps,evidence/PL_SP_bp2_008_A01/positive; evidence/PL_SP_bp2_008_A01/negative; evidence/PL_SP_bp2_008_A01/pending_steps; evidence/PL_SP_bp2_008_A01/browser
PL!N-bp4-008#A01,起動,activated,evidence/PL_N_bp4_008_A01/positive,evidence/PL_N_bp4_008_A01/negative,STRONG_FAMILY_MATCH,"source on stage C, listed cost resources and likely targets are present",see positive/negative metrics,true,true,true,specific effect text must change target active/wait/zone/hand as written,"{""positive"": {""phase"": ""MAIN"", ""hand"": [], ""green_room"": [""PL!N-bp3-009""], ""set_zone"": [], ""stage"": {""L"": null, ""C"": {""cardnumber"": ""PL!N-bp4-008"", ""active"": true, ""temp_blade"": 0, ""temp_hearts"": {}, ""temp_score"": 0, ""temp_cost"": 0, ""temp_until"": """", ""energy_under"": 0, ""under_cards"": [], ""heart_replace_color"": """"}, ""R"": null}, ""pending"": [], ""always_blade_bonus"": 0, ""always_score_bonus"": 0, ""effective_cost"": 5, ""temp_blade"": 0, ""temp_hearts"": {}, ""can_activate"": false, ""energy_active"": 40, ""energy_wait"": 1, ""opponent_wait_count"": 0, ""opponent_success_count"": 0}, ""negative"": {""phase"": ""MAIN"", ""hand"": [""PL!N-bp3-009""], ""green_room"": [], ""set_zone"": [], ""stage"": {""L"": null, ""C"": {""cardnumber"": ""PL!N-bp4-008"", ""active"": true, ""temp_blade"": 0, ""temp_hearts"": {}, ""temp_score"": 0, ""temp_cost"": 0, ""temp_until"": """", ""energy_under"": 0, ""under_cards"": [], ""heart_replace_color"": """"}, ""R"": null}, ""pending"": [], ""always_blade_bonus"": 0, ""always_score_bonus"": 0, ""effective_cost"": 5, ""temp_blade"": 0, ""temp_hearts"": {}, ""can_activate"": false, ""energy_active"": 40, ""energy_wait"": 0, ""opponent_wait_count"": 0, ""opponent_success_count"": 0}, ""log_tail"": [""[EXT] loaded llocg_ext extensions"", ""[ACT] C: PL!N-bp4-008 activated"", ""[PENDING] activate discard 1 then エネルギー1枚か『虹ヶ咲』のメンバー1人をアクティブにする。"", ""[ACT] discard 1 -> PL!N-bp3-009 (remaining=0)"", ""[WARN] PL!N-bp4-008: after-cost effect not matchable エネルギー1枚か『虹ヶ咲』のメンバー1人をアクティブにする。""]}",false,false,not_applicable,true,true,true,true,true,TRIGGER_REACHED_RESOLVER_BLOCKED,pilot did not reach exact expected delta; see evidence logs and pending steps,evidence/PL_N_bp4_008_A01/positive; evidence/PL_N_bp4_008_A01/negative; evidence/PL_N_bp4_008_A01/pending_steps; evidence/PL_N_bp4_008_A01/browser
PL!S-bp7-006#A01,ライブ開始時,live_start,evidence/PL_S_bp7_006_A01/positive,evidence/PL_S_bp7_006_A01/negative,STRONG_FAMILY_MATCH,"source is on stage C, one live card is set from hand, deck order supports effect text",live_set_started=True; source_pending_seen=False; pending_steps=2,true,true,true,temporary heart/blade/score described by source text,"pending=[]; metric={'phase': 'LIVE_CONFIRM', 'hand': ['PL!N-bp3-009'], 'green_room': [], 'set_zone': ['PL!N-bp1-029'], 'stage': {'L': None, 'C': {'cardnumber': 'PL!S-bp7-006', 'active': True, 'temp_blade': 0, 'temp_hearts': {}, 'temp_score': 0, 'temp_cost': 0, 'temp_until': '', 'energy_under': 0, 'under_cards': [], 'heart_replace_color': ''}, 'R': None}, 'pending': [], 'always_blade_bonus': 0, 'always_score_bonus': 0, 'effective_cost': 2, 'temp_blade': 0, 'temp_hearts': {}, 'can_activate': False, 'energy_active': 40, 'energy_wait': 3, 'opponent_wait_count': 0, 'opponent_success_count': 0}",false,true,false,true,false,true,true,true,TRIGGER_REACHED_RESOLVER_BLOCKED,pilot did not reach exact expected delta; see evidence logs and pending steps,evidence/PL_S_bp7_006_A01/positive; evidence/PL_S_bp7_006_A01/negative; evidence/PL_S_bp7_006_A01/pending_steps; evidence/PL_S_bp7_006_A01/browser
PL!SP-bp7-025#A01,ライブ開始時,live_start,evidence/PL_SP_bp7_025_A01/positive,evidence/PL_SP_bp7_025_A01/negative,STRONG_FAMILY_MATCH,"source is on stage C, one live card is set from hand, deck order supports effect text",live_set_started=True; source_pending_seen=False; pending_steps=2,true,true,true,temporary heart/blade/score described by source text,"pending=[]; metric={'phase': 'LIVE_CONFIRM', 'hand': ['PL!N-bp1-029'], 'green_room': [], 'set_zone': ['PL!N-bp1-029'], 'stage': {'L': {'cardnumber': 'PL!SP-bp4-003', 'active': True, 'temp_blade': 0, 'temp_hearts': {}, 'temp_score': 0, 'temp_cost': 0, 'temp_until': '', 'energy_under': 0, 'under_cards': [], 'heart_replace_color': ''}, 'C': {'cardnumber': 'PL!SP-bp7-025', 'active': True, 'temp_blade': 0, 'temp_hearts': {}, 'temp_score': 0, 'temp_cost': 0, 'temp_until': '', 'energy_under': 0, 'under_cards': [], 'heart_replace_color': ''}, 'R': None}, 'pending': [], 'always_blade_bonus': 0, 'always_score_bonus': 0, 'effective_cost': 0, 'temp_blade': 0, 'temp_hearts': {}, 'can_activate': False, 'energy_active': 40, 'energy_wait': 3, 'opponent_wait_count': 0, 'opponent_success_count': 0}",false,true,false,true,false,true,false,false,TRIGGER_REACHED_RESOLVER_BLOCKED,pilot did not reach exact expected delta; see evidence logs and pending steps,evidence/PL_SP_bp7_025_A01/positive; evidence/PL_SP_bp7_025_A01/negative; evidence/PL_SP_bp7_025_A01/pending_steps
PL!S-bp6-009#A01,常時,opponent_reference,evidence/PL_S_bp6_009_A01/positive,evidence/PL_S_bp6_009_A01/negative,STRONG_FAMILY_MATCH,opponent aggregate success count/score satisfies threshold or exceeds own value,opponent_success_count=2,true,true,true,blade or live score bonus equals threshold text,always_blade_bonus positive=2 negative=0,true,false,not_applicable,false,not_applicable,false,false,false,IMPLEMENTED_AND_REACHABLE,pilot exact delta matched,evidence/PL_S_bp6_009_A01/positive; evidence/PL_S_bp6_009_A01/negative; evidence/PL_S_bp6_009_A01/pending_steps
