original_audit_id,canonical_id,cardnumber,cardname,trigger,effect_text,primary_family,secondary_family,setup_id,matcher_route,trigger_reached,resolver_reached,pending_kind,runtime_state_changed,cleanup_checked,undo_checked,ui_required,ui_state_recorded,browser_ui_checked,browser_ui_passed,browser_ui_pending,final_status,reason,recommended_fix_scope,evidence,notes
LL-bp2-001#A02,LL-bp2-001#A02,LL-bp2-001,渡辺曜＆鬼塚夏美＆大沢瑠璃乃,常時,このメンバーはバトンタッチで控え室に置けない。,continuous_attribute,baton_touch / stage_entry_history,LL_bp2_001_A02,NO_MATCH,true,true,,false,false,false,false,true,false,false,false,TRIGGER_REACHED_RESOLVER_BLOCKED,Event-history trigger/hook family has no matching generic route for DB text.,event ledger + resolver family,evidence/state/LL_bp2_001_A02; evidence/ui/LL_bp2_001_A02; evidence/logs/LL_bp2_001_A02.log; evidence/commands/LL_bp2_001_A02.command.sh,db_match=true; phase4_family=常時効果; Continuous/BODY state inspected without mutation; action=state_only
PL!-bp3-002#A02,PL!-bp3-002#A02,PL!-bp3-002,絢瀬絵里,常時,相手のステージにいるウェイト状態のメンバー1人につき、<(ブレード)>を得る。,continuous_attribute,opponent_state_reference,PL_bp3_002_A02,NO_MATCH,true,true,,false,false,false,false,true,false,false,false,BLOCKED_BY_ENGINE_CAPABILITY,Effect needs opponent individual/member/live/hand state beyond current aggregate inputs.,engine capability design,evidence/state/PL_bp3_002_A02; evidence/ui/PL_bp3_002_A02; evidence/logs/PL_bp3_002_A02.log; evidence/commands/PL_bp3_002_A02.command.sh,db_match=true; phase4_family=メンバーをウェイト; Continuous/BODY state inspected without mutation; action=state_only
PL!-bp4-002#A01,PL!-bp4-002#A01,PL!-bp4-002,絢瀬絵里,常時,自分のライブ中のライブカードに、<ライブ開始時>能力も<ライブ成功時>能力も持たないカードがあるかぎり、<紫><紫>を加える。,continuous_attribute,,PL_bp4_002_A01,NO_MATCH,true,true,,false,false,false,false,true,false,false,false,GENERIC_ROUTE_TEXT_NOT_MATCHED,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,generic matcher family,evidence/state/PL_bp4_002_A01; evidence/ui/PL_bp4_002_A01; evidence/logs/PL_bp4_002_A01.log; evidence/commands/PL_bp4_002_A01.command.sh,db_match=true; phase4_family=常時効果; Continuous/BODY state inspected without mutation; action=state_only
PL!-pb1-002#A02,PL!-pb1-002#A02,PL!-pb1-002,絢瀬絵里,常時,相手のステージにいるウェイト状態のメンバー1人につき、<紫>を得る。,continuous_attribute,opponent_state_reference,PL_pb1_002_A02,NO_MATCH,true,true,,false,false,false,false,true,false,false,false,BLOCKED_BY_ENGINE_CAPABILITY,Effect needs opponent individual/member/live/hand state beyond current aggregate inputs.,engine capability design,evidence/state/PL_pb1_002_A02; evidence/ui/PL_pb1_002_A02; evidence/logs/PL_pb1_002_A02.log; evidence/commands/PL_pb1_002_A02.command.sh,db_match=true; phase4_family=メンバーをウェイト; Continuous/BODY state inspected without mutation; action=state_only
PL!HS-bp5-016#A02,PL!HS-bp5-016#A02,PL!HS-bp5-016,桂城泉,常時,相手のステージにウェイト状態のメンバーが2人以上いるかぎり、<紫>を得る。,continuous_attribute,opponent_state_reference,PL_HS_bp5_016_A02,NO_MATCH,true,true,,false,false,false,false,true,false,false,false,GENERIC_ROUTE_TEXT_NOT_MATCHED,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,generic matcher family,evidence/state/PL_HS_bp5_016_A02; evidence/ui/PL_HS_bp5_016_A02; evidence/logs/PL_HS_bp5_016_A02.log; evidence/commands/PL_HS_bp5_016_A02.command.sh,db_match=true; phase4_family=メンバーをウェイト; Continuous/BODY state inspected without mutation; action=state_only
PL!HS-bp6-007#A01,PL!HS-bp6-007#A01,PL!HS-bp6-007,セラス 柳田 リリエンフェルト,BODY,自分のステージに『Edel Note』のメンバーが登場したとき、相手は、自身のステージにいるアクティブ状態のメンバー1人をウェイトにする。,continuous_attribute,opponent_state_reference;baton_touch / stage_entry_history,PL_HS_bp6_007_A01,NO_MATCH,true,true,,false,false,false,false,true,false,false,false,BLOCKED_BY_ENGINE_CAPABILITY,Effect needs opponent individual/member/live/hand state beyond current aggregate inputs.,engine capability design,evidence/state/PL_HS_bp6_007_A01; evidence/ui/PL_HS_bp6_007_A01; evidence/logs/PL_HS_bp6_007_A01.log; evidence/commands/PL_HS_bp6_007_A01.command.sh,db_match=true; phase4_family=メンバーをアクティブ; Continuous/BODY state inspected without mutation; action=state_only
PL!HS-pb1-009#A01,PL!HS-pb1-009#A01,PL!HS-pb1-009,日野下花帆,BODY,自分のステージに『蓮ノ空』のメンバーが登場するたび、ライブ終了時まで、<(ブレード)><(ブレード)>を得る。,continuous_attribute,optional_cost,PL_HS_pb1_009_A01,NO_MATCH,true,true,,false,false,false,false,true,false,false,false,GENERIC_ROUTE_TEXT_NOT_MATCHED,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,generic matcher family,evidence/state/PL_HS_pb1_009_A01; evidence/ui/PL_HS_pb1_009_A01; evidence/logs/PL_HS_pb1_009_A01.log; evidence/commands/PL_HS_pb1_009_A01.command.sh,db_match=true; phase4_family=ブレード付与; Continuous/BODY state inspected without mutation; action=state_only
PL!HS-pb1-015#A01,PL!HS-pb1-015#A01,PL!HS-pb1-015,セラス 柳田 リリエンフェルト,常時,自分のステージにほかのメンバーがいないかぎり、<(ブレード)><(ブレード)><(ブレード)>を失う。,continuous_attribute,,PL_HS_pb1_015_A01,NO_MATCH,true,true,,false,false,false,false,true,false,false,false,GENERIC_ROUTE_TEXT_NOT_MATCHED,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,generic matcher family,evidence/state/PL_HS_pb1_015_A01; evidence/ui/PL_HS_pb1_015_A01; evidence/logs/PL_HS_pb1_015_A01.log; evidence/commands/PL_HS_pb1_015_A01.command.sh,db_match=true; phase4_family=ブレード付与; Continuous/BODY state inspected without mutation; action=state_only
PL!N-bp4-026#A02,PL!N-bp4-026#A02,PL!N-bp4-026,DIVE!,BODY,このカードが表向きでライブカード置き場に置かれたとき、ライブ終了時まで、自分のステージにいる『虹ヶ咲』のメンバー1人は、<(ブレード)><(ブレード)>を得る。,continuous_attribute,optional_cost,PL_N_bp4_026_A02,NO_MATCH,true,true,,false,false,false,false,true,false,false,false,GENERIC_ROUTE_TEXT_NOT_MATCHED,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,generic matcher family,evidence/state/PL_N_bp4_026_A02; evidence/ui/PL_N_bp4_026_A02; evidence/logs/PL_N_bp4_026_A02.log; evidence/commands/PL_N_bp4_026_A02.command.sh,db_match=true; phase4_family=ブレード付与; Continuous/BODY state inspected without mutation; action=state_only
PL!N-bp5-030#A01,PL!N-bp5-030#A01,PL!N-bp5-030,繚乱！ビクトリーロード,BODY,自分のステージにいるメンバーの<ライブ開始時>能力が解決するたび、そのメンバーが<ALL>を持たない場合、ライブ終了時まで、そのメンバーは<ALL>を得る。,continuous_attribute,optional_cost,PL_N_bp5_030_A01,NO_MATCH,true,true,,false,false,false,false,true,false,false,false,GENERIC_ROUTE_TEXT_NOT_MATCHED,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,generic matcher family,evidence/state/PL_N_bp5_030_A01; evidence/ui/PL_N_bp5_030_A01; evidence/logs/PL_N_bp5_030_A01.log; evidence/commands/PL_N_bp5_030_A01.command.sh,db_match=true; phase4_family=ライブ終了時cleanup; Continuous/BODY state inspected without mutation; action=state_only
