test_case_id,audit_id,cardnumber,cardname,trigger,card_type,operation,what_to_verify,source_zone,trigger_operation,condition_success_state,condition_failure_delta,boundary_values,valid_targets,invalid_similar_targets,cost_payment,expected_state_diff,ui_expectation,cleanup_expectation,setup_delta_from_base,env_json,command_path
PL!-PR-005#A01#P2T01,PL!-PR-005#A01,PL!-PR-005,星空凛,登場,MEMBER,play_member,登場 能力が専用初期状態から意図したtrigger/pending/logへ到達するか,hand -> stage C,手札の対象MEMBERをCへ登場させる,対象カードと必要な別LIVE/MEMBERをカードタイプに合う領域へ配置し、energyを十分量にする,対象候補または条件カードを1枚抜く。成立ケースと同一envにしない,成功置き場は0-2枚に制限。検索/閾値効果は直下・ちょうど・超過を個別envで分ける,LL-bp1-001,LL-PR-004,energy 20 active、手札コスト候補は必要時に追加。コスト不足ケースは別envに分離,pending/effect_events/logにsource_cnまたは対象カード由来の記録が増える。解決後は該当領域/数値差分を確認する,pending/popupに発生源と実行中効果のみが表示され、カード番号だけの表示にならない,このターン/このライブ中の一時値はlive終了またはturn遷移で消える,baseはeffect preset。成立ケースのみ対象カードとtrigger用カードを追加,"{""LLOCG_DEBUG_EFFECT_CARD"": ""PL!-PR-005"", ""LLOCG_DEBUG_LIVE_IN_HAND"": ""0"", ""LLOCG_DEBUG_MEMBER_IN_HAND"": ""0"", ""LLOCG_DEBUG_PRESET"": ""effect"", ""LLOCG_START_DEBUG"": ""1"", ""LLOCG_START_DECK_TOP"": ""LL-bp1-001,LL-bp5-001,LL-bp2-001"", ""LLOCG_START_ENERGY_ACTIVE"": ""20"", ""LLOCG_START_ENERGY_WAIT"": ""0"", ""LLOCG_START_HAND"": ""PL!-PR-005"", ""LLOCG_START_HAND_SIZE"": ""0"", ""LLOCG_START_PHASE"": ""MAIN"", ""LLOCG_START_TURN"": ""1""}",debug_commands/candidates/PL_-PR-005_A01_P2T01.command
PL!-PR-006#A01#P2T01,PL!-PR-006#A01,PL!-PR-006,西木野真姫,登場,MEMBER,play_member,登場 能力が専用初期状態から意図したtrigger/pending/logへ到達するか,hand -> stage C,手札の対象MEMBERをCへ登場させる,対象カードと必要な別LIVE/MEMBERをカードタイプに合う領域へ配置し、energyを十分量にする,対象候補または条件カードを1枚抜く。成立ケースと同一envにしない,成功置き場は0-2枚に制限。検索/閾値効果は直下・ちょうど・超過を個別envで分ける,LL-bp1-001,LL-PR-004,energy 20 active、手札コスト候補は必要時に追加。コスト不足ケースは別envに分離,pending/effect_events/logにsource_cnまたは対象カード由来の記録が増える。解決後は該当領域/数値差分を確認する,pending/popupに発生源と実行中効果のみが表示され、カード番号だけの表示にならない,このターン/このライブ中の一時値はlive終了またはturn遷移で消える,baseはeffect preset。成立ケースのみ対象カードとtrigger用カードを追加,"{""LLOCG_DEBUG_EFFECT_CARD"": ""PL!-PR-006"", ""LLOCG_DEBUG_LIVE_IN_HAND"": ""0"", ""LLOCG_DEBUG_MEMBER_IN_HAND"": ""0"", ""LLOCG_DEBUG_PRESET"": ""effect"", ""LLOCG_START_DEBUG"": ""1"", ""LLOCG_START_DECK_TOP"": ""LL-bp1-001,LL-bp5-001,LL-bp2-001"", ""LLOCG_START_ENERGY_ACTIVE"": ""20"", ""LLOCG_START_ENERGY_WAIT"": ""0"", ""LLOCG_START_HAND"": ""PL!-PR-006"", ""LLOCG_START_HAND_SIZE"": ""0"", ""LLOCG_START_PHASE"": ""MAIN"", ""LLOCG_START_TURN"": ""1""}",debug_commands/candidates/PL_-PR-006_A01_P2T01.command
PL!-PR-008#A01#P2T01,PL!-PR-008#A01,PL!-PR-008,小泉花陽,登場,MEMBER,play_member,登場 能力が専用初期状態から意図したtrigger/pending/logへ到達するか,hand -> stage C,手札の対象MEMBERをCへ登場させる,対象カードと必要な別LIVE/MEMBERをカードタイプに合う領域へ配置し、energyを十分量にする,対象候補または条件カードを1枚抜く。成立ケースと同一envにしない,成功置き場は0-2枚に制限。検索/閾値効果は直下・ちょうど・超過を個別envで分ける,LL-bp1-001,LL-PR-004,energy 20 active、手札コスト候補は必要時に追加。コスト不足ケースは別envに分離,pending/effect_events/logにsource_cnまたは対象カード由来の記録が増える。解決後は該当領域/数値差分を確認する,pending/popupに発生源と実行中効果のみが表示され、カード番号だけの表示にならない,このターン/このライブ中の一時値はlive終了またはturn遷移で消える,baseはeffect preset。成立ケースのみ対象カードとtrigger用カードを追加,"{""LLOCG_DEBUG_EFFECT_CARD"": ""PL!-PR-008"", ""LLOCG_DEBUG_LIVE_IN_HAND"": ""0"", ""LLOCG_DEBUG_MEMBER_IN_HAND"": ""0"", ""LLOCG_DEBUG_PRESET"": ""effect"", ""LLOCG_START_DEBUG"": ""1"", ""LLOCG_START_DECK_TOP"": ""LL-bp1-001,LL-bp5-001,LL-bp2-001"", ""LLOCG_START_ENERGY_ACTIVE"": ""20"", ""LLOCG_START_ENERGY_WAIT"": ""0"", ""LLOCG_START_HAND"": ""PL!-PR-008"", ""LLOCG_START_HAND_SIZE"": ""0"", ""LLOCG_START_PHASE"": ""MAIN"", ""LLOCG_START_TURN"": ""1""}",debug_commands/candidates/PL_-PR-008_A01_P2T01.command
LL-bp2-001#A02#P2T01,LL-bp2-001#A02,LL-bp2-001,渡辺曜＆鬼塚夏美＆大沢瑠璃乃,常時,MEMBER,state_only,常時 能力が専用初期状態から意図したtrigger/pending/logへ到達するか,stage C,起動直後、常時補正またはstate表示を確認する,対象カードと必要な別LIVE/MEMBERをカードタイプに合う領域へ配置し、energyを十分量にする,対象候補または条件カードを1枚抜く。成立ケースと同一envにしない,成功置き場は0-2枚に制限。検索/閾値効果は直下・ちょうど・超過を個別envで分ける,LL-bp1-001,LL-PR-004,energy 20 active、手札コスト候補は必要時に追加。コスト不足ケースは別envに分離,pending/effect_events/logにsource_cnまたは対象カード由来の記録が増える。解決後は該当領域/数値差分を確認する,pending/popupに発生源と実行中効果のみが表示され、カード番号だけの表示にならない,このターン/このライブ中の一時値はlive終了またはturn遷移で消える,baseはeffect preset。成立ケースのみ対象カードとtrigger用カードを追加,"{""LLOCG_DEBUG_EFFECT_CARD"": ""LL-bp2-001"", ""LLOCG_DEBUG_LIVE_IN_HAND"": ""0"", ""LLOCG_DEBUG_MEMBER_IN_HAND"": ""0"", ""LLOCG_DEBUG_PRESET"": ""effect"", ""LLOCG_START_DEBUG"": ""1"", ""LLOCG_START_DECK_TOP"": ""LL-bp1-001,LL-bp5-001,LL-bp3-001"", ""LLOCG_START_ENERGY_ACTIVE"": ""20"", ""LLOCG_START_ENERGY_WAIT"": ""0"", ""LLOCG_START_HAND"": ""LL-PR-004"", ""LLOCG_START_HAND_SIZE"": ""0"", ""LLOCG_START_PHASE"": ""MAIN"", ""LLOCG_START_STAGE_C"": ""LL-bp2-001"", ""LLOCG_START_TURN"": ""1""}",debug_commands/candidates/LL-bp2-001_A02_P2T01.command
LL-bp7-001#A01#P2T01,LL-bp7-001#A01,LL-bp7-001,国木田花丸＆優木せつ菜＆嵐千砂都,常時,MEMBER,state_only,常時 能力が専用初期状態から意図したtrigger/pending/logへ到達するか,stage C,起動直後、常時補正またはstate表示を確認する,対象カードと必要な別LIVE/MEMBERをカードタイプに合う領域へ配置し、energyを十分量にする,対象候補または条件カードを1枚抜く。成立ケースと同一envにしない,成功置き場は0-2枚に制限。検索/閾値効果は直下・ちょうど・超過を個別envで分ける,LL-bp1-001,LL-PR-004,energy 20 active、手札コスト候補は必要時に追加。コスト不足ケースは別envに分離,pending/effect_events/logにsource_cnまたは対象カード由来の記録が増える。解決後は該当領域/数値差分を確認する,pending/popupに発生源と実行中効果のみが表示され、カード番号だけの表示にならない,このターン/このライブ中の一時値はlive終了またはturn遷移で消える,baseはeffect preset。成立ケースのみ対象カードとtrigger用カードを追加,"{""LLOCG_DEBUG_EFFECT_CARD"": ""LL-bp7-001"", ""LLOCG_DEBUG_LIVE_IN_HAND"": ""0"", ""LLOCG_DEBUG_MEMBER_IN_HAND"": ""0"", ""LLOCG_DEBUG_PRESET"": ""effect"", ""LLOCG_START_DEBUG"": ""1"", ""LLOCG_START_DECK_TOP"": ""LL-bp1-001,LL-bp5-001,LL-bp2-001"", ""LLOCG_START_ENERGY_ACTIVE"": ""20"", ""LLOCG_START_ENERGY_WAIT"": ""0"", ""LLOCG_START_HAND"": ""LL-PR-004"", ""LLOCG_START_HAND_SIZE"": ""0"", ""LLOCG_START_PHASE"": ""MAIN"", ""LLOCG_START_STAGE_C"": ""LL-bp7-001"", ""LLOCG_START_TURN"": ""1""}",debug_commands/candidates/LL-bp7-001_A01_P2T01.command
PL!-bp3-002#A02#P2T01,PL!-bp3-002#A02,PL!-bp3-002,絢瀬絵里,常時,MEMBER,state_only,常時 能力が専用初期状態から意図したtrigger/pending/logへ到達するか,stage C,起動直後、常時補正またはstate表示を確認する,対象カードと必要な別LIVE/MEMBERをカードタイプに合う領域へ配置し、energyを十分量にする,対象候補または条件カードを1枚抜く。成立ケースと同一envにしない,成功置き場は0-2枚に制限。検索/閾値効果は直下・ちょうど・超過を個別envで分ける,LL-bp1-001,LL-PR-004,energy 20 active、手札コスト候補は必要時に追加。コスト不足ケースは別envに分離,pending/effect_events/logにsource_cnまたは対象カード由来の記録が増える。解決後は該当領域/数値差分を確認する,pending/popupに発生源と実行中効果のみが表示され、カード番号だけの表示にならない,このターン/このライブ中の一時値はlive終了またはturn遷移で消える,baseはeffect preset。成立ケースのみ対象カードとtrigger用カードを追加,"{""LLOCG_DEBUG_EFFECT_CARD"": ""PL!-bp3-002"", ""LLOCG_DEBUG_LIVE_IN_HAND"": ""0"", ""LLOCG_DEBUG_MEMBER_IN_HAND"": ""0"", ""LLOCG_DEBUG_PRESET"": ""effect"", ""LLOCG_START_DEBUG"": ""1"", ""LLOCG_START_DECK_TOP"": ""LL-bp1-001,LL-bp5-001,LL-bp2-001"", ""LLOCG_START_ENERGY_ACTIVE"": ""20"", ""LLOCG_START_ENERGY_WAIT"": ""0"", ""LLOCG_START_HAND"": ""LL-PR-004"", ""LLOCG_START_HAND_SIZE"": ""0"", ""LLOCG_START_PHASE"": ""MAIN"", ""LLOCG_START_STAGE_C"": ""PL!-bp3-002"", ""LLOCG_START_TURN"": ""1""}",debug_commands/candidates/PL_-bp3-002_A02_P2T01.command
PL!-PR-020#A02#P2T01,PL!-PR-020#A02,PL!-PR-020,高坂穂乃果,常時,MEMBER,state_only,常時 能力が専用初期状態から意図したtrigger/pending/logへ到達するか,stage C,起動直後、常時補正またはstate表示を確認する,対象カードと必要な別LIVE/MEMBERをカードタイプに合う領域へ配置し、energyを十分量にする,対象候補または条件カードを1枚抜く。成立ケースと同一envにしない,成功置き場は0-2枚に制限。検索/閾値効果は直下・ちょうど・超過を個別envで分ける,LL-bp1-001,LL-PR-004,energy 20 active、手札コスト候補は必要時に追加。コスト不足ケースは別envに分離,pending/effect_events/logにsource_cnまたは対象カード由来の記録が増える。解決後は該当領域/数値差分を確認する,pending/popupに発生源と実行中効果のみが表示され、カード番号だけの表示にならない,このターン/このライブ中の一時値はlive終了またはturn遷移で消える,baseはeffect preset。成立ケースのみ対象カードとtrigger用カードを追加,"{""LLOCG_DEBUG_EFFECT_CARD"": ""PL!-PR-020"", ""LLOCG_DEBUG_LIVE_IN_HAND"": ""0"", ""LLOCG_DEBUG_MEMBER_IN_HAND"": ""0"", ""LLOCG_DEBUG_PRESET"": ""effect"", ""LLOCG_START_DEBUG"": ""1"", ""LLOCG_START_DECK_TOP"": ""LL-bp1-001,LL-bp5-001,LL-bp2-001"", ""LLOCG_START_ENERGY_ACTIVE"": ""20"", ""LLOCG_START_ENERGY_WAIT"": ""0"", ""LLOCG_START_HAND"": ""LL-PR-004"", ""LLOCG_START_HAND_SIZE"": ""0"", ""LLOCG_START_PHASE"": ""MAIN"", ""LLOCG_START_STAGE_C"": ""PL!-PR-020"", ""LLOCG_START_TURN"": ""1""}",debug_commands/candidates/PL_-PR-020_A02_P2T01.command
PL!-bp4-002#A03#P2T01,PL!-bp4-002#A03,PL!-bp4-002,絢瀬絵里,ライブ成功時,MEMBER,set_live_attempt,ライブ成功時 能力が専用初期状態から意図したtrigger/pending/logへ到達するか,stage C,別LIVEをセットし、必要ならライブ成功処理まで進める,対象カードと必要な別LIVE/MEMBERをカードタイプに合う領域へ配置し、energyを十分量にする,対象候補または条件カードを1枚抜く。成立ケースと同一envにしない,成功置き場は0-2枚に制限。検索/閾値効果は直下・ちょうど・超過を個別envで分ける,LL-bp1-001,LL-PR-004,energy 20 active、手札コスト候補は必要時に追加。コスト不足ケースは別envに分離,pending/effect_events/logにsource_cnまたは対象カード由来の記録が増える。解決後は該当領域/数値差分を確認する,pending/popupに発生源と実行中効果のみが表示され、カード番号だけの表示にならない,このターン/このライブ中の一時値はlive終了またはturn遷移で消える,baseはeffect preset。成立ケースのみ対象カードとtrigger用カードを追加,"{""LLOCG_DEBUG_EFFECT_CARD"": ""PL!-bp4-002"", ""LLOCG_DEBUG_LIVE_IN_HAND"": ""0"", ""LLOCG_DEBUG_MEMBER_IN_HAND"": ""0"", ""LLOCG_DEBUG_PRESET"": ""effect"", ""LLOCG_START_DEBUG"": ""1"", ""LLOCG_START_DECK_TOP"": ""LL-bp1-001,LL-bp5-001,LL-bp2-001"", ""LLOCG_START_ENERGY_ACTIVE"": ""20"", ""LLOCG_START_ENERGY_WAIT"": ""0"", ""LLOCG_START_HAND"": ""LL-PR-004"", ""LLOCG_START_HAND_SIZE"": ""0"", ""LLOCG_START_PHASE"": ""MAIN"", ""LLOCG_START_STAGE_C"": ""PL!-bp4-002"", ""LLOCG_START_TURN"": ""1""}",debug_commands/candidates/PL_-bp4-002_A03_P2T01.command
PL!-bp4-002#A04#P2T01,PL!-bp4-002#A04,PL!-bp4-002,絢瀬絵里,起動,MEMBER,state_only,起動 能力が専用初期状態から意図したtrigger/pending/logへ到達するか,stage C,起動能力UI/操作経路の有無をstateから確認する,対象カードと必要な別LIVE/MEMBERをカードタイプに合う領域へ配置し、energyを十分量にする,対象候補または条件カードを1枚抜く。成立ケースと同一envにしない,成功置き場は0-2枚に制限。検索/閾値効果は直下・ちょうど・超過を個別envで分ける,LL-bp1-001,LL-PR-004,energy 20 active、手札コスト候補は必要時に追加。コスト不足ケースは別envに分離,pending/effect_events/logにsource_cnまたは対象カード由来の記録が増える。解決後は該当領域/数値差分を確認する,pending/popupに発生源と実行中効果のみが表示され、カード番号だけの表示にならない,このターン/このライブ中の一時値はlive終了またはturn遷移で消える,baseはeffect preset。成立ケースのみ対象カードとtrigger用カードを追加,"{""LLOCG_DEBUG_EFFECT_CARD"": ""PL!-bp4-002"", ""LLOCG_DEBUG_LIVE_IN_HAND"": ""0"", ""LLOCG_DEBUG_MEMBER_IN_HAND"": ""0"", ""LLOCG_DEBUG_PRESET"": ""effect"", ""LLOCG_START_DEBUG"": ""1"", ""LLOCG_START_DECK_TOP"": ""LL-bp1-001,LL-bp5-001,LL-bp2-001"", ""LLOCG_START_ENERGY_ACTIVE"": ""20"", ""LLOCG_START_ENERGY_WAIT"": ""0"", ""LLOCG_START_HAND"": ""LL-PR-004"", ""LLOCG_START_HAND_SIZE"": ""0"", ""LLOCG_START_PHASE"": ""MAIN"", ""LLOCG_START_STAGE_C"": ""PL!-bp4-002"", ""LLOCG_START_TURN"": ""1""}",debug_commands/candidates/PL_-bp4-002_A04_P2T01.command
PL!S-bp3-001#A01#P2T01,PL!S-bp3-001#A01,PL!S-bp3-001,高海千歌,起動,MEMBER,state_only,起動 能力が専用初期状態から意図したtrigger/pending/logへ到達するか,stage C,起動能力UI/操作経路の有無をstateから確認する,対象カードと必要な別LIVE/MEMBERをカードタイプに合う領域へ配置し、energyを十分量にする,対象候補または条件カードを1枚抜く。成立ケースと同一envにしない,成功置き場は0-2枚に制限。検索/閾値効果は直下・ちょうど・超過を個別envで分ける,LL-bp1-001,LL-PR-004,energy 20 active、手札コスト候補は必要時に追加。コスト不足ケースは別envに分離,pending/effect_events/logにsource_cnまたは対象カード由来の記録が増える。解決後は該当領域/数値差分を確認する,pending/popupに発生源と実行中効果のみが表示され、カード番号だけの表示にならない,このターン/このライブ中の一時値はlive終了またはturn遷移で消える,baseはeffect preset。成立ケースのみ対象カードとtrigger用カードを追加,"{""LLOCG_DEBUG_EFFECT_CARD"": ""PL!S-bp3-001"", ""LLOCG_DEBUG_LIVE_IN_HAND"": ""0"", ""LLOCG_DEBUG_MEMBER_IN_HAND"": ""0"", ""LLOCG_DEBUG_PRESET"": ""effect"", ""LLOCG_START_DEBUG"": ""1"", ""LLOCG_START_DECK_TOP"": ""LL-bp1-001,LL-bp5-001,LL-bp2-001"", ""LLOCG_START_ENERGY_ACTIVE"": ""20"", ""LLOCG_START_ENERGY_WAIT"": ""0"", ""LLOCG_START_HAND"": ""LL-PR-004"", ""LLOCG_START_HAND_SIZE"": ""0"", ""LLOCG_START_PHASE"": ""MAIN"", ""LLOCG_START_STAGE_C"": ""PL!S-bp3-001"", ""LLOCG_START_TURN"": ""1""}",debug_commands/candidates/PL_S-bp3-001_A01_P2T01.command
