original_audit_id,canonical_id,cardnumber,cardname,trigger,effect_text,previous_status,previous_reason,source_file,card_type,group,unit,cost,score,required_hearts,db_effect_text,db_match
LL-bp2-001#A02,LL-bp2-001#A02,LL-bp2-001,渡辺曜＆鬼塚夏美＆大沢瑠璃乃,常時,このメンバーはバトンタッチで控え室に置けない。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,Aqours / Liella! / 蓮ノ空,,20.0,,0,このメンバーはバトンタッチで控え室に置けない。,true
PL!-bp3-002#A02,PL!-bp3-002#A02,PL!-bp3-002,絢瀬絵里,常時,相手のステージにいるウェイト状態のメンバー1人につき、<(ブレード)>を得る。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,μ's,BiBi,9.0,,0,"相手のステージにいるウェイト状態のメンバー1人につき、<(ブレード)>
を得る。",true
PL!-bp4-002#A01,PL!-bp4-002#A01,PL!-bp4-002,絢瀬絵里,常時,自分のライブ中のライブカードに、<ライブ開始時>能力も<ライブ成功時>能力も持たないカードがあるかぎり、<紫><紫>を加える。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,μ's,BiBi,15.0,,0,"自分のライブ中のライブカードに、
<ライブ開始時>
能力も
<ライブ成功時>
能力も持たないカードがあるかぎり、
<紫>
<紫>
を加える。",true
PL!-bp4-018#A01,PL!-bp4-018#A01,PL!-bp4-018,矢澤にこ,常時,自分の成功ライブカード置き場にあるカードのスコアの合計が相手より高いかぎり、<(ブレード)><(ブレード)>を得る。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,μ's,BiBi,11.0,,0,"自分の成功ライブカード置き場にあるカードのスコアの合計が相手より高いかぎり、<(ブレード)><(ブレード)>
を得る。",true
PL!-bp5-111#A02,PL!-bp5-111#A02,PL!-bp5-111,綺羅ツバサ,起動,手札を1枚控え室に置く：ウェイト状態のメンバー1人をアクティブにする。これにより相手のステージにいるメンバーをアクティブにした場合、自分の控え室からライブカードを1枚控え室に置く。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,A-RISE,,11.0,,0,手札を1枚控え室に置く：ウェイト状態のメンバー1人をアクティブにする。これにより相手のステージにいるメンバーをアクティブにした場合、自分の控え室からライブカードを1枚控え室に置く。,true
PL!-bp6-009#A01,PL!-bp6-009#A01,PL!-bp6-009,矢澤にこ,常時,自分のステージの右サイドエリアと左サイドエリアに、元々持つ<(ブレード)>の数が2つのメンバーがいるかぎり、ライブの合計スコアを+1する。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,μ's,BiBi,9.0,,0,"自分のステージの右サイドエリアと左サイドエリアに、元々持つ
<(ブレード)>
の数が2つのメンバーがいるかぎり、ライブの合計スコアを+1する。",true
PL!-bp6-019#A01,PL!-bp6-019#A01,PL!-bp6-019,Music S.T.A.R.T!!,常時,このカードが自分の成功ライブカード置き場にあるかぎり、元々のコストが17以上の『μ's』のメンバーカードを自分の手札から登場させるためのコストは2減る。この効果は重複しない。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,LIVE,μ's,,,2.0,5,このカードが自分の成功ライブカード置き場にあるかぎり、元々のコストが17以上の『μ's』のメンバーカードを自分の手札から登場させるためのコストは2減る。この効果は重複しない。,true
PL!-bp6-022#A01,PL!-bp6-022#A01,PL!-bp6-022,Dreamin' Go! Go!!,常時,このカードが自分の成功ライブカード置き場にある限り、自分の元々のスコア5以上の『μ's』のライブカードの必要ハートを<任意><任意>減らす。この効果は重複しない。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,LIVE,μ's,,,9.0,20,"このカードが自分の成功ライブカード置き場にある限り、自分の元々のスコア5以上の『μ's』のライブカードの必要ハートを
<任意>
<任意>
減らす。この効果は重複しない。",true
PL!-pb1-002#A02,PL!-pb1-002#A02,PL!-pb1-002,絢瀬絵里,常時,相手のステージにいるウェイト状態のメンバー1人につき、<紫>を得る。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,μ's,BiBi,13.0,,0,"相手のステージにいるウェイト状態のメンバー1人につき、
<紫>
を得る。",true
PL!-pb1-015#A02,PL!-pb1-015#A02,PL!-pb1-015,西木野真姫,BODY,自分のカードの効果によって、相手のステージにいるアクティブ状態のコスト4以下のメンバーがウェイト状態になったとき、カードを1枚引く。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,μ's,BiBi,11.0,,0,自分のカードの効果によって、相手のステージにいるアクティブ状態のコスト4以下のメンバーがウェイト状態になったとき、カードを1枚引く。,true
PL!HS-bp1-003#A01,PL!HS-bp1-003#A01,PL!HS-bp1-003,乙宗梢,常時,自分のステージのエリアすべてに『蓮ノ空』のメンバーが登場しており、かつ名前が異なる場合、「<常時>ライブの合計スコアを+1する。」を得る。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,蓮ノ空,スリーズブーケ,13.0,,0,自分のステージのエリアすべてに『蓮ノ空』のメンバーが登場しており、かつ名前が異なる場合、「<常時>ライブの合計スコアを+1する。」を得る。,true
PL!HS-bp5-016#A02,PL!HS-bp5-016#A02,PL!HS-bp5-016,桂城泉,常時,相手のステージにウェイト状態のメンバーが2人以上いるかぎり、<紫>を得る。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,蓮ノ空,Edel Note,9.0,,0,"相手のステージにウェイト状態のメンバーが2人以上いるかぎり、
<紫>
を得る。",true
PL!HS-bp6-007#A01,PL!HS-bp6-007#A01,PL!HS-bp6-007,セラス 柳田 リリエンフェルト,BODY,自分のステージに『Edel Note』のメンバーが登場したとき、相手は、自身のステージにいるアクティブ状態のメンバー1人をウェイトにする。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,蓮ノ空,Edel Note,15.0,,0,自分のステージに『Edel Note』のメンバーが登場したとき、相手は、自身のステージにいるアクティブ状態のメンバー1人をウェイトにする。,true
PL!HS-pb1-001#A01,PL!HS-pb1-001#A01,PL!HS-pb1-001,日野下花帆,BODY,自分のステージにほかの『スリーズブーケ』のメンバーが登場するたび、<(E)>を支払ってもよい。そうした場合、エネルギーを2枚アクティブにする。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,蓮ノ空,スリーズブーケ,11.0,,0,"自分のステージにほかの『スリーズブーケ』のメンバーが登場するたび、<(E)>
を支払ってもよい。そうした場合、エネルギーを2枚アクティブにする。",true
PL!HS-pb1-003#A02,PL!HS-pb1-003#A02,PL!HS-pb1-003,大沢瑠璃乃,BODY,自分の手札からカードが1枚以上控え室に置かれるたび、ライブ終了時まで、<桃><(ブレード)>を得る。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,蓮ノ空,みらくらぱーく！,15.0,,0,"自分の手札からカードが1枚以上控え室に置かれるたび、ライブ終了時まで、<桃>
<(ブレード)>を得る。",true
PL!HS-pb1-009#A01,PL!HS-pb1-009#A01,PL!HS-pb1-009,日野下花帆,BODY,自分のステージに『蓮ノ空』のメンバーが登場するたび、ライブ終了時まで、<(ブレード)><(ブレード)>を得る。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,蓮ノ空,スリーズブーケ,15.0,,0,"自分のステージに『蓮ノ空』のメンバーが登場するたび、ライブ終了時まで、<(ブレード)><(ブレード)>
を得る。",true
PL!HS-pb1-015#A01,PL!HS-pb1-015#A01,PL!HS-pb1-015,セラス 柳田 リリエンフェルト,常時,自分のステージにほかのメンバーがいないかぎり、<(ブレード)><(ブレード)><(ブレード)>を失う。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,蓮ノ空,Edel Note,9.0,,0,"自分のステージにほかのメンバーがいないかぎり、<(ブレード)><(ブレード)><(ブレード)>
を失う。",true
