original_audit_id,canonical_id,cardnumber,cardname,trigger,effect_text,family,registry_match,engine_parser_match,engine_special_match,server_route_match,resolved_route,trigger_hook_found,trigger_executed,condition_satisfied,resolver_entered,pending_created,expected_delta,actual_delta,effect_completed,expected_state_changed,cleanup_passed,undo_passed,ui_route_checked,browser_checked,browser_representative_id,final_status,reason,positive_evidence,negative_evidence,cleanup_evidence,undo_evidence,notes
LL-bp2-001#A02,LL-bp2-001#A02,LL-bp2-001,渡辺曜＆鬼塚夏美＆大沢瑠璃乃,常時,このメンバーはバトンタッチで控え室に置けない。,stage_entry_or_baton_event,,continuous_blade;continuous_score,,,continuous_blade;continuous_score,true,true,true,true,false,state/log route change,"{""negative_actions"": [""state_json continuous/BODY positive-negative compare""], ""negative_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 20, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""negative_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 20, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_actions"": [""state_json continuous/BODY positive-negative compare""], ""positive_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 20, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 20, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}}",false,true,true,false,false,false,,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,evidence/LL_bp2_001_A02/positive,evidence/LL_bp2_001_A02/negative,evidence/LL_bp2_001_A02/cleanup,evidence/LL_bp2_001_A02/undo,source target retained from previous target_61; browser representative not marked checked; resolved_route=continuous_blade;continuous_score
PL!-bp3-002#A02,PL!-bp3-002#A02,PL!-bp3-002,絢瀬絵里,常時,相手のステージにいるウェイト状態のメンバー1人につき、<(ブレード)>を得る。,opponent_reference_continuous,,continuous_blade;continuous_score;opponent_wait_input,normalized_text_fragment,opponent_wait_count_input,normalized_text_fragment,true,true,true,true,false,blade:+1,"{""negative_actions"": [""state_json continuous/BODY positive-negative compare""], ""negative_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 9, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""negative_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 9, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_actions"": [""state_json continuous/BODY positive-negative compare""], ""positive_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 9, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 9, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}}",false,true,true,false,true,false,,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,evidence/PL_bp3_002_A02/positive,evidence/PL_bp3_002_A02/negative,evidence/PL_bp3_002_A02/cleanup,evidence/PL_bp3_002_A02/undo,source target retained from previous target_61; browser representative not marked checked; resolved_route=normalized_text_fragment
PL!-bp4-002#A01,PL!-bp4-002#A01,PL!-bp4-002,絢瀬絵里,常時,自分のライブ中のライブカードに、<ライブ開始時>能力も<ライブ成功時>能力も持たないカードがあるかぎり、<紫><紫>を加える。,other_tier3,,live_success;continuous_blade;continuous_score,normalized_text_fragment,,normalized_text_fragment,true,true,true,true,false,state/log route change,"{""negative_actions"": [""state_json continuous/BODY positive-negative compare""], ""negative_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 15, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""negative_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 15, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_actions"": [""state_json continuous/BODY positive-negative compare""], ""positive_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 15, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 15, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}}",false,true,true,false,false,false,,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,evidence/PL_bp4_002_A01/positive,evidence/PL_bp4_002_A01/negative,evidence/PL_bp4_002_A01/cleanup,evidence/PL_bp4_002_A01/undo,source target retained from previous target_61; browser representative not marked checked; resolved_route=normalized_text_fragment
PL!-bp4-018#A01,PL!-bp4-018#A01,PL!-bp4-018,矢澤にこ,常時,自分の成功ライブカード置き場にあるカードのスコアの合計が相手より高いかぎり、<(ブレード)><(ブレード)>を得る。,opponent_reference_continuous,,continuous_blade;continuous_score;opponent_success_input;success_zone,cardnumber_reference;normalized_text_fragment,opponent_success_count_input,cardnumber_reference;normalized_text_fragment,true,true,true,true,false,blade:+2,"{""negative_actions"": [""state_json continuous/BODY positive-negative compare""], ""negative_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 11, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""negative_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 11, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_actions"": [""state_json continuous/BODY positive-negative compare""], ""positive_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 11, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [""PL!N-bp1-029"", ""PL!N-bp3-032""], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 11, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [""PL!N-bp1-029"", ""PL!N-bp3-032""], ""temp_blade"": 0, ""temp_hearts"": {}}}",false,true,true,false,true,false,,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,evidence/PL_bp4_018_A01/positive,evidence/PL_bp4_018_A01/negative,evidence/PL_bp4_018_A01/cleanup,evidence/PL_bp4_018_A01/undo,source target retained from previous target_61; browser representative not marked checked; resolved_route=cardnumber_reference;normalized_text_fragment
PL!-bp5-111#A02,PL!-bp5-111#A02,PL!-bp5-111,綺羅ツバサ,起動,手札を1枚控え室に置く：ウェイト状態のメンバー1人をアクティブにする。これにより相手のステージにいるメンバーをアクティブにした場合、自分の控え室からライブカードを1枚控え室に置く。,activated_runtime,,activated;opponent_wait_input,cardnumber_reference,stage_activate_button;hand_activate_button;opponent_wait_count_input,cardnumber_reference,true,true,true,true,true,state/log route change,"{""negative_actions"": [""activate_to_green:C"", ""resolve_pending:PL!N-bp4-030""], ""negative_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 11, ""energy_active"": 0, ""energy_wait"": 3, ""green_count"": 6, ""hand_count"": 5, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""negative_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 11, ""energy_active"": 0, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 6, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_actions"": [""activate_to_green:C"", ""resolve_pending:PL!N-bp3-009""], ""positive_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 11, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 6, ""hand_count"": 3, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 11, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}}",false,true,true,true,true,false,PL_bp5_111_A02,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,evidence/PL_bp5_111_A02/positive,evidence/PL_bp5_111_A02/negative,evidence/PL_bp5_111_A02/cleanup,evidence/PL_bp5_111_A02/undo,source target retained from previous target_61; browser representative not marked checked; resolved_route=cardnumber_reference
PL!-bp6-009#A01,PL!-bp6-009#A01,PL!-bp6-009,矢澤にこ,常時,自分のステージの右サイドエリアと左サイドエリアに、元々持つ<(ブレード)>の数が2つのメンバーがいるかぎり、ライブの合計スコアを+1する。,live_score_continuous,,continuous_blade;continuous_score,,,continuous_blade;continuous_score,true,true,true,true,false,blade:+1;live_score:+1,"{""negative_actions"": [""state_json continuous/BODY positive-negative compare""], ""negative_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 9, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""negative_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 9, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_actions"": [""state_json continuous/BODY positive-negative compare""], ""positive_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 9, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 9, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}}",false,true,true,false,false,false,,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,evidence/PL_bp6_009_A01/positive,evidence/PL_bp6_009_A01/negative,evidence/PL_bp6_009_A01/cleanup,evidence/PL_bp6_009_A01/undo,source target retained from previous target_61; browser representative not marked checked; resolved_route=continuous_blade;continuous_score
PL!-bp6-019#A01,PL!-bp6-019#A01,PL!-bp6-019,Music S.T.A.R.T!!,常時,このカードが自分の成功ライブカード置き場にあるかぎり、元々のコストが17以上の『μ's』のメンバーカードを自分の手札から登場させるためのコストは2減る。この効果は重複しない。,success_zone_continuous,,continuous_blade;continuous_score;success_zone,normalized_text_fragment,,normalized_text_fragment,true,true,true,true,false,state/log route change,"{""negative_actions"": [""state_json continuous/BODY positive-negative compare""], ""negative_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 0, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""negative_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 0, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_actions"": [""state_json continuous/BODY positive-negative compare""], ""positive_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 0, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [""PL!N-bp1-029"", ""PL!N-bp3-032""], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 0, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [""PL!N-bp1-029"", ""PL!N-bp3-032""], ""temp_blade"": 0, ""temp_hearts"": {}}}",false,true,true,false,false,false,,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,evidence/PL_bp6_019_A01/positive,evidence/PL_bp6_019_A01/negative,evidence/PL_bp6_019_A01/cleanup,evidence/PL_bp6_019_A01/undo,source target retained from previous target_61; browser representative not marked checked; resolved_route=normalized_text_fragment
PL!-bp6-022#A01,PL!-bp6-022#A01,PL!-bp6-022,Dreamin' Go! Go!!,常時,このカードが自分の成功ライブカード置き場にある限り、自分の元々のスコア5以上の『μ's』のライブカードの必要ハートを<任意><任意>減らす。この効果は重複しない。,success_zone_continuous,,continuous_blade;continuous_score;success_zone,,,continuous_blade;continuous_score;success_zone,true,true,true,true,false,required_heart/change,"{""negative_actions"": [""state_json continuous/BODY positive-negative compare""], ""negative_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 0, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""negative_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 0, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_actions"": [""state_json continuous/BODY positive-negative compare""], ""positive_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 0, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [""PL!N-bp1-029"", ""PL!N-bp3-032""], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 0, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [""PL!N-bp1-029"", ""PL!N-bp3-032""], ""temp_blade"": 0, ""temp_hearts"": {}}}",false,true,true,false,false,false,,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,evidence/PL_bp6_022_A01/positive,evidence/PL_bp6_022_A01/negative,evidence/PL_bp6_022_A01/cleanup,evidence/PL_bp6_022_A01/undo,source target retained from previous target_61; browser representative not marked checked; resolved_route=continuous_blade;continuous_score;success_zone
PL!-pb1-002#A02,PL!-pb1-002#A02,PL!-pb1-002,絢瀬絵里,常時,相手のステージにいるウェイト状態のメンバー1人につき、<紫>を得る。,opponent_reference_continuous,,continuous_blade;continuous_score;opponent_wait_input,cardnumber_reference;normalized_text_fragment,opponent_wait_count_input,cardnumber_reference;normalized_text_fragment,true,true,true,true,false,state/log route change,"{""negative_actions"": [""state_json continuous/BODY positive-negative compare""], ""negative_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 13, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""negative_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 13, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_actions"": [""state_json continuous/BODY positive-negative compare""], ""positive_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 13, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 13, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}}",false,true,true,false,true,false,,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,evidence/PL_pb1_002_A02/positive,evidence/PL_pb1_002_A02/negative,evidence/PL_pb1_002_A02/cleanup,evidence/PL_pb1_002_A02/undo,source target retained from previous target_61; browser representative not marked checked; resolved_route=cardnumber_reference;normalized_text_fragment
PL!-pb1-015#A02,PL!-pb1-015#A02,PL!-pb1-015,西木野真姫,BODY,自分のカードの効果によって、相手のステージにいるアクティブ状態のコスト4以下のメンバーがウェイト状態になったとき、カードを1枚引く。,opponent_reference_continuous,,continuous_blade;continuous_score;opponent_wait_input,,opponent_wait_count_input,continuous_blade;continuous_score;opponent_wait_input,true,true,true,true,false,draw:+1,"{""negative_actions"": [""state_json continuous/BODY positive-negative compare""], ""negative_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 11, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""negative_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 11, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_actions"": [""state_json continuous/BODY positive-negative compare""], ""positive_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 11, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 11, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}}",false,true,true,false,true,false,,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,evidence/PL_pb1_015_A02/positive,evidence/PL_pb1_015_A02/negative,evidence/PL_pb1_015_A02/cleanup,evidence/PL_pb1_015_A02/undo,source target retained from previous target_61; browser representative not marked checked; resolved_route=continuous_blade;continuous_score;opponent_wait_input
