cardnumber,cardname,card_type,ability_type,trigger,conditions,status,cost_template,effect_template,raw
LL-bp3-001,園田海未＆津島善子＆天王寺璃奈,MEMBER,起動,BODY,ターン1回,implemented_existing_named_green_cost_to_bottom,自分の控え室にある「園田海未」と「津島善子」と「天王寺璃奈」を、合計6枚をシャッフルしてデッキの一番下に置く,エネルギーを6枚までアクティブにする。,自分の控え室にある「園田海未」と「津島善子」と「天王寺璃奈」を、合計6枚をシャッフルしてデッキの一番下に置く：エネルギーを6枚までアクティブにする。
PL!HS-bp6-031,ファンファーレ！！！,LIVE,自動,ライブ開始時,,needs_mass_bottom_threshold,,自分の控え室にあるすべてのメンバーカードをシャッフルし、デッキの下に置いてもよい。これにより『みらくらぱーく！』のカードを15枚以上デッキの下に置いた場合、ライブ終了時まで、自分のステージにいる「安養寺姫芽」1人は<(ブレード)><(ブレード)><(ブレード)>を得る。,自分の控え室にあるすべてのメンバーカードをシャッフルし、デッキの下に置いてもよい。これにより『みらくらぱーく！』のカードを15枚以上デッキの下に置いた場合、ライブ終了時まで、自分のステージにいる「安養寺姫芽」1人は<(ブレード)><(ブレード)><(ブレード)> を得る。
PL!HS-pb1-012,百生吟子,MEMBER,自動,登場,,needs_opponent_mass_bottom,,自分と相手はそれぞれ、自身の控え室にあるすべてのメンバーカードをシャッフルし、自身のデッキの下に置く。これにより自分と相手のカードが合計20枚以上デッキの下に置かれた場合、自分の控え室からライブカードを1枚手札に加え、ライブ終了時まで、<(ブレード)><(ブレード)>を得る。,自分と相手はそれぞれ、自身の控え室にあるすべてのメンバーカードをシャッフルし、自身のデッキの下に置く。これにより自分と相手のカードが合計20枚以上デッキの下に置かれた場合、自分の控え室からライブカードを1枚手札に加え、ライブ終了時まで、<(ブレード)><(ブレード)> を得る。
PL!N-bp3-009,天王寺璃奈,MEMBER,自動,ライブ開始時,,implemented_green_member2_costsum_bottom,控え室にあるメンバーカード2枚を好きな順番でデッキの一番下に置いてもよい,それらのカードのコストの合計が、6の場合、カードを1枚引く。合計が8の場合、ライブ終了時まで、<ALL>を得る。合計が25の場合、ライブ終了時まで、「<常時>ライブの合計スコアを+1する。」を得る。,控え室にあるメンバーカード2枚を好きな順番でデッキの一番下に置いてもよい：それらのカードのコストの合計が、6の場合、カードを1枚引く。合計が8の場合、ライブ終了時まで、<ALL> を得る。合計が25の場合、ライブ終了時まで、「<常時>ライブの合計スコアを+1する。」を得る。
PL!N-bp3-010,三船栞子,MEMBER,自動,ライブ開始時,,needs_opponent_player_choice,,自分か相手を選ぶ。自分は、そのプレイヤーの控え室にあるメンバーカードを2枚まで、好きな順番でデッキの一番下に置く。,自分か相手を選ぶ。自分は、そのプレイヤーの控え室にあるメンバーカードを2枚まで、好きな順番でデッキの一番下に置く。
PL!S-PR-041,黒澤ルビィ,MEMBER,自動,登場,,needs_opponent_player_choice,,自分か相手を選ぶ。自分は、そのプレイヤーの控え室にあるライブカードを1枚、そのプレイヤーのデッキの一番下に置く。そうした場合、自分はカードを1枚引く。,自分か相手を選ぶ。自分は、そのプレイヤーの控え室にあるライブカードを1枚、そのプレイヤーのデッキの一番下に置く。そうした場合、自分はカードを1枚引く。
PL!S-bp2-007,国木田花丸,MEMBER,自動,ライブ開始時,,implemented_hand_live_cost_to_bottom,手札のライブカードを1枚公開し、デッキの一番下に置いてもよい,自分のデッキの上からカードを2枚見る。その中から好きな枚数を好きな順番でデッキの上に置き、残りを控え室に置く。,手札のライブカードを1枚公開し、デッキの一番下に置いてもよい：自分のデッキの上からカードを2枚見る。その中から好きな枚数を好きな順番でデッキの上に置き、残りを控え室に置く。
PL!S-bp2-008,小原鞠莉,MEMBER,自動,登場,,implemented_green_kind_upto_bottom,,自分の控え室からライブカードを1枚までデッキの一番下に置く。,自分の控え室からライブカードを1枚までデッキの一番下に置く。
PL!S-bp2-021,未体験HORIZON,LIVE,自動,ライブ成功時,,implemented_existing_yell_to_bottom,,エールにより公開された自分のカードの中から、ライブカードを1枚までデッキの一番下に置く。,エールにより公開された自分のカードの中から、ライブカードを1枚までデッキの一番下に置く。
PL!S-bp3-007,国木田花丸,MEMBER,起動,BODY,ターン1回,needs_opponent_player_choice,<(E)>,自分か相手を選ぶ。自分は、そのプレイヤーの控え室にあるライブカードを1枚、そのプレイヤーのデッキの一番下に置く。そうした場合、自分はカードを1枚引く。,<(E)>：自分か相手を選ぶ。自分は、そのプレイヤーの控え室にあるライブカードを1枚、そのプレイヤーのデッキの一番下に置く。そうした場合、自分はカードを1枚引く。
