audit_id,cardnumber,audit_text,runtime_text,compiled_text,override_text,difference_type,semantic_impact,runtime_behavior_risk,recommended_source_of_truth,evidence,result,notes
PL!-PR-005#A01,PL!-PR-005,"<登場>
以下から1つを選ぶ。
・カードを1枚引き、手札を1枚控え室に置く。
・相手のステージにいるすべてのコスト2以下のメンバーをウェイトにする。","<登場>
以下から1つを選ぶ。
・カードを1枚引き、手札を1枚控え室に置く。
・相手のステージにいるすべてのコスト2以下のメンバーをウェイトにする。","<登場>
以下から1つを選ぶ。
カードを1枚引き、手札を1枚控え室に置く。
相手のステージにいるすべてのコスト2以下のメンバーをウェイトにする。",,FORMAT_ONLY,none,LOW,runtime_min_value/cards_min_tokv1.json and compiled runtime DB,audit_norm_len=71; runtime_norm_len=71; compiled_norm_len=69; phase2_classification=MIN_COMPILED_DIVERGENCE,REVIEWED,Runtime/DB not modified.
PL!-PR-006#A01,PL!-PR-006,"<登場>
以下から1つを選ぶ。
・カードを1枚引き、手札を1枚控え室に置く。
・相手のステージにいるすべてのコスト2以下のメンバーをウェイトにする。","<登場>
以下から1つを選ぶ。
・カードを1枚引き、手札を1枚控え室に置く。
・相手のステージにいるすべてのコスト2以下のメンバーをウェイトにする。","<登場>
以下から1つを選ぶ。
カードを1枚引き、手札を1枚控え室に置く。
相手のステージにいるすべてのコスト2以下のメンバーをウェイトにする。",,FORMAT_ONLY,none,LOW,runtime_min_value/cards_min_tokv1.json and compiled runtime DB,audit_norm_len=71; runtime_norm_len=71; compiled_norm_len=69; phase2_classification=MIN_COMPILED_DIVERGENCE,REVIEWED,Runtime/DB not modified.
PL!-PR-008#A01,PL!-PR-008,"<登場>
以下から1つを選ぶ。
・カードを1枚引き、手札を1枚控え室に置く。
・相手のステージにいるすべてのコスト2以下のメンバーをウェイトにする。","<登場>
以下から1つを選ぶ。
・カードを1枚引き、手札を1枚控え室に置く。
・相手のステージにいるすべてのコスト2以下のメンバーをウェイトにする。","<登場>
以下から1つを選ぶ。
カードを1枚引き、手札を1枚控え室に置く。
相手のステージにいるすべてのコスト2以下のメンバーをウェイトにする。",,FORMAT_ONLY,none,LOW,runtime_min_value/cards_min_tokv1.json and compiled runtime DB,audit_norm_len=71; runtime_norm_len=71; compiled_norm_len=69; phase2_classification=MIN_COMPILED_DIVERGENCE,REVIEWED,Runtime/DB not modified.
PL!-PR-020#A01,PL!-PR-020,"<ライブ開始時>
<センター>
自分のライブカード置き場にあるライブカードのスコアの合計が8以上の場合、『","<ライブ開始時>
<センター>
自分のライブカード置き場にあるライブカードのスコアの合計が8以上の場合、『
<常時>
ライブの合計スコアを+1する。』を得る。","<ライブ開始時>
【センター】
自分のライブカード置き場にあるライブカードのスコアの合計が8以上の場合、『<常時>ライブの合計スコアを+1する。』を得る。",,SOURCE_DATA_ERROR,audit source differs; runtime/compiled agree,MEDIUM,runtime_min_value/cards_min_tokv1.json and compiled runtime DB,audit_norm_len=51; runtime_norm_len=75; compiled_norm_len=75; phase2_classification=MIN_COMPILED_DIVERGENCE,REVIEWED,Runtime/DB not modified.
PL!-bp4-002#A02,PL!-bp4-002,"<ライブ開始時>
能力も","<常時>
自分のライブ中のライブカードに、
<ライブ開始時>
能力も
<ライブ成功時>
能力も持たないカードがあるかぎり、
<紫>
<紫>
を加える。
<起動>
<ターン1回>
手札を2枚控え室に置く：自分の控え室から『μ's』のライブカードを1枚手札に加える。この能力は、自分の成功ライブカード置き場にあるカードのスコアの合計が6以上の場合のみ起動できる。","<BODY>
【ターン1回】
手札を2枚控え室に置く：自分の控え室から『μ's』のライブカードを1枚手札に加える。この能力は、自分の成功ライブカード置き場にあるカードのスコアの合計が6以上の場合のみ起動できる。",,SEMANTIC_DIFFERENCE,runtime min and compiled normalized text differ; manual review required,HIGH,manual review before choosing source,audit_norm_len=11; runtime_norm_len=168; compiled_norm_len=103; phase2_classification=MIN_COMPILED_DIVERGENCE,REVIEWED,Runtime/DB not modified.
PL!-bp5-024#A01,PL!-bp5-024,"<ライブ開始時>
自分のステージに『A-RISE』のメンバーがいる場合、以下から1つを選ぶ。
・ウェイト状態のメンバー1人をアクティブにし、ライブ終了時まで、そのメンバーは
<(ブレード)>
を得る。
・相手のステージにいる元々持つ
<(ブレード)>
が3つ以下のメンバー1人をウェイトにする。","<ライブ開始時>
自分のステージに『A-RISE』のメンバーがいる場合、以下から1つを選ぶ。
・ウェイト状態のメンバー1人をアクティブにし、ライブ終了時まで、そのメンバーは
<(ブレード)>
を得る。
・相手のステージにいる元々持つ
<(ブレード)>
が3つ以下のメンバー1人をウェイトにする。","<ライブ開始時>
自分のステージに『A-RISE』のメンバーがいる場合、以下から1つを選ぶ。
ウェイト状態のメンバー1人をアクティブにし、ライブ終了時まで、そのメンバーは<(ブレード)>を得る。
相手のステージにいる元々持つ<(ブレード)>が3つ以下のメンバー1人をウェイトにする。",,FORMAT_ONLY,none,LOW,runtime_min_value/cards_min_tokv1.json and compiled runtime DB,audit_norm_len=140; runtime_norm_len=140; compiled_norm_len=138; phase2_classification=MIN_COMPILED_DIVERGENCE,REVIEWED,Runtime/DB not modified.
PL!-bp6-020#A01,PL!-bp6-020,"<自動>
<ターン1回>
自分のステージのセンターエリアにいる『μ's』のメンバーの","<自動>
<ターン1回>
自分のステージのセンターエリアにいる『μ's』のメンバーの
<ライブ開始時>
能力が解決したとき、そのメンバーをポジションチェンジする。
<自動>
<ターン1回>
自分のステージのセンターエリアにいる『μ's』のメンバーの
<ライブ成功時>
能力が解決したとき、そのメンバーがこのターン中に移動している場合、このカードのスコアを+1する。","<BODY>
【ターン1回】
自分のステージのセンターエリアにいる『μ's』のメンバーの<ライブ開始時>能力が解決したとき、そのメンバーをポジションチェンジする。",,SEMANTIC_DIFFERENCE,runtime min and compiled normalized text differ; manual review required,HIGH,manual review before choosing source,audit_norm_len=40; runtime_norm_len=173; compiled_norm_len=79; phase2_classification=MIN_COMPILED_DIVERGENCE,REVIEWED,Runtime/DB not modified.
PL!-bp6-020#A02,PL!-bp6-020,"<ライブ開始時>
能力が解決したとき、そのメンバーをポジションチェンジする。","<自動>
<ターン1回>
自分のステージのセンターエリアにいる『μ's』のメンバーの
<ライブ開始時>
能力が解決したとき、そのメンバーをポジションチェンジする。
<自動>
<ターン1回>
自分のステージのセンターエリアにいる『μ's』のメンバーの
<ライブ成功時>
能力が解決したとき、そのメンバーがこのターン中に移動している場合、このカードのスコアを+1する。","<BODY>
【ターン1回】
自分のステージのセンターエリアにいる『μ's』のメンバーの<ライブ成功時>能力が解決したとき、そのメンバーがこのターン中に移動している場合、このカードのスコアを+1する。",,SEMANTIC_DIFFERENCE,runtime min and compiled normalized text differ; manual review required,HIGH,manual review before choosing source,audit_norm_len=37; runtime_norm_len=173; compiled_norm_len=98; phase2_classification=MIN_COMPILED_DIVERGENCE,REVIEWED,Runtime/DB not modified.
PL!-pb1-013#A01,PL!-pb1-013,"<起動>
<ターン1回>
<(E)>
<(E)>
自分の手札を、相手は見ないで1枚選び公開する。これにより公開されたカードがライブカードの場合、ライブ終了時まで、このメンバーは『","<起動>
<ターン1回>
<(E)>
<(E)>
自分の手札を、相手は見ないで1枚選び公開する。これにより公開されたカードがライブカードの場合、ライブ終了時まで、このメンバーは『
<常時>
ライブの合計スコアを+1する。』を得る。","<BODY>
【ターン1回】
<(E)><(E)>自分の手札を、相手は見ないで1枚選び公開する。これにより公開されたカードがライブカードの場合、ライブ終了時まで、このメンバーは『<常時>ライブの合計スコアを+1する。』を得る。",,SEMANTIC_DIFFERENCE,runtime min and compiled normalized text differ; manual review required,HIGH,manual review before choosing source,audit_norm_len=85; runtime_norm_len=109; compiled_norm_len=111; phase2_classification=MIN_COMPILED_DIVERGENCE,REVIEWED,Runtime/DB not modified.
PL!HS-bp5-022#A01,PL!HS-bp5-022,"<ライブ開始時>
<(E)>
<(E)>
支払ってもよい：自分のステージにコスト9以上の『Edel Note』のメンバーがいる場合、以下から1つを選ぶ。
・自分の控え室からコスト4以下の『Edel Note』のメンバーカードを1枚、メンバーのいないエリアに登場させる。
・このカードの必要ハートを
<紫>
減らす。","<ライブ開始時>
<(E)>
<(E)>
支払ってもよい：自分のステージにコスト9以上の『Edel Note』のメンバーがいる場合、以下から1つを選ぶ。
・自分の控え室からコスト4以下の『Edel Note』のメンバーカードを1枚、メンバーのいないエリアに登場させる。
・このカードの必要ハートを
<紫>
減らす。","<ライブ開始時>
<(E)><(E)>支払ってもよい：自分のステージにコスト9以上の『Edel Note』のメンバーがいる場合、以下から1つを選ぶ。
自分の控え室からコスト4以下の『Edel Note』のメンバーカードを1枚、メンバーのいないエリアに登場させる。
このカードの必要ハートを<紫>減らす。",,FORMAT_ONLY,none,LOW,runtime_min_value/cards_min_tokv1.json and compiled runtime DB,audit_norm_len=148; runtime_norm_len=148; compiled_norm_len=146; phase2_classification=MIN_COMPILED_DIVERGENCE,REVIEWED,Runtime/DB not modified.
