original_audit_id,canonical_id,cardnumber,cardname,trigger,effect_text,primary_family,secondary_family,setup_id,matcher_route,trigger_reached,resolver_reached,pending_kind,runtime_state_changed,cleanup_checked,undo_checked,ui_required,ui_state_recorded,browser_ui_checked,browser_ui_passed,browser_ui_pending,final_status,reason,recommended_fix_scope,evidence,notes
PL!-bp4-018#A01,PL!-bp4-018#A01,PL!-bp4-018,矢澤にこ,常時,自分の成功ライブカード置き場にあるカードのスコアの合計が相手より高いかぎり、<(ブレード)><(ブレード)>を得る。,success_zone_reference,other;opponent_state_reference,PL_bp4_018_A01,NO_MATCH,true,true,,false,false,false,false,true,false,false,false,GENERIC_ROUTE_TEXT_NOT_MATCHED,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,generic matcher family,evidence/state/PL_bp4_018_A01; evidence/ui/PL_bp4_018_A01; evidence/logs/PL_bp4_018_A01.log; evidence/commands/PL_bp4_018_A01.command.sh,db_match=true; phase4_family=ブレード付与; Continuous/BODY state inspected without mutation; action=state_only
PL!-bp6-019#A01,PL!-bp6-019#A01,PL!-bp6-019,Music S.T.A.R.T!!,常時,このカードが自分の成功ライブカード置き場にあるかぎり、元々のコストが17以上の『μ's』のメンバーカードを自分の手札から登場させるためのコストは2減る。この効果は重複しない。,success_zone_reference,other,PL_bp6_019_A01,NO_MATCH,true,true,,false,false,false,false,true,false,false,false,GENERIC_ROUTE_TEXT_NOT_MATCHED,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,generic matcher family,evidence/state/PL_bp6_019_A01; evidence/ui/PL_bp6_019_A01; evidence/logs/PL_bp6_019_A01.log; evidence/commands/PL_bp6_019_A01.command.sh,db_match=true; phase4_family=成功置き場参照; Continuous/BODY state inspected without mutation; action=state_only
PL!-bp6-022#A01,PL!-bp6-022#A01,PL!-bp6-022,Dreamin' Go! Go!!,常時,このカードが自分の成功ライブカード置き場にある限り、自分の元々のスコア5以上の『μ's』のライブカードの必要ハートを<任意><任意>減らす。この効果は重複しない。,success_zone_reference,live_start_required_heart,PL_bp6_022_A01,NO_MATCH,true,true,,false,false,false,false,true,false,false,false,GENERIC_ROUTE_TEXT_NOT_MATCHED,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,generic matcher family,evidence/state/PL_bp6_022_A01; evidence/ui/PL_bp6_022_A01; evidence/logs/PL_bp6_022_A01.log; evidence/commands/PL_bp6_022_A01.command.sh,db_match=true; phase4_family=必要ハート軽減; Continuous/BODY state inspected without mutation; action=state_only
PL!N-PR-024#A01,PL!N-PR-024#A01,PL!N-PR-024,桜坂しずく,常時,自分と相手の成功ライブカード置き場にカードが合計4枚以上あるかぎり、<(ブレード)><(ブレード)>を得る。,success_zone_reference,other;opponent_state_reference,PL_N_PR_024_A01,NO_MATCH,true,true,,false,false,false,false,true,false,false,false,GENERIC_ROUTE_TEXT_NOT_MATCHED,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,generic matcher family,evidence/state/PL_N_PR_024_A01; evidence/ui/PL_N_PR_024_A01; evidence/logs/PL_N_PR_024_A01.log; evidence/commands/PL_N_PR_024_A01.command.sh,db_match=true; phase4_family=ブレード付与; Continuous/BODY state inspected without mutation; action=state_only
PL!N-bp4-012#A01,PL!N-bp4-012#A01,PL!N-bp4-012,鐘嵐珠,常時,相手の成功ライブカード置き場にあるカードのスコアの合計が6以上であるかぎり、ライブの合計スコアを+1する。,success_zone_reference,stage_count_group_unit_name;opponent_state_reference,PL_N_bp4_012_A01,NO_MATCH,true,true,,false,false,false,false,true,false,false,false,GENERIC_ROUTE_TEXT_NOT_MATCHED,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,generic matcher family,evidence/state/PL_N_bp4_012_A01; evidence/ui/PL_N_bp4_012_A01; evidence/logs/PL_N_bp4_012_A01.log; evidence/commands/PL_N_bp4_012_A01.command.sh,db_match=true; phase4_family=スコア加算; Continuous/BODY state inspected without mutation; action=state_only
PL!S-PR-039#A01,PL!S-PR-039#A01,PL!S-PR-039,渡辺曜,常時,自分と相手の成功ライブカード置き場にカードが合計4枚以上あるかぎり、<(ブレード)><(ブレード)>を得る。,success_zone_reference,other;opponent_state_reference,PL_S_PR_039_A01,NO_MATCH,true,true,,false,false,false,false,true,false,false,false,GENERIC_ROUTE_TEXT_NOT_MATCHED,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,generic matcher family,evidence/state/PL_S_PR_039_A01; evidence/ui/PL_S_PR_039_A01; evidence/logs/PL_S_PR_039_A01.log; evidence/commands/PL_S_PR_039_A01.command.sh,db_match=true; phase4_family=ブレード付与; Continuous/BODY state inspected without mutation; action=state_only
PL!S-bp2-001#A01,PL!S-bp2-001#A01,PL!S-bp2-001,高海千歌,常時,自分の成功ライブカード置き場のカードが0枚で、かつ相手の成功ライブカード置き場にカードが1枚以上ある場合、<(ブレード)><(ブレード)><(ブレード)>を得る。,success_zone_reference,other;opponent_state_reference,PL_S_bp2_001_A01,NO_MATCH,true,true,,false,false,false,false,true,false,false,false,GENERIC_ROUTE_TEXT_NOT_MATCHED,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,generic matcher family,evidence/state/PL_S_bp2_001_A01; evidence/ui/PL_S_bp2_001_A01; evidence/logs/PL_S_bp2_001_A01.log; evidence/commands/PL_S_bp2_001_A01.command.sh,db_match=true; phase4_family=ブレード付与; Continuous/BODY state inspected without mutation; action=state_only
PL!S-bp3-016#A01,PL!S-bp3-016#A01,PL!S-bp3-016,国木田花丸,常時,自分の成功ライブカード置き場にあるカード1枚につき、ステージにいるこのメンバーのコストを+1する。,success_zone_reference,other,PL_S_bp3_016_A01,NO_MATCH,true,true,,false,false,false,false,true,false,false,false,GENERIC_ROUTE_TEXT_NOT_MATCHED,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,generic matcher family,evidence/state/PL_S_bp3_016_A01; evidence/ui/PL_S_bp3_016_A01; evidence/logs/PL_S_bp3_016_A01.log; evidence/commands/PL_S_bp3_016_A01.command.sh,db_match=true; phase4_family=成功置き場参照; Continuous/BODY state inspected without mutation; action=state_only
PL!S-bp6-009#A01,PL!S-bp6-009#A01,PL!S-bp6-009,黒澤ルビィ,常時,相手の成功ライブカード置き場にあるカードの枚数が自分より多いかぎり、その差に等しい数の<(ブレード)>を得る。,success_zone_reference,other;opponent_state_reference,PL_S_bp6_009_A01,NO_MATCH,true,true,,false,false,false,false,true,false,false,false,GENERIC_ROUTE_TEXT_NOT_MATCHED,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,generic matcher family,evidence/state/PL_S_bp6_009_A01; evidence/ui/PL_S_bp6_009_A01; evidence/logs/PL_S_bp6_009_A01.log; evidence/commands/PL_S_bp6_009_A01.command.sh,db_match=true; phase4_family=ブレード付与; Continuous/BODY state inspected without mutation; action=state_only
PL!S-pb1-009#A01,PL!S-pb1-009#A01,PL!S-pb1-009,黒澤ルビィ,常時,自分と相手の成功ライブカード置き場にカードが合計3枚以上ある場合、<(ブレード)><(ブレード)><(ブレード)>を得る。,success_zone_reference,other;opponent_state_reference,PL_S_pb1_009_A01,NO_MATCH,true,true,,false,false,false,false,true,false,false,false,GENERIC_ROUTE_TEXT_NOT_MATCHED,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,generic matcher family,evidence/state/PL_S_pb1_009_A01; evidence/ui/PL_S_pb1_009_A01; evidence/logs/PL_S_pb1_009_A01.log; evidence/commands/PL_S_pb1_009_A01.command.sh,db_match=true; phase4_family=ブレード付与; Continuous/BODY state inspected without mutation; action=state_only
