audit_id,cardnumber,cardname,canonical_trigger,setup_valid,activation_action,server_started,trigger_reached,pending_or_computed_observed,resolver_reached,effect_resolved,state_result,cleanup_result,undo_result,ui_result,final_classification,implementation_files,functions,evidence,notes
PL!HS-bp2-020#A01,PL!HS-bp2-020,Link to the FUTURE,常時,YES,computed group alias inspection across runtime card DB,YES,NO,NO,NO,NO,STATE_RECORDED,NOT_COUNTED_NO_EFFECT,NOT_COUNTED_NO_EFFECT,UI_JSON_RECORDED,ROUTE_UNRESOLVED,llocg_ui/engine.py,_card_group_names,_codex_outputs/effect_full_audit_phase4_correction_20260716/tier1/state/PL_HS_bp2_020_A01,
PL!HS-bp5-018#A01,PL!HS-bp5-018,AURORA FLOWER,常時,YES,computed group alias inspection across runtime card DB,YES,NO,NO,NO,NO,STATE_RECORDED,NOT_COUNTED_NO_EFFECT,NOT_COUNTED_NO_EFFECT,UI_JSON_RECORDED,ROUTE_UNRESOLVED,llocg_ui/engine.py,_card_group_names,_codex_outputs/effect_full_audit_phase4_correction_20260716/tier1/state/PL_HS_bp5_018_A01,
PL!HS-bp6-014#A01,PL!HS-bp6-014,安養寺姫芽,起動,YES,hand-only activation route inspection,YES,NO,NO,NO,NO,STATE_RECORDED,NOT_COUNTED_NO_EFFECT,NOT_COUNTED_NO_EFFECT,UI_JSON_RECORDED,UI_ROUTE_MISSING,,,_codex_outputs/effect_full_audit_phase4_correction_20260716/tier1/state/PL_HS_bp6_014_A01,"Legal source zone is hand, but runtime command surface exposes activate_to_green for stage positions only."
PL!HS-sd1-020#A01,PL!HS-sd1-020,Link to the FUTURE（104期Ver.）,常時,YES,computed group alias inspection across runtime card DB,YES,NO,NO,NO,NO,STATE_RECORDED,NOT_COUNTED_NO_EFFECT,NOT_COUNTED_NO_EFFECT,UI_JSON_RECORDED,ROUTE_UNRESOLVED,llocg_ui/engine.py,_card_group_names,_codex_outputs/effect_full_audit_phase4_correction_20260716/tier1/state/PL_HS_sd1_020_A01,
PL!N-PR-003#A01,PL!N-PR-003,上原歩夢,起動,YES,activate_to_green on stage member after no-live hand reveal setup,YES,YES,YES,YES,YES,STATE_RECORDED,CLEANUP_CHECKED_AFTER_EFFECT,UNDO_DIFF_AFTER_EFFECT,UI_JSON_RECORDED,IMPLEMENTED_AND_REACHABLE,llocg_ui/engine.py,cmd_activate_to_green,_codex_outputs/effect_full_audit_phase4_correction_20260716/tier1/state/PL_N_PR_003_A01,
PL!N-PR-008#A01,PL!N-PR-008,近江彼方,起動,YES,activate_to_green on stage member after no-live hand reveal setup,YES,YES,YES,YES,YES,STATE_RECORDED,CLEANUP_CHECKED_AFTER_EFFECT,UNDO_DIFF_AFTER_EFFECT,UI_JSON_RECORDED,IMPLEMENTED_AND_REACHABLE,llocg_ui/engine.py,cmd_activate_to_green,_codex_outputs/effect_full_audit_phase4_correction_20260716/tier1/state/PL_N_PR_008_A01,
PL!N-PR-010#A01,PL!N-PR-010,エマ・ヴェルデ,起動,YES,activate_to_green on stage member after no-live hand reveal setup,YES,YES,YES,YES,YES,STATE_RECORDED,CLEANUP_CHECKED_AFTER_EFFECT,UNDO_DIFF_AFTER_EFFECT,UI_JSON_RECORDED,IMPLEMENTED_AND_REACHABLE,llocg_ui/engine.py,cmd_activate_to_green,_codex_outputs/effect_full_audit_phase4_correction_20260716/tier1/state/PL_N_PR_010_A01,
PL!SP-bp1-003#A01,PL!SP-bp1-003,嵐千砂都,起動,YES,activate_to_green on stage member,YES,YES,NO,NO,NO,STATE_RECORDED,NOT_COUNTED_NO_EFFECT,NOT_COUNTED_NO_EFFECT,UI_JSON_RECORDED,TRIGGER_REACHED_RESOLVER_BLOCKED,llocg_ui/engine.py,cmd_activate_to_green,_codex_outputs/effect_full_audit_phase4_correction_20260716/tier1/state/PL_SP_bp1_003_A01,Activation entered generic command path but effect_template was unsupported.
PL!SP-bp5-011#A01,PL!SP-bp5-011,鬼塚冬毬,常時,NO,excluded row inspection,YES,NO,NO,NO,NO,STATE_RECORDED,NOT_COUNTED_NO_EFFECT,NOT_COUNTED_NO_EFFECT,UI_JSON_RECORDED,SETUP_INVALID,,,_codex_outputs/effect_full_audit_phase4_correction_20260716/tier1/state/PL_SP_bp5_011_A01,FRAGMENT_MERGED_INTO_PARENT
PL!SP-bp5-011#A02,PL!SP-bp5-011,鬼塚冬毬,常時,NO,excluded row inspection,YES,NO,NO,NO,NO,STATE_RECORDED,NOT_COUNTED_NO_EFFECT,NOT_COUNTED_NO_EFFECT,UI_JSON_RECORDED,SETUP_INVALID,,,_codex_outputs/effect_full_audit_phase4_correction_20260716/tier1/state/PL_SP_bp5_011_A02,FRAGMENT_MERGED_INTO_PARENT
PL!SP-bp5-011#A03,PL!SP-bp5-011,鬼塚冬毬,常時,NO,excluded row inspection,YES,NO,NO,NO,NO,STATE_RECORDED,NOT_COUNTED_NO_EFFECT,NOT_COUNTED_NO_EFFECT,UI_JSON_RECORDED,SETUP_INVALID,,,_codex_outputs/effect_full_audit_phase4_correction_20260716/tier1/state/PL_SP_bp5_011_A03,FRAGMENT_MERGED_INTO_PARENT
