cardnumber,cardname,card_type,field,raw,raw_parsed,stored_counts,runtime_counts,stored_blank,runtime_blank_after_patch
LL-PR-004,愛♡スクリ～ム！,LIVE,required,<桃> 3 <赤> 3 <緑> 3 (合計9),"{""green"": 3, ""pink"": 3, ""red"": 3}",{},"{""green"": 3, ""pink"": 3, ""red"": 3}",1,0
LL-PR-004,愛♡スクリ～ム！,LIVE,blade_heart,<ALL>,"{""all"": 1}",{},"{""all"": 1}",1,0
LL-PR-004,愛♡スクリ～ム！,LIVE,blade_heart_tags,<ALL>,"[""(ALL)""]",[],"[""(ALL)""]",1,0
LL-bp1-001,上原歩夢＆澁谷かのん＆日野下花帆,MEMBER,base,<桃> 3 <緑> 3 <紫> 3,"{""green"": 3, ""pink"": 3, ""purple"": 3}",{},"{""green"": 3, ""pink"": 3, ""purple"": 3}",1,0
LL-bp2-001,渡辺曜＆鬼塚夏美＆大沢瑠璃乃,MEMBER,base,<桃> 2 <黄> 2 <緑> 2,"{""green"": 2, ""pink"": 2, ""yellow"": 2}",{},"{""green"": 2, ""pink"": 2, ""yellow"": 2}",1,0
LL-bp3-001,園田海未＆津島善子＆天王寺璃奈,MEMBER,base,<桃> 2 <青> 2 <紫> 2,"{""blue"": 2, ""pink"": 2, ""purple"": 2}",{},"{""blue"": 2, ""pink"": 2, ""purple"": 2}",1,0
LL-bp4-001,絢瀬絵里＆朝香果林＆葉月恋,MEMBER,base,<赤> 2 <青> 2 <紫> 2,"{""blue"": 2, ""purple"": 2, ""red"": 2}",{},"{""blue"": 2, ""purple"": 2, ""red"": 2}",1,0
LL-bp5-001,Live with a smile!,LIVE,required,<赤> 1 <任意> 3 (合計4),"{""any"": 3, ""red"": 1}",{},"{""any"": 3, ""red"": 1}",1,0
LL-bp5-001,Live with a smile!,LIVE,blade_heart_tags,<スコア+1>,"[""(スコア+1)""]",[],"[""(スコア+1)""]",1,0
LL-bp5-002,Bring the LOVE！,LIVE,required,<桃> 2 <赤> 2 <黄> 1 <任意> 5 (合計10),"{""any"": 5, ""pink"": 2, ""red"": 2, ""yellow"": 1}",{},"{""any"": 5, ""pink"": 2, ""red"": 2, ""yellow"": 1}",1,0
LL-bp5-002,Bring the LOVE！,LIVE,blade_heart,<ALL>,"{""all"": 1}",{},"{""all"": 1}",1,0
LL-bp5-002,Bring the LOVE！,LIVE,blade_heart_tags,<ALL>,"[""(ALL)""]",[],"[""(ALL)""]",1,0
LL-bp6-001,南ことり＆黒澤ダイヤ＆徒町小鈴,MEMBER,base,<赤> 2 <黄> 2 <青> 2,"{""blue"": 2, ""red"": 2, ""yellow"": 2}",{},"{""blue"": 2, ""red"": 2, ""yellow"": 2}",1,0
PL!-PR-001,高坂穂乃果,MEMBER,base,<黄> 2,"{""yellow"": 2}",{},"{""yellow"": 2}",1,0
PL!-PR-002,絢瀬絵里,MEMBER,base,<紫> 2,"{""purple"": 2}",{},"{""purple"": 2}",1,0
PL!-PR-003,南ことり,MEMBER,base,<桃> 2 <黄> 3 <紫> 1,"{""pink"": 2, ""purple"": 1, ""yellow"": 3}",{},"{""pink"": 2, ""purple"": 1, ""yellow"": 3}",1,0
PL!-PR-003,南ことり,MEMBER,blade_heart,<黄>,"{""yellow"": 1}",{},"{""yellow"": 1}",1,0
PL!-PR-004,園田海未,MEMBER,base,<桃> 3 <黄> 1 <紫> 2,"{""pink"": 3, ""purple"": 2, ""yellow"": 1}",{},"{""pink"": 3, ""purple"": 2, ""yellow"": 1}",1,0
PL!-PR-004,園田海未,MEMBER,blade_heart,<桃>,"{""pink"": 1}",{},"{""pink"": 1}",1,0
PL!-PR-005,星空凛,MEMBER,base,<桃> 1 <黄> 1 <紫> 1,"{""pink"": 1, ""purple"": 1, ""yellow"": 1}",{},"{""pink"": 1, ""purple"": 1, ""yellow"": 1}",1,0
PL!-PR-006,西木野真姫,MEMBER,base,<桃> 1 <黄> 1 <紫> 1,"{""pink"": 1, ""purple"": 1, ""yellow"": 1}",{},"{""pink"": 1, ""purple"": 1, ""yellow"": 1}",1,0
PL!-PR-007,東條希,MEMBER,base,<桃> 1,"{""pink"": 1}",{},"{""pink"": 1}",1,0
PL!-PR-008,小泉花陽,MEMBER,base,<桃> 1 <黄> 1 <紫> 1,"{""pink"": 1, ""purple"": 1, ""yellow"": 1}",{},"{""pink"": 1, ""purple"": 1, ""yellow"": 1}",1,0
PL!-PR-009,矢澤にこ,MEMBER,base,<紫> 1,"{""purple"": 1}",{},"{""purple"": 1}",1,0
PL!-PR-012,小泉花陽,MEMBER,base,<黄> 1,"{""yellow"": 1}",{},"{""yellow"": 1}",1,0
PL!-PR-012,小泉花陽,MEMBER,blade_heart,<黄>,"{""yellow"": 1}",{},"{""yellow"": 1}",1,0
PL!-PR-014,園田海未,MEMBER,base,<桃> 1,"{""pink"": 1}",{},"{""pink"": 1}",1,0
PL!-PR-014,園田海未,MEMBER,blade_heart,<桃>,"{""pink"": 1}",{},"{""pink"": 1}",1,0
PL!-PR-015,西木野真姫,MEMBER,base,<黄> 3 <紫> 3,"{""purple"": 3, ""yellow"": 3}",{},"{""purple"": 3, ""yellow"": 3}",1,0
PL!-PR-015,西木野真姫,MEMBER,blade_heart,<紫>,"{""purple"": 1}",{},"{""purple"": 1}",1,0
PL!-PR-017,矢澤にこ,MEMBER,base,<紫> 1,"{""purple"": 1}",{},"{""purple"": 1}",1,0
PL!-PR-017,矢澤にこ,MEMBER,blade_heart,<紫>,"{""purple"": 1}",{},"{""purple"": 1}",1,0
PL!-PR-018,東條希,MEMBER,base,<桃> 3 <紫> 3,"{""pink"": 3, ""purple"": 3}",{},"{""pink"": 3, ""purple"": 3}",1,0
PL!-PR-018,東條希,MEMBER,blade_heart,<桃>,"{""pink"": 1}",{},"{""pink"": 1}",1,0
PL!-bp3-001,高坂穂乃果,MEMBER,base,<桃> 2 <黄> 2 <紫> 2,"{""pink"": 2, ""purple"": 2, ""yellow"": 2}",{},"{""pink"": 2, ""purple"": 2, ""yellow"": 2}",1,0
PL!-bp3-001,高坂穂乃果,MEMBER,blade_heart,<黄>,"{""yellow"": 1}",{},"{""yellow"": 1}",1,0
PL!-bp3-002,絢瀬絵里,MEMBER,base,<桃> 1 <黄> 1 <紫> 2,"{""pink"": 1, ""purple"": 2, ""yellow"": 1}",{},"{""pink"": 1, ""purple"": 2, ""yellow"": 1}",1,0
PL!-bp3-003,南ことり,MEMBER,base,<桃> 1 <黄> 1 <紫> 1,"{""pink"": 1, ""purple"": 1, ""yellow"": 1}",{},"{""pink"": 1, ""purple"": 1, ""yellow"": 1}",1,0
PL!-bp3-003,南ことり,MEMBER,blade_heart,<黄>,"{""yellow"": 1}",{},"{""yellow"": 1}",1,0
PL!-bp3-004,園田海未,MEMBER,base,<桃> 2 <黄> 1 <紫> 1,"{""pink"": 2, ""purple"": 1, ""yellow"": 1}",{},"{""pink"": 2, ""purple"": 1, ""yellow"": 1}",1,0
PL!-bp3-005,星空凛,MEMBER,base,<桃> 1,"{""pink"": 1}",{},"{""pink"": 1}",1,0
PL!-bp3-005,星空凛,MEMBER,blade_heart,<桃>,"{""pink"": 1}",{},"{""pink"": 1}",1,0
PL!-bp3-006,西木野真姫,MEMBER,base,<桃> 2 <黄> 1 <紫> 2,"{""pink"": 2, ""purple"": 2, ""yellow"": 1}",{},"{""pink"": 2, ""purple"": 2, ""yellow"": 1}",1,0
PL!-bp3-007,東條希,MEMBER,base,<桃> 1 <黄> 1 <紫> 1,"{""pink"": 1, ""purple"": 1, ""yellow"": 1}",{},"{""pink"": 1, ""purple"": 1, ""yellow"": 1}",1,0
PL!-bp3-008,小泉花陽,MEMBER,base,<桃> 2 <黄> 2 <紫> 2,"{""pink"": 2, ""purple"": 2, ""yellow"": 2}",{},"{""pink"": 2, ""purple"": 2, ""yellow"": 2}",1,0
PL!-bp3-008,小泉花陽,MEMBER,blade_heart,<黄>,"{""yellow"": 1}",{},"{""yellow"": 1}",1,0
PL!-bp3-009,矢澤にこ,MEMBER,base,<紫> 1,"{""purple"": 1}",{},"{""purple"": 1}",1,0
PL!-bp3-010,高坂穂乃果,MEMBER,base,<桃> 1 <黄> 2,"{""pink"": 1, ""yellow"": 2}",{},"{""pink"": 1, ""yellow"": 2}",1,0
PL!-bp3-011,絢瀬絵里,MEMBER,base,<桃> 1 <紫> 1,"{""pink"": 1, ""purple"": 1}",{},"{""pink"": 1, ""purple"": 1}",1,0
PL!-bp3-012,南ことり,MEMBER,blade_heart,<黄>,"{""yellow"": 1}",{},"{""yellow"": 1}",1,0
PL!-bp3-013,園田海未,MEMBER,base,<桃> 3 <黄> 1 <紫> 1,"{""pink"": 3, ""purple"": 1, ""yellow"": 1}",{},"{""pink"": 3, ""purple"": 1, ""yellow"": 1}",1,0
PL!-bp3-013,園田海未,MEMBER,blade_heart,<桃>,"{""pink"": 1}",{},"{""pink"": 1}",1,0
PL!-bp3-014,星空凛,MEMBER,base,<桃> 1,"{""pink"": 1}",{},"{""pink"": 1}",1,0
PL!-bp3-014,星空凛,MEMBER,blade_heart,<桃>,"{""pink"": 1}",{},"{""pink"": 1}",1,0
PL!-bp3-015,西木野真姫,MEMBER,base,<黄> 1 <紫> 1,"{""purple"": 1, ""yellow"": 1}",{},"{""purple"": 1, ""yellow"": 1}",1,0
PL!-bp3-015,西木野真姫,MEMBER,blade_heart,<紫>,"{""purple"": 1}",{},"{""purple"": 1}",1,0
PL!-bp3-016,東條希,MEMBER,base,<桃> 2 <紫> 1,"{""pink"": 2, ""purple"": 1}",{},"{""pink"": 2, ""purple"": 1}",1,0
PL!-bp3-017,小泉花陽,MEMBER,base,<黄> 1,"{""yellow"": 1}",{},"{""yellow"": 1}",1,0
PL!-bp3-017,小泉花陽,MEMBER,blade_heart,<黄>,"{""yellow"": 1}",{},"{""yellow"": 1}",1,0
PL!-bp3-018,矢澤にこ,MEMBER,base,<紫> 1,"{""purple"": 1}",{},"{""purple"": 1}",1,0
PL!-bp3-018,矢澤にこ,MEMBER,blade_heart,<紫>,"{""purple"": 1}",{},"{""purple"": 1}",1,0
PL!-bp3-019,僕らのLIVE 君とのLIFE,LIVE,required,<桃> 1 <紫> 1 (合計2),"{""pink"": 1, ""purple"": 1}",{},"{""pink"": 1, ""purple"": 1}",1,0
PL!-bp3-019,僕らのLIVE 君とのLIFE,LIVE,blade_heart_tags,<スコア+1>,"[""(スコア+1)""]",[],"[""(スコア+1)""]",1,0
PL!-bp3-020,Snow halation,LIVE,required,<桃> 1 <紫> 1 <任意> 3 (合計5),"{""any"": 3, ""pink"": 1, ""purple"": 1}",{},"{""any"": 3, ""pink"": 1, ""purple"": 1}",1,0
PL!-bp3-020,Snow halation,LIVE,blade_heart,<ALL>,"{""all"": 1}",{},"{""all"": 1}",1,0
PL!-bp3-020,Snow halation,LIVE,blade_heart_tags,<ALL>,"[""(ALL)""]",[],"[""(ALL)""]",1,0
PL!-bp3-021,愛してるばんざーい!,LIVE,required,<桃> 3 <紫> 4 <任意> 7 (合計14),"{""any"": 7, ""pink"": 3, ""purple"": 4}",{},"{""any"": 7, ""pink"": 3, ""purple"": 4}",1,0
PL!-bp3-021,愛してるばんざーい!,LIVE,blade_heart,<紫> <ドロー+1>,"{""purple"": 1}",{},"{""purple"": 1}",1,0
PL!-bp3-021,愛してるばんざーい!,LIVE,blade_heart_tags,<紫> <ドロー+1>,"[""(ドロー+1)""]",[],"[""(ドロー+1)""]",1,0
