audit_id,cardnumber,cardname,previous_classification,final_classification,confidence,reason,evidence_file
LL-bp2-001#A02,LL-bp2-001,渡辺曜＆鬼塚夏美＆大沢瑠璃乃,NOT_IMPLEMENTED_CONFIRMED,STATIC_ANALYSIS_INCONCLUSIVE,low,Search evidence is insufficient to confirm either implementation or absence.,static_evidence/LL-bp2-001_A02.md
LL-bp7-001#A01,LL-bp7-001,国木田花丸＆優木せつ菜＆嵐千砂都,NOT_IMPLEMENTED_CONFIRMED,NOT_IMPLEMENTED_WITH_EVIDENCE,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files.",static_evidence/LL-bp7-001_A01.md
PL!-PR-020#A02,PL!-PR-020,高坂穂乃果,UNREACHABLE_TRIGGER_CONFIRMED,NOT_IMPLEMENTED_WITH_EVIDENCE,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files.",static_evidence/PL_-PR-020_A02.md
PL!-bp3-002#A02,PL!-bp3-002,絢瀬絵里,NOT_IMPLEMENTED_CONFIRMED,STATIC_ANALYSIS_INCONCLUSIVE,low,Search evidence is insufficient to confirm either implementation or absence.,static_evidence/PL_-bp3-002_A02.md
PL!-bp4-002#A01,PL!-bp4-002,絢瀬絵里,NOT_IMPLEMENTED_CONFIRMED,STATIC_ANALYSIS_INCONCLUSIVE,low,Search evidence is insufficient to confirm either implementation or absence.,static_evidence/PL_-bp4-002_A01.md
PL!-bp4-002#A03,PL!-bp4-002,絢瀬絵里,UNREACHABLE_TRIGGER_CONFIRMED,NOT_IMPLEMENTED_WITH_EVIDENCE,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files.",static_evidence/PL_-bp4-002_A03.md
PL!-bp4-002#A04,PL!-bp4-002,絢瀬絵里,UNREACHABLE_TRIGGER_CONFIRMED,NOT_IMPLEMENTED_WITH_EVIDENCE,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files.",static_evidence/PL_-bp4-002_A04.md
PL!-bp4-014#A02,PL!-bp4-014,星空凛,UNREACHABLE_TRIGGER_CONFIRMED,NOT_IMPLEMENTED_WITH_EVIDENCE,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files.",static_evidence/PL_-bp4-014_A02.md
PL!-bp4-014#A03,PL!-bp4-014,星空凛,UNREACHABLE_TRIGGER_CONFIRMED,NOT_IMPLEMENTED_WITH_EVIDENCE,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files.",static_evidence/PL_-bp4-014_A03.md
PL!-bp4-018#A01,PL!-bp4-018,矢澤にこ,NOT_IMPLEMENTED_CONFIRMED,STATIC_ANALYSIS_INCONCLUSIVE,low,Search evidence is insufficient to confirm either implementation or absence.,static_evidence/PL_-bp4-018_A01.md
