family_key,audit_id,cardnumber,cardname,trigger,family_size,selection_reason
ask_opponent_favorite_icecream;favorite_icecream_answer_discard_fragment;favorite_icecream_answer_draw_fragment;favorite_icecream_answer_blade_fragment|confirm_effect;effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,LL-PR-004#A01,LL-PR-004,愛♡スクリ～ム！,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
generic_green_kind_one|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,LL-bp1-001#A01,LL-bp1-001,上原歩夢＆澁谷かのん＆日野下花帆,登場,63,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
named_hand_cost_result_effect|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,LL-bp1-001#A02,LL-bp1-001,上原歩夢＆澁谷かのん＆日野下花帆,ライブ開始時,4,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
body_always_hand_cost_other_hand_count|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,LL-bp2-001#A01,LL-bp2-001,渡辺曜＆鬼塚夏美＆大沢瑠璃乃,常時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
energy_activate_upto_n|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,LL-bp3-001#A01,LL-bp3-001,園田海未＆津島善子＆天王寺璃奈,起動,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
gain_blade_until_end_live|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,LL-bp3-001#A02,LL-bp3-001,園田海未＆津島善子＆天王寺璃奈,ライブ開始時,30,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
look_top_named_members_optional_then_opponent_wait_cost_blade|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,LL-bp4-001#A01,LL-bp4-001,絢瀬絵里＆朝香果林＆葉月恋,登場,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
live_success_score_if_revealed_live_or_stage_heart_kinds_or_moved|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,LL-bp5-001#A01,LL-bp5-001,Live with a smile!,ライブ成功時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
center_member_gain_all_if_stage_distinct_groups_gte|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,LL-bp5-002#A01,LL-bp5-002,Bring the LOVE！,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
green_card_group_different_from_stage_members_retrieve|selection_pending_or_card_list|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,LL-bp5-002#A02,LL-bp5-002,Bring the LOVE！,ライブ成功時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
generic_topdeck_choose_n_to_hand_rest_green|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,LL-bp6-001#A01,LL-bp6-001,南ことり＆黒澤ダイヤ＆徒町小鈴,登場,3,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
stage_to_green_effect_wrapper|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-PR-001#A01,PL!-PR-001,高坂穂乃果,自動,8,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
body_pick_live_req_yellow_ge3_from_green|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-PR-003#A01,PL!-PR-003,南ことり,起動,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
body_pick_live_req_pink_ge3_from_green|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-PR-004#A01,PL!-PR-004,園田海未,起動,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
set_opponent_wait_exactly1;parenthetical_note_noop|confirm_effect;effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-PR-007#A01,PL!-PR-007,東條希,登場,5,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
set_opponent_wait_exactly1|confirm_effect|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-PR-009#A01,PL!-PR-009,矢澤にこ,登場,9,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
