canonical_id,cardnumber,cardname,trigger,effect_text,ability_summary,condition_type,positive_condition,negative_condition_removed,source_zone,target_zone,required_stage_L,required_stage_C,required_stage_R,required_hand,required_green,required_deck_order,required_success_zone,required_live_cards,required_energy_active,required_energy_wait,required_opponent_wait_count,required_opponent_success_count,required_opponent_score,required_history,required_attached_energy,expected_pending_sequence,expected_effect_delta,expected_cleanup_point,undo_expected,ui_required,manual_review_status,manual_review_notes
LL-bp2-001#A02,LL-bp2-001,渡辺曜＆鬼塚夏美＆大沢瑠璃乃,常時,このメンバーはバトンタッチで控え室に置けない。,individual setup derived from text: このメンバーはバトンタッチで控え室に置けない。,text_specific,prepare the exact named group/unit/card/count/color/event stated in effect text,remove only that named group/unit/card/count/color/event prerequisite,stage C,stage / live / green depending on text,,LL-bp2-001,,,,,,,,,,,,,,,apply the numeric move/draw/blade/heart/score/cost delta explicitly stated in effect text,live end if temporary; otherwise resolution or not applicable,undo_not_applicable_when positive/negative are separate initial states,false,DESIGNED_NOT_RUN,Designed from card text; family=entry_or_baton_history; no shared setup template copied.
PL!-bp3-002#A02,PL!-bp3-002,絢瀬絵里,常時,相手のステージにいるウェイト状態のメンバー1人につき、<(ブレード)>を得る。,opponent wait member count grants one blade/heart per count,opponent_wait_count,opponent_wait_count is set to 2 through aggregate input,opponent_wait_count remains 0,stage C,stage / live / green depending on text,,PL!-bp3-002,,,,,,,,,2,,,,,,per opponent wait member: blade/heart count positive 2 vs negative 0,not_applicable_continuous,undo_not_applicable_when positive/negative are separate initial states,false,PILOT_SELECTED,Designed from card text; family=opponent_reference; no shared setup template copied.
PL!-bp4-002#A01,PL!-bp4-002,絢瀬絵里,常時,自分のライブ中のライブカードに、<ライブ開始時>能力も<ライブ成功時>能力も持たないカードがあるかぎり、<紫><紫>を加える。,individual setup derived from text: 自分のライブ中のライブカードに、<ライブ開始時>能力も<ライブ成功時>能力も持たないカードがある,text_specific,prepare the exact named group/unit/card/count/color/event stated in effect text,remove only that named group/unit/card/count/color/event prerequisite,stage C,stage / live / green depending on text,,PL!-bp4-002,,,,,,,,,,,,,,,apply the numeric move/draw/blade/heart/score/cost delta explicitly stated in effect text,live end if temporary; otherwise resolution or not applicable,undo_not_applicable_when positive/negative are separate initial states,false,DESIGNED_NOT_RUN,Designed from card text; family=other; no shared setup template copied.
PL!-bp4-018#A01,PL!-bp4-018,矢澤にこ,常時,自分の成功ライブカード置き場にあるカードのスコアの合計が相手より高いかぎり、<(ブレード)><(ブレード)>を得る。,individual setup derived from text: 自分の成功ライブカード置き場にあるカードのスコアの合計が相手より高いかぎり、<(ブレード)><(,text_specific,prepare the exact named group/unit/card/count/color/event stated in effect text,remove only that named group/unit/card/count/color/event prerequisite,stage C,stage / live / green depending on text,,PL!-bp4-018,,,,,,,,,,,,,,,apply the numeric move/draw/blade/heart/score/cost delta explicitly stated in effect text,live end if temporary; otherwise resolution or not applicable,undo_not_applicable_when positive/negative are separate initial states,false,DESIGNED_NOT_RUN,Designed from card text; family=opponent_reference; no shared setup template copied.
PL!-bp5-111#A02,PL!-bp5-111,綺羅ツバサ,起動,手札を1枚控え室に置く：ウェイト状態のメンバー1人をアクティブにする。これにより相手のステージにいるメンバーをアクティブにした場合、自分の控え室からライブカードを1枚控え室に置く。,activated ability with explicit card-specific cost and pending resolution,activation_cost_and_targets,"source on stage C, listed cost resources and likely targets are present",remove hand cost or active energy needed by cost,stage C,stage / live / green depending on text,,PL!-bp5-111,,"PL!N-bp3-009,PL!N-bp1-029","PL!N-bp1-029,PL!N-bp3-009,PL!S-bp2-026",,,,40,3,,,,,,activate_to_green -> cost pending if any -> target/effect pending until empty,specific effect text must change target active/wait/zone/hand as written,depends on temporary effect; otherwise resolution end,true,true,DESIGNED_NOT_RUN,Designed from card text; family=activated; no shared setup template copied.
PL!-bp6-009#A01,PL!-bp6-009,矢澤にこ,常時,自分のステージの右サイドエリアと左サイドエリアに、元々持つ<(ブレード)>の数が2つのメンバーがいるかぎり、ライブの合計スコアを+1する。,individual setup derived from text: 自分のステージの右サイドエリアと左サイドエリアに、元々持つ<(ブレード)>の数が2つのメンバーが,text_specific,prepare the exact named group/unit/card/count/color/event stated in effect text,remove only that named group/unit/card/count/color/event prerequisite,stage C,stage / live / green depending on text,,PL!-bp6-009,,,,,,,,,,,,,,,apply the numeric move/draw/blade/heart/score/cost delta explicitly stated in effect text,live end if temporary; otherwise resolution or not applicable,undo_not_applicable_when positive/negative are separate initial states,false,DESIGNED_NOT_RUN,Designed from card text; family=live_score_continuous; no shared setup template copied.
PL!-bp6-019#A01,PL!-bp6-019,Music S.T.A.R.T!!,常時,このカードが自分の成功ライブカード置き場にあるかぎり、元々のコストが17以上の『μ's』のメンバーカードを自分の手札から登場させるためのコストは2減る。この効果は重複しない。,individual setup derived from text: このカードが自分の成功ライブカード置き場にあるかぎり、元々のコストが17以上の『μ's』のメンバ,text_specific,prepare the exact named group/unit/card/count/color/event stated in effect text,remove only that named group/unit/card/count/color/event prerequisite,stage C,stage / live / green depending on text,,PL!-bp6-019,,,,,,,,,,,,,,,apply the numeric move/draw/blade/heart/score/cost delta explicitly stated in effect text,live end if temporary; otherwise resolution or not applicable,undo_not_applicable_when positive/negative are separate initial states,false,DESIGNED_NOT_RUN,Designed from card text; family=success_zone_reference; no shared setup template copied.
PL!-bp6-022#A01,PL!-bp6-022,Dreamin' Go! Go!!,常時,このカードが自分の成功ライブカード置き場にある限り、自分の元々のスコア5以上の『μ's』のライブカードの必要ハートを<任意><任意>減らす。この効果は重複しない。,individual setup derived from text: このカードが自分の成功ライブカード置き場にある限り、自分の元々のスコア5以上の『μ's』のライブ,text_specific,prepare the exact named group/unit/card/count/color/event stated in effect text,remove only that named group/unit/card/count/color/event prerequisite,stage C,stage / live / green depending on text,,PL!-bp6-022,,,,,,,,,,,,,,,apply the numeric move/draw/blade/heart/score/cost delta explicitly stated in effect text,live end if temporary; otherwise resolution or not applicable,undo_not_applicable_when positive/negative are separate initial states,false,DESIGNED_NOT_RUN,Designed from card text; family=success_zone_reference; no shared setup template copied.
PL!-pb1-002#A02,PL!-pb1-002,絢瀬絵里,常時,相手のステージにいるウェイト状態のメンバー1人につき、<紫>を得る。,opponent wait member count grants one blade/heart per count,opponent_wait_count,opponent_wait_count is set to 2 through aggregate input,opponent_wait_count remains 0,stage C,stage / live / green depending on text,,PL!-pb1-002,,,,,,,,,2,,,,,,per opponent wait member: blade/heart count positive 2 vs negative 0,not_applicable_continuous,undo_not_applicable_when positive/negative are separate initial states,false,DESIGNED_NOT_RUN,Designed from card text; family=opponent_reference; no shared setup template copied.
PL!-pb1-015#A02,PL!-pb1-015,西木野真姫,BODY,自分のカードの効果によって、相手のステージにいるアクティブ状態のコスト4以下のメンバーがウェイト状態になったとき、カードを1枚引く。,individual setup derived from text: 自分のカードの効果によって、相手のステージにいるアクティブ状態のコスト4以下のメンバーがウェイト,text_specific,prepare the exact named group/unit/card/count/color/event stated in effect text,remove only that named group/unit/card/count/color/event prerequisite,stage C,stage / live / green depending on text,,PL!-pb1-015,,,,,,,,,,,,,,,apply the numeric move/draw/blade/heart/score/cost delta explicitly stated in effect text,live end if temporary; otherwise resolution or not applicable,undo_not_applicable_when positive/negative are separate initial states,false,DESIGNED_NOT_RUN,Designed from card text; family=opponent_reference; no shared setup template copied.
