audit_id,cardnumber,canonical_trigger,previous_ui_result,ui_state_recorded,browser_ui_checked,browser_ui_result,final_ui_result,notes
PL!HS-bp2-020#A01,PL!HS-bp2-020,常時,UI_JSON_RECORDED,YES,NO,NEEDS_MANUAL_UI_CONFIRMATION,NOT_APPLICABLE_CONTINUOUS_EFFECT,Popup is not required for continuous effects.
PL!HS-bp5-018#A01,PL!HS-bp5-018,常時,UI_JSON_RECORDED,YES,NO,NEEDS_MANUAL_UI_CONFIRMATION,NOT_APPLICABLE_CONTINUOUS_EFFECT,Popup is not required for continuous effects.
PL!HS-bp6-014#A01,PL!HS-bp6-014,起動,UI_JSON_RECORDED,YES,NO,NEEDS_MANUAL_UI_CONFIRMATION,UI_STATE_RECORDED_ONLY,JSON state was saved; real browser UI was not counted.
PL!HS-sd1-020#A01,PL!HS-sd1-020,常時,UI_JSON_RECORDED,YES,NO,NEEDS_MANUAL_UI_CONFIRMATION,NOT_APPLICABLE_CONTINUOUS_EFFECT,Popup is not required for continuous effects.
PL!N-PR-003#A01,PL!N-PR-003,起動,UI_JSON_RECORDED,YES,NO,NEEDS_MANUAL_UI_CONFIRMATION,UI_STATE_RECORDED_ONLY,JSON state was saved; real browser UI was not counted.
PL!N-PR-008#A01,PL!N-PR-008,起動,UI_JSON_RECORDED,YES,NO,NEEDS_MANUAL_UI_CONFIRMATION,UI_STATE_RECORDED_ONLY,JSON state was saved; real browser UI was not counted.
PL!N-PR-010#A01,PL!N-PR-010,起動,UI_JSON_RECORDED,YES,NO,NEEDS_MANUAL_UI_CONFIRMATION,UI_STATE_RECORDED_ONLY,JSON state was saved; real browser UI was not counted.
PL!SP-bp1-003#A01,PL!SP-bp1-003,起動,UI_JSON_RECORDED,YES,NO,NEEDS_MANUAL_UI_CONFIRMATION,UI_STATE_RECORDED_ONLY,JSON state was saved; real browser UI was not counted.
PL!SP-bp5-011#A01,PL!SP-bp5-011,常時,UI_JSON_RECORDED,YES,NO,NEEDS_MANUAL_UI_CONFIRMATION,NOT_APPLICABLE_CONTINUOUS_EFFECT,Popup is not required for continuous effects.
PL!SP-bp5-011#A02,PL!SP-bp5-011,常時,UI_JSON_RECORDED,YES,NO,NEEDS_MANUAL_UI_CONFIRMATION,NOT_APPLICABLE_CONTINUOUS_EFFECT,Popup is not required for continuous effects.
PL!SP-bp5-011#A03,PL!SP-bp5-011,常時,UI_JSON_RECORDED,YES,NO,NEEDS_MANUAL_UI_CONFIRMATION,NOT_APPLICABLE_CONTINUOUS_EFFECT,Popup is not required for continuous effects.
