cardnumber,cardname,card_type,ability_type,trigger,effect_text
PL!-PR-017,矢澤にこ,MEMBER,起動,BODY,このメンバーをステージから控え室に置く：自分の控え室から『μ's』のライブカードを1枚手札に加える。自分の成功ライブカード置き場にあるカードのスコアの合計が9以上の場合、エネルギーを2枚アクティブにする。
PL!-bp3-006,西木野真姫,MEMBER,自動,ライブ開始時,"手札を1枚控え室に置いてもよい：ライブ終了時まで、自分の成功ライブカード置き場にあるカード1枚につき、<(ブレード)><(ブレード)>
を得る。"
PL!-bp3-011,絢瀬絵里,MEMBER,自動,ライブ開始時,"か<黄>か
<紫>
のうち、1つを選ぶ。ライブ終了時まで、自分の成功ライブカード置き場にあるカード1枚につき、選んだハートを1つ得る。"
PL!-bp3-012,南ことり,MEMBER,自動,ライブ開始時,"か<黄>か
<紫>
のうち、1つを選ぶ。ライブ終了時まで、自分の成功ライブカード置き場にあるカード1枚につき、選んだハートを1つ得る。"
PL!-bp3-013,園田海未,MEMBER,自動,ライブ開始時,"か<黄>か
<紫>
のうち、1つを選ぶ。ライブ終了時まで、自分の成功ライブカード置き場にあるカード1枚につき、選んだハートを1つ得る。"
PL!-bp3-024,"夏色えがおで1,2,Jump!",LIVE,自動,ライブ開始時,"自分の成功ライブカード置き場にカードがある場合、
<桃>か
<黄>か
<紫>
のうち、1つを選ぶ。ライブ終了時まで、自分のステージにいる『μ's』のメンバー1人は、選んだハートを1つ得る。"
PL!-bp3-024,"夏色えがおで1,2,Jump!",LIVE,自動,ライブ開始時,自分の成功ライブカード置き場にカードが2枚以上ある場合、このカードのスコアを+1する。
PL!-bp4-002,絢瀬絵里,MEMBER,起動,BODY,手札を2枚控え室に置く：自分の控え室から『μ's』のライブカードを1枚手札に加える。この能力は、自分の成功ライブカード置き場にあるカードのスコアの合計が6以上の場合のみ起動できる。
PL!-bp4-004,園田海未,MEMBER,自動,登場,自分の成功ライブカード置き場にあるカードのスコアの合計が6以上の場合、エネルギーを2枚アクティブにする。
PL!-bp4-006,西木野真姫,MEMBER,自動,登場,自分の成功ライブカード置き場にあるカードのスコア合計が3以上の場合、自分のデッキの上からカードを5枚見る。その中から『μ's』のメンバーカードを1枚公開して手札に加えてもよい。残りを控え室に置く。
PL!-bp4-007,東條希,MEMBER,自動,登場,自分の成功ライブカード置き場にカードが1枚以上あり、かつスコアの合計が1以下の場合、ライブ終了時まで、「<常時>ライブの合計スコアを+1する。」を得る。
PL!-bp4-008,小泉花陽,MEMBER,常時,BODY,自分の成功ライブカード置き場にあるカードのスコアの合計が6以上である限り、ステージにいるこのメンバーのコストを+3する。
PL!-bp4-016,東條希,MEMBER,自動,登場,自分の成功ライブカード置き場にあるカードのスコアの合計が3以上の場合、カードを1枚引く。
PL!-bp4-018,矢澤にこ,MEMBER,常時,BODY,"自分の成功ライブカード置き場にあるカードのスコアの合計が相手より高いかぎり、<(ブレード)><(ブレード)>
を得る。"
PL!-bp4-019,Angelic Angel,LIVE,常時,BODY,このカードが自分の成功ライブカード置き場にあり、かつ自分のステージに『μ's』のメンバーがいるかぎり、自分の成功ライブカード置き場にあるこのカードのスコアを+5する。
PL!-bp4-020,Love wing bell,LIVE,常時,BODY,"このカードが自分の成功ライブカード置き場にあるかぎり、自分のセンターエリアにいる『μ's』のメンバーは<(ブレード)>
を得る。"
PL!-bp4-021,？←HEARTBEAT,LIVE,自動,ライブ開始時,"自分の成功ライブカード置き場にあるカードのスコアの合計が6以上の場合、このライブを成功させるための必要ハートを
<任意>
減らす。スコアの合計が9以上の場合、さらにこのカードのスコアを+1する。"
PL!-bp5-005,星空凛,MEMBER,自動,登場,自分の成功ライブカード置き場にあるカードのスコアの合計が6以上の場合、自分のエネルギーデッキから、エネルギーカードを1枚アクティブ状態で置く。
PL!-bp5-008,小泉花陽,MEMBER,常時,BODY,"自分の成功ライブカード置き場にあるカードのスコアの合計が6以上であるかぎり、
<黄>
<黄>
を得る。"
PL!-bp5-011,絢瀬絵里,MEMBER,自動,ライブ開始時,"か<青>か
<紫>
のうち、1つを選ぶ。ライブ終了時まで、自分の成功ライブカード置き場にあるカード1枚につき、選んだハートを1つ得る。"
PL!-bp5-015,西木野真姫,MEMBER,自動,登場,自分の成功ライブカード置き場にあるカードのスコアの合計が3以上の場合、カードを1枚引く。
PL!-bp5-022,A song for You! You? You!!,LIVE,自動,ライブ開始時,"自分の成功ライブカード置き場にあるカード1枚につき、このカードのスコアを+2し、必要ハートを
<桃>
<黄>
<紫>
<任意>
増やす。"
PL!-bp6-012,南ことり,MEMBER,常時,BODY,"自分の成功ライブカード置き場に『Printemps』のカードがあるかぎり、
<黄>
を得る。"
PL!-bp6-013,園田海未,MEMBER,自動,登場,自分の成功ライブカード置き場にあるカードのスコアの合計が6以上の場合、自分の控え室から『μ's』のライブカードを1枚手札に加える。
PL!-bp6-014,星空凛,MEMBER,常時,BODY,"自分の成功ライブカード置き場に『lily white』のカードがあるかぎり、
<桃>
を得る。"
PL!-bp6-015,西木野真姫,MEMBER,常時,BODY,"自分の成功ライブカード置き場に『BiBi』のカードがあるかぎり、
<紫>
を得る。"
PL!-bp6-019,Music S.T.A.R.T!!,LIVE,常時,BODY,このカードが自分の成功ライブカード置き場にあるかぎり、元々のコストが17以上の『μ's』のメンバーカードを自分の手札から登場させるためのコストは2減る。この効果は重複しない。
PL!-bp6-022,Dreamin' Go! Go!!,LIVE,常時,BODY,"このカードが自分の成功ライブカード置き場にある限り、自分の元々のスコア5以上の『μ's』のライブカードの必要ハートを
<任意>
<任意>
減らす。この効果は重複しない。"
PL!-bp6-024,錯覚CROSSROADS,LIVE,常時,BODY,このカードを成功ライブカード置き場に置く場合、代わりに自分の控え室にある『μ's』のライブカードを1枚置いてもよい。
PL!-pb1-004,園田海未,MEMBER,自動,登場,"自分の成功ライブカード置き場に
<スコア+1>
を持つ『μ's』のカードが1枚ある場合、ライブ終了時まで、「<常時>ライブの合計スコアを+1する。」を得る。2枚以上ある場合、代わりに「<常時>』ライブの合計スコアを+2する。」を得る。"
PL!-pb1-005,星空凛,MEMBER,自動,登場,自分の成功ライブカード置き場にカードがある場合、カードを1枚引く。
PL!-pb1-007,東條希,MEMBER,起動,BODY,手札を3枚控え室に置く：自分のステージにほかの『lily white』のメンバーがいる場合、自分の控え室から『μ's』のライブカードを1枚手札に加える。この能力を起動するためのコストは、自分の成功ライブカード置き場にあるカード1枚につき、控え室に置く手札の数が1枚減る。
PL!-pb1-014,星空凛,MEMBER,常時,BODY,自分の成功ライブカード置き場に『lily white』のカードがある場合、手札にあるこのメンバーカードのコストは2減る。
PL!-pb1-029,知らないLove*教えてLove,LIVE,自動,ライブ開始時,自分の成功ライブカード置き場のカードが0枚で、かつ自分のステージいるメンバーが『lily white』のみの場合、このカードのスコアを+1する。
PL!-pb1-032,SENTIMENTAL StepS,LIVE,自動,ライブ成功時,自分の成功ライブカード置き場に『μ's』のカードがある場合、カードを1枚引く。
PL!-sd1-001,高坂穂乃果,MEMBER,自動,登場,自分の成功ライブカード置き場にカードが2枚以上ある場合、自分の控え室からライブカードを1枚手札に加える。
PL!-sd1-001,高坂穂乃果,MEMBER,常時,BODY,"自分の成功ライブカード置き場にあるカード1枚につき、<(ブレード)>
を得る。"
PL!-sd1-006,西木野真姫,MEMBER,自動,登場,手札のライブカードを1枚公開してもよい：自分の成功ライブカード置き場にあるカードを1枚手札に加える。そうした場合、これにより公開したカードを自分の成功ライブカード置き場に置く。
PL!-sd1-022,僕らは今のなかで,LIVE,自動,ライブ開始時,"自分の成功ライブカード置き場にあるカード1枚につき、このカードを成功させるための必要ハートは
<任意>
<任意>
少なくなる。"
PL!N-PR-024,桜坂しずく,MEMBER,常時,BODY,"自分と相手の成功ライブカード置き場にカードが合計4枚以上あるかぎり、<(ブレード)><(ブレード)>
を得る。"
PL!N-bp3-026,サイコーハート,LIVE,自動,ライブ開始時,自分の成功ライブカード置き場にスコアが1か5のカードがある場合、このカードのスコアを+1する。それらが両方ある場合、代わりにスコアを+2する。
PL!N-bp4-010,三船栞子,MEMBER,自動,登場,自分の成功ライブカード置き場にある『虹ヶ咲』のライブカードを1枚控え室に置いてもよい。そうした場合、自分の控え室にある『虹ヶ咲』のライブカードを1枚成功ライブカード置き場に置く。
PL!N-bp4-010,三船栞子,MEMBER,自動,ライブ開始時,"自分のライブ中の『虹ヶ咲』のライブカードを1枚選ぶ。それと同じカード名のカードが自分の成功ライブカード置き場にある場合、ライブ終了時まで、<緑>
を得る。"
PL!N-bp4-012,鐘嵐珠,MEMBER,常時,BODY,相手の成功ライブカード置き場にあるカードのスコアの合計が6以上であるかぎり、ライブの合計スコアを+1する。
PL!N-bp4-027,EMOTION,LIVE,自動,ライブ開始時,"自分の成功ライブカード置き場にあるカード名が「EMOTION」のカード1枚につき、このカードのスコアを+2、成功させるための必要ハートを
<任意>
<任意>
<任意>
増やす。"
PL!N-bp4-030,Daydream Mermaid,LIVE,自動,ライブ成功時,以下から1つを選ぶ。自分の成功ライブカード置き場に『虹ヶ咲』のカードがある場合、代わりに1つ以上を選ぶ。
PL!N-bp5-007,優木せつ菜,MEMBER,自動,ライブ開始時,"自分と相手の成功ライブカード置き場にあるカードの枚数が同じ場合、ライブ終了時まで、<赤>
<赤>
を得る。"
PL!N-bp5-027,ミラクル STAY TUNE！,LIVE,自動,ライブ開始時,自分か相手の成功ライブカード置き場にカードが2枚以上あり、かつ自分のステージに名前の異なるメンバーが3人以上いる場合、このカードのスコアを+1する。
