audit_id,cardnumber,cardname,trigger,implementation_status,implementation_files,implementation_symbols,matcher_or_rule,pending_kind,resolve_path,ui_render_path,implementation_style,reachable,duplicate_route_suspected,dead_route_suspected,notes
LL-PR-004#A01,LL-PR-004,愛♡スクリ～ム！,ライブ開始時,IMPLEMENTED,llocg_ui/engine.py,ask_opponent_favorite_icecream;answer_fragment_noop;answer_fragment_noop;answer_fragment_noop,ask_opponent_favorite_icecream;favorite_icecream_answer_discard_fragment;favorite_icecream_answer_draw_fragment;favorite_icecream_answer_blade_fragment,confirm_effect;effect_template_route,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
LL-bp1-001#A01,LL-bp1-001,上原歩夢＆澁谷かのん＆日野下花帆,登場,IMPLEMENTED,llocg_ui/engine.py,__ext__,generic_green_kind_one,effect_template_route,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
LL-bp1-001#A02,LL-bp1-001,上原歩夢＆澁谷かのん＆日野下花帆,ライブ開始時,IMPLEMENTED,llocg_ui/engine.py,named_hand_cost_result_effect,named_hand_cost_result_effect,effect_template_route,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,manual_review_reason=nested_granted_ability_runtime | nested_granted_ability_count=1
LL-bp2-001#A01,LL-bp2-001,渡辺曜＆鬼塚夏美＆大沢瑠璃乃,常時,IMPLEMENTED,llocg_ui/engine.py,body_always_noop,body_always_hand_cost_other_hand_count,effect_template_route,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
LL-bp2-001#A02,LL-bp2-001,渡辺曜＆鬼塚夏美＆大沢瑠璃乃,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
LL-bp2-001#A03,LL-bp2-001,渡辺曜＆鬼塚夏美＆大沢瑠璃乃,ライブ開始時,IMPLEMENTED,llocg_ui/engine.py,named_hand_cost_result_effect,named_hand_cost_result_effect,effect_template_route,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
LL-bp3-001#A01,LL-bp3-001,園田海未＆津島善子＆天王寺璃奈,起動,IMPLEMENTED,llocg_ui/engine.py,energy_activate_upto,energy_activate_upto_n,message_ack_or_auto_order,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
LL-bp3-001#A02,LL-bp3-001,園田海未＆津島善子＆天王寺璃奈,ライブ開始時,IMPLEMENTED,llocg_ui/engine.py,gain_blade_until_end_live,gain_blade_until_end_live,message_ack_or_auto_order,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
LL-bp4-001#A01,LL-bp4-001,絢瀬絵里＆朝香果林＆葉月恋,登場,IMPLEMENTED,llocg_ui/engine.py,look_top_named_members_optional_then_opponent_wait_cost_blade,look_top_named_members_optional_then_opponent_wait_cost_blade,message_ack_or_auto_order,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
LL-bp5-001#A01,LL-bp5-001,Live with a smile!,ライブ成功時,IMPLEMENTED,llocg_ui/engine.py,live_success_score_if_revealed_live_or_stage_heart_kinds_or_moved,live_success_score_if_revealed_live_or_stage_heart_kinds_or_moved,message_ack_or_auto_order,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
LL-bp5-002#A01,LL-bp5-002,Bring the LOVE！,ライブ開始時,IMPLEMENTED,llocg_ui/engine.py,center_member_gain_all_if_stage_distinct_groups_gte,center_member_gain_all_if_stage_distinct_groups_gte,effect_template_route,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
LL-bp5-002#A02,LL-bp5-002,Bring the LOVE！,ライブ成功時,IMPLEMENTED,llocg_ui/engine.py,green_card_group_different_from_stage_members_retrieve,green_card_group_different_from_stage_members_retrieve,selection_pending_or_card_list,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
LL-bp6-001#A01,LL-bp6-001,南ことり＆黒澤ダイヤ＆徒町小鈴,登場,IMPLEMENTED,llocg_ui/engine.py,__ext__,generic_topdeck_choose_n_to_hand_rest_green,effect_template_route,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
LL-bp6-001#A02,LL-bp6-001,南ことり＆黒澤ダイヤ＆徒町小鈴,ライブ開始時,IMPLEMENTED,llocg_ui/engine.py,named_hand_cost_result_effect,named_hand_cost_result_effect,effect_template_route,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
LL-bp7-001#A01,LL-bp7-001,国木田花丸＆優木せつ菜＆嵐千砂都,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
LL-bp7-001#A02,LL-bp7-001,国木田花丸＆優木せつ菜＆嵐千砂都,登場,IMPLEMENTED,llocg_ui/engine.py,__ext__,generic_green_kind_one,effect_template_route,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
LL-bp7-001#A03,LL-bp7-001,国木田花丸＆優木せつ菜＆嵐千砂都,ライブ成功時,IMPLEMENTED,llocg_ui/engine.py,__ext__,generic_green_kind_one,effect_template_route,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-PR-001#A01,PL!-PR-001,高坂穂乃果,自動,IMPLEMENTED,llocg_ui/engine.py,stage_to_green_effect_wrapper,stage_to_green_effect_wrapper,effect_template_route,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-PR-002#A01,PL!-PR-002,絢瀬絵里,自動,IMPLEMENTED,llocg_ui/engine.py,stage_to_green_effect_wrapper,stage_to_green_effect_wrapper,effect_template_route,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-PR-003#A01,PL!-PR-003,南ことり,起動,IMPLEMENTED,llocg_ui/engine.py,__ext__,body_pick_live_req_yellow_ge3_from_green,effect_template_route,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-PR-004#A01,PL!-PR-004,園田海未,起動,IMPLEMENTED,llocg_ui/engine.py,__ext__,body_pick_live_req_pink_ge3_from_green,effect_template_route,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-PR-005#A01,PL!-PR-005,星空凛,登場,DB_DATA_MISMATCH,,,,,,,,NO,NO,NO,
PL!-PR-006#A01,PL!-PR-006,西木野真姫,登場,DB_DATA_MISMATCH,,,,,,,,NO,NO,NO,
PL!-PR-007#A01,PL!-PR-007,東條希,登場,IMPLEMENTED,llocg_ui/engine.py,set_opponent_wait_exactly1;body_always_noop,set_opponent_wait_exactly1;parenthetical_note_noop,confirm_effect;effect_template_route,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-PR-008#A01,PL!-PR-008,小泉花陽,登場,DB_DATA_MISMATCH,,,,,,,,NO,NO,NO,
PL!-PR-009#A01,PL!-PR-009,矢澤にこ,登場,IMPLEMENTED,llocg_ui/engine.py,set_opponent_wait_exactly1,set_opponent_wait_exactly1,confirm_effect,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-PR-012#A01,PL!-PR-012,小泉花陽,起動,IMPLEMENTED,llocg_ui/engine.py,draw,draw_n,message_ack_or_auto_order,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-PR-014#A01,PL!-PR-014,園田海未,登場,IMPLEMENTED,llocg_ui/engine.py,opponent_hand_random_reveal_no_live_draw,opponent_hand_random_reveal_no_live_draw,message_ack_or_auto_order,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-PR-015#A01,PL!-PR-015,西木野真姫,登場,IMPLEMENTED,llocg_ui/engine.py,enter_baton_from_lower_cost_member_wrapper,enter_baton_from_lower_cost_member_wrapper,effect_template_route,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-PR-017#A01,PL!-PR-017,矢澤にこ,起動,IMPLEMENTED,llocg_ui/engine.py,retrieve_live_then_energy_activate_if_success_score_gte,retrieve_live_then_energy_activate_if_success_score_gte,selection_pending_or_card_list,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
