cardnumber,canonical_id,status,reproduction,expected,actual,family,common_fix_candidate,affected_files,priority,evidence
LL-bp2-001,LL-bp2-001#A02,TRIGGER_REACHED_RESOLVER_BLOCKED,evidence/state/LL_bp2_001_A02; evidence/ui/LL_bp2_001_A02; evidence/logs/LL_bp2_001_A02.log; evidence/commands/LL_bp2_001_A02.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,Event-history trigger/hook family has no matching generic route for DB text.,continuous_attribute,event ledger + resolver family,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P2,evidence/state/LL_bp2_001_A02; evidence/ui/LL_bp2_001_A02; evidence/logs/LL_bp2_001_A02.log; evidence/commands/LL_bp2_001_A02.command.sh
PL!-bp3-002,PL!-bp3-002#A02,BLOCKED_BY_ENGINE_CAPABILITY,evidence/state/PL_bp3_002_A02; evidence/ui/PL_bp3_002_A02; evidence/logs/PL_bp3_002_A02.log; evidence/commands/PL_bp3_002_A02.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,Effect needs opponent individual/member/live/hand state beyond current aggregate inputs.,continuous_attribute,engine capability design,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P3,evidence/state/PL_bp3_002_A02; evidence/ui/PL_bp3_002_A02; evidence/logs/PL_bp3_002_A02.log; evidence/commands/PL_bp3_002_A02.command.sh
PL!-bp4-002,PL!-bp4-002#A01,GENERIC_ROUTE_TEXT_NOT_MATCHED,evidence/state/PL_bp4_002_A01; evidence/ui/PL_bp4_002_A01; evidence/logs/PL_bp4_002_A01.log; evidence/commands/PL_bp4_002_A01.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,continuous_attribute,generic matcher family,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P2,evidence/state/PL_bp4_002_A01; evidence/ui/PL_bp4_002_A01; evidence/logs/PL_bp4_002_A01.log; evidence/commands/PL_bp4_002_A01.command.sh
PL!-bp4-018,PL!-bp4-018#A01,GENERIC_ROUTE_TEXT_NOT_MATCHED,evidence/state/PL_bp4_018_A01; evidence/ui/PL_bp4_018_A01; evidence/logs/PL_bp4_018_A01.log; evidence/commands/PL_bp4_018_A01.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,success_zone_reference,generic matcher family,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P2,evidence/state/PL_bp4_018_A01; evidence/ui/PL_bp4_018_A01; evidence/logs/PL_bp4_018_A01.log; evidence/commands/PL_bp4_018_A01.command.sh
PL!-bp5-111,PL!-bp5-111#A02,BLOCKED_BY_ENGINE_CAPABILITY,evidence/state/PL_bp5_111_A02; evidence/ui/PL_bp5_111_A02; evidence/logs/PL_bp5_111_A02.log; evidence/commands/PL_bp5_111_A02.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,Effect needs opponent individual/member/live/hand state beyond current aggregate inputs.,hand_to_green / discard,engine capability design,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P3,evidence/state/PL_bp5_111_A02; evidence/ui/PL_bp5_111_A02; evidence/logs/PL_bp5_111_A02.log; evidence/commands/PL_bp5_111_A02.command.sh
PL!-bp6-009,PL!-bp6-009#A01,GENERIC_ROUTE_TEXT_NOT_MATCHED,evidence/state/PL_bp6_009_A01; evidence/ui/PL_bp6_009_A01; evidence/logs/PL_bp6_009_A01.log; evidence/commands/PL_bp6_009_A01.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,stage_count_group_unit_name,generic matcher family,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P2,evidence/state/PL_bp6_009_A01; evidence/ui/PL_bp6_009_A01; evidence/logs/PL_bp6_009_A01.log; evidence/commands/PL_bp6_009_A01.command.sh
PL!-bp6-019,PL!-bp6-019#A01,GENERIC_ROUTE_TEXT_NOT_MATCHED,evidence/state/PL_bp6_019_A01; evidence/ui/PL_bp6_019_A01; evidence/logs/PL_bp6_019_A01.log; evidence/commands/PL_bp6_019_A01.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,success_zone_reference,generic matcher family,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P2,evidence/state/PL_bp6_019_A01; evidence/ui/PL_bp6_019_A01; evidence/logs/PL_bp6_019_A01.log; evidence/commands/PL_bp6_019_A01.command.sh
PL!-bp6-022,PL!-bp6-022#A01,GENERIC_ROUTE_TEXT_NOT_MATCHED,evidence/state/PL_bp6_022_A01; evidence/ui/PL_bp6_022_A01; evidence/logs/PL_bp6_022_A01.log; evidence/commands/PL_bp6_022_A01.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,success_zone_reference,generic matcher family,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P2,evidence/state/PL_bp6_022_A01; evidence/ui/PL_bp6_022_A01; evidence/logs/PL_bp6_022_A01.log; evidence/commands/PL_bp6_022_A01.command.sh
PL!-pb1-002,PL!-pb1-002#A02,BLOCKED_BY_ENGINE_CAPABILITY,evidence/state/PL_pb1_002_A02; evidence/ui/PL_pb1_002_A02; evidence/logs/PL_pb1_002_A02.log; evidence/commands/PL_pb1_002_A02.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,Effect needs opponent individual/member/live/hand state beyond current aggregate inputs.,continuous_attribute,engine capability design,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P3,evidence/state/PL_pb1_002_A02; evidence/ui/PL_pb1_002_A02; evidence/logs/PL_pb1_002_A02.log; evidence/commands/PL_pb1_002_A02.command.sh
PL!-pb1-015,PL!-pb1-015#A02,GENERIC_ROUTE_TEXT_NOT_MATCHED,evidence/state/PL_pb1_015_A02; evidence/ui/PL_pb1_015_A02; evidence/logs/PL_pb1_015_A02.log; evidence/commands/PL_pb1_015_A02.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,draw,generic matcher family,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P2,evidence/state/PL_pb1_015_A02; evidence/ui/PL_pb1_015_A02; evidence/logs/PL_pb1_015_A02.log; evidence/commands/PL_pb1_015_A02.command.sh
