primary_family,target_count,representative_canonical_id,implemented_and_reachable,backlog_count,statuses
continuous_attribute,19,LL-bp2-001#A02,0,17,"{""BLOCKED_BY_ENGINE_CAPABILITY"": 3, ""GENERIC_ROUTE_TEXT_NOT_MATCHED"": 13, ""RULE_INTERPRETATION_REQUIRED"": 2, ""TRIGGER_REACHED_RESOLVER_BLOCKED"": 1}"
deck_top_or_bottom_move,2,PL!S-bp6-002#A01,0,2,"{""GENERIC_ROUTE_TEXT_NOT_MATCHED"": 1, ""TRIGGER_REACHED_RESOLVER_BLOCKED"": 1}"
draw,3,PL!-pb1-015#A02,0,3,"{""GENERIC_ROUTE_TEXT_NOT_MATCHED"": 2, ""TRIGGER_REACHED_RESOLVER_BLOCKED"": 1}"
draw_then_discard,1,PL!N-bp4-018#A01,0,1,"{""GENERIC_ROUTE_TEXT_NOT_MATCHED"": 1}"
energy_active_wait,9,PL!HS-pb1-001#A01,0,9,"{""GENERIC_ROUTE_TEXT_NOT_MATCHED"": 6, ""TRIGGER_REACHED_RESOLVER_BLOCKED"": 1, ""UI_ROUTE_MISSING"": 2}"
energy_under_member,1,PL!N-bp7-004#A01,0,1,"{""BLOCKED_BY_ENGINE_CAPABILITY"": 1}"
green_to_hand,1,PL!N-bp1-008#A01,0,1,"{""UI_ROUTE_MISSING"": 1}"
hand_to_green / discard,5,PL!-bp5-111#A02,0,5,"{""BLOCKED_BY_ENGINE_CAPABILITY"": 2, ""GENERIC_ROUTE_TEXT_NOT_MATCHED"": 3}"
live_start_required_heart,1,PL!SP-bp2-010#A01,0,1,"{""BLOCKED_BY_ENGINE_CAPABILITY"": 1}"
live_start_temp_blade,1,PL!SP-bp7-025#A01,0,1,"{""GENERIC_ROUTE_TEXT_NOT_MATCHED"": 1}"
live_start_temp_heart,1,PL!S-bp7-006#A01,0,1,"{""GENERIC_ROUTE_TEXT_NOT_MATCHED"": 1}"
position / active_wait,3,PL!SP-bp2-008#A01,0,3,"{""TRIGGER_REACHED_RESOLVER_BLOCKED"": 2, ""UI_ROUTE_MISSING"": 1}"
stage_count_group_unit_name,4,PL!-bp6-009#A01,0,4,"{""BLOCKED_BY_ENGINE_CAPABILITY"": 1, ""GENERIC_ROUTE_TEXT_NOT_MATCHED"": 3}"
success_zone_reference,10,PL!-bp4-018#A01,0,10,"{""GENERIC_ROUTE_TEXT_NOT_MATCHED"": 10}"
