canonical_audit_id,source_audit_ids,cardnumber,cardname,card_type,canonical_trigger,canonical_effect_text,source_phase3_classifications,source_phase4_classifications,correction_notes
LL-bp2-001#A02,LL-bp2-001#A02,LL-bp2-001,渡辺曜＆鬼塚夏美＆大沢瑠璃乃,MEMBER,常時,このメンバーはバトンタッチで控え室に置けない。,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,TRIGGER_RECLASSIFIED
LL-bp7-001#A01,LL-bp7-001#A01,LL-bp7-001,国木田花丸＆優木せつ菜＆嵐千砂都,MEMBER,常時,このカードのプレイに際し、自分の手札から「国木田花丸」と「優木せつ菜」と「嵐千砂都」のメンバーカードをそれぞれ1枚ずつ控え室に置いてもよい。そうしたとき、このカードのコストは10になる。,NOT_IMPLEMENTED_WITH_EVIDENCE,NOT_IMPLEMENTED_CONFIRMED,TRIGGER_RECLASSIFIED
PL!-PR-020#A02,PL!-PR-020#A02,PL!-PR-020,高坂穂乃果,MEMBER,ライブ開始時,自分のライブカード置き場にあるライブカードのスコアの合計が8以上の場合、『<常時>ライブの合計スコアを+1する。』を得る。,NOT_IMPLEMENTED_WITH_EVIDENCE,STATIC_ANALYSIS_INCONCLUSIVE,VALID_TOP_LEVEL_ABILITY
PL!-bp3-002#A02,PL!-bp3-002#A02,PL!-bp3-002,絢瀬絵里,MEMBER,常時,相手のステージにいるウェイト状態のメンバー1人につき、<(ブレード)>を得る。,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,TRIGGER_RECLASSIFIED
PL!-bp4-002#A01,PL!-bp4-002#A01,PL!-bp4-002,絢瀬絵里,MEMBER,常時,自分のライブ中のライブカードに、<ライブ開始時>能力も<ライブ成功時>能力も持たないカードがあるかぎり、<紫><紫>を加える。,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,TRIGGER_RECLASSIFIED
PL!-bp4-002#A03,PL!-bp4-002#A03,PL!-bp4-002,絢瀬絵里,MEMBER,BODY,自分のライブ中のライブカードに、<ライブ開始時>能力も<ライブ成功時>能力も持たないカードがあるかぎり、<紫><紫>を加える。,NOT_IMPLEMENTED_WITH_EVIDENCE,NOT_IMPLEMENTED_CONFIRMED,VALID_TOP_LEVEL_ABILITY
PL!-bp4-014#A02,PL!-bp4-014#A02,PL!-bp4-014,星空凛,MEMBER,ライブ開始時,自分のライブ中のライブカードに、<ライブ開始時>能力も<ライブ成功時>能力も持たないカードがある場合、ライブ終了時まで、自分のステージにいるこのメンバー以外のメンバー1人は、<(ブレード)><(ブレード)>を得る。,NOT_IMPLEMENTED_WITH_EVIDENCE,STATIC_ANALYSIS_INCONCLUSIVE,VALID_TOP_LEVEL_ABILITY
PL!-bp4-018#A01,PL!-bp4-018#A01,PL!-bp4-018,矢澤にこ,MEMBER,常時,自分の成功ライブカード置き場にあるカードのスコアの合計が相手より高いかぎり、<(ブレード)><(ブレード)>を得る。,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,TRIGGER_RECLASSIFIED
PL!-bp5-111#A02,PL!-bp5-111#A02,PL!-bp5-111,綺羅ツバサ,MEMBER,起動,手札を1枚控え室に置く：ウェイト状態のメンバー1人をアクティブにする。これにより相手のステージにいるメンバーをアクティブにした場合、自分の控え室からライブカードを1枚控え室に置く。,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,TRIGGER_RECLASSIFIED
PL!-bp6-002#A02,PL!-bp6-002#A02,PL!-bp6-002,絢瀬絵里,MEMBER,登場,自分のデッキの上からカードを2枚見る。その中から能力を持たない『μ's』のカードか<常時>能力を持つ『μ's』のカードを1枚公開して手札に加えてもよい。残りを控え室に置く。,NOT_IMPLEMENTED_WITH_EVIDENCE,STATIC_ANALYSIS_INCONCLUSIVE,VALID_TOP_LEVEL_ABILITY
PL!-bp6-009#A01,PL!-bp6-009#A01,PL!-bp6-009,矢澤にこ,MEMBER,常時,自分のステージの右サイドエリアと左サイドエリアに、元々持つ<(ブレード)>の数が2つのメンバーがいるかぎり、ライブの合計スコアを+1する。,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,TRIGGER_RECLASSIFIED
PL!-bp6-019#A01,PL!-bp6-019#A01,PL!-bp6-019,Music S.T.A.R.T!!,LIVE,常時,このカードが自分の成功ライブカード置き場にあるかぎり、元々のコストが17以上の『μ's』のメンバーカードを自分の手札から登場させるためのコストは2減る。この効果は重複しない。,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,TRIGGER_RECLASSIFIED
PL!-bp6-020#A03,PL!-bp6-020#A03,PL!-bp6-020,Dancing stars on me!,LIVE,BODY,自分のステージのセンターエリアにいる『μ's』のメンバーの<ライブ開始時>能力が解決したとき、そのメンバーをポジションチェンジする。,NOT_IMPLEMENTED_WITH_EVIDENCE,NOT_IMPLEMENTED_CONFIRMED,VALID_TOP_LEVEL_ABILITY
PL!-bp6-022#A01,PL!-bp6-022#A01,PL!-bp6-022,Dreamin' Go! Go!!,LIVE,常時,このカードが自分の成功ライブカード置き場にある限り、自分の元々のスコア5以上の『μ's』のライブカードの必要ハートを<任意><任意>減らす。この効果は重複しない。,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,TRIGGER_RECLASSIFIED
PL!-bp6-024#A01,PL!-bp6-024#A01,PL!-bp6-024,錯覚CROSSROADS,LIVE,常時,このカードを成功ライブカード置き場に置く場合、代わりに自分の控え室にある『μ's』のライブカードを1枚置いてもよい。,NOT_IMPLEMENTED_WITH_EVIDENCE,NOT_IMPLEMENTED_CONFIRMED,TRIGGER_RECLASSIFIED
PL!-pb1-002#A02,PL!-pb1-002#A02,PL!-pb1-002,絢瀬絵里,MEMBER,常時,相手のステージにいるウェイト状態のメンバー1人につき、<紫>を得る。,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,TRIGGER_RECLASSIFIED
PL!-pb1-013#A02,PL!-pb1-013#A02,PL!-pb1-013,園田海未,MEMBER,BODY,<(E)><(E)>自分の手札を、相手は見ないで1枚選び公開する。これにより公開されたカードがライブカードの場合、ライブ終了時まで、このメンバーは『<常時>ライブの合計スコアを+1する。』を得る。,NOT_IMPLEMENTED_WITH_EVIDENCE,NOT_IMPLEMENTED_CONFIRMED,VALID_TOP_LEVEL_ABILITY
PL!-pb1-015#A02,PL!-pb1-015#A02,PL!-pb1-015,西木野真姫,MEMBER,BODY,自分のカードの効果によって、相手のステージにいるアクティブ状態のコスト4以下のメンバーがウェイト状態になったとき、カードを1枚引く。,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,VALID_TOP_LEVEL_ABILITY
PL!HS-bp1-003#A01,PL!HS-bp1-003#A01,PL!HS-bp1-003,乙宗梢,MEMBER,常時,自分のステージのエリアすべてに『蓮ノ空』のメンバーが登場しており、かつ名前が異なる場合、「<常時>ライブの合計スコアを+1する。」を得る。,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,TRIGGER_RECLASSIFIED
PL!HS-bp2-020#A01,PL!HS-bp2-020#A01,PL!HS-bp2-020,Link to the FUTURE,LIVE,常時,すべての領域にあるこのカードは『スリーズブーケ』、『DOLLCHESTRA』、『みらくらぱーく！』として扱う。,IMPLEMENTED_ROUTE_UNVERIFIED,STATIC_FALSE_POSITIVE,TRIGGER_RECLASSIFIED
PL!HS-bp5-001#A02,PL!HS-bp5-001#A02,PL!HS-bp5-001,日野下花帆,MEMBER,起動,<(E)><(E)>手札のライブカードを1枚公開する：自分の控え室から、これにより公開したカードのカード名がすべて含まれるライブカードを1枚手札に加える。,NOT_IMPLEMENTED_WITH_EVIDENCE,NOT_IMPLEMENTED_CONFIRMED,TRIGGER_RECLASSIFIED
PL!HS-bp5-016#A02,PL!HS-bp5-016#A02,PL!HS-bp5-016,桂城泉,MEMBER,常時,相手のステージにウェイト状態のメンバーが2人以上いるかぎり、<紫>を得る。,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,TRIGGER_RECLASSIFIED
PL!HS-bp5-018#A01,PL!HS-bp5-018#A01,PL!HS-bp5-018,AURORA FLOWER,LIVE,常時,すべての領域にあるこのカードは『スリーズブーケ』、『DOLLCHESTRA』、『みらくらぱーく！』として扱う。,IMPLEMENTED_ROUTE_UNVERIFIED,STATIC_FALSE_POSITIVE,TRIGGER_RECLASSIFIED
PL!HS-bp6-006#A02,PL!HS-bp6-006#A02,PL!HS-bp6-006,安養寺姫芽,MEMBER,常時,このメンバーは『みらくらぱーく！』以外のメンバーカードとのバトンタッチで控え室に置けない。,NOT_IMPLEMENTED_WITH_EVIDENCE,NOT_IMPLEMENTED_CONFIRMED,TRIGGER_RECLASSIFIED
PL!HS-bp6-007#A01,PL!HS-bp6-007#A01,PL!HS-bp6-007,セラス 柳田 リリエンフェルト,MEMBER,BODY,自分のステージに『Edel Note』のメンバーが登場したとき、相手は、自身のステージにいるアクティブ状態のメンバー1人をウェイトにする。,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,VALID_TOP_LEVEL_ABILITY
PL!HS-bp6-014#A01,PL!HS-bp6-014#A01,PL!HS-bp6-014,安養寺姫芽,MEMBER,起動,このカードを手札から控え室に置く：カードを1枚引き、ライブ終了時まで、自分のステージにいる「藤島慈」か「大沢瑠璃乃」のうち1人は<(ブレード)>を得る。この能力は、このカードが手札にある場合のみ起動できる。,IMPLEMENTED_ROUTE_UNVERIFIED,STATIC_FALSE_POSITIVE,TRIGGER_RECLASSIFIED
PL!HS-pb1-001#A01,PL!HS-pb1-001#A01,PL!HS-pb1-001,日野下花帆,MEMBER,BODY,自分のステージにほかの『スリーズブーケ』のメンバーが登場するたび、<(E)>を支払ってもよい。そうした場合、エネルギーを2枚アクティブにする。,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,VALID_TOP_LEVEL_ABILITY
PL!HS-pb1-002#A01,PL!HS-pb1-002#A01,PL!HS-pb1-002,村野さやか,MEMBER,起動,手札の「村野さやか」のメンバーカードを1枚公開する：これにより公開したカードをこのメンバーの下に置く。,NOT_IMPLEMENTED_WITH_EVIDENCE,NOT_IMPLEMENTED_CONFIRMED,TRIGGER_RECLASSIFIED
PL!HS-pb1-003#A02,PL!HS-pb1-003#A02,PL!HS-pb1-003,大沢瑠璃乃,MEMBER,BODY,自分の手札からカードが1枚以上控え室に置かれるたび、ライブ終了時まで、<桃><(ブレード)>を得る。,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,VALID_TOP_LEVEL_ABILITY
PL!HS-pb1-007#A02,PL!HS-pb1-007#A02,PL!HS-pb1-007,セラス 柳田 リリエンフェルト,MEMBER,常時,自分のステージにメンバーがちょうど2人おり、かつ相手のステージにメンバーが3人以上いるかぎり、<紫>を得る。,NOT_IMPLEMENTED_WITH_EVIDENCE,NOT_IMPLEMENTED_CONFIRMED,TRIGGER_RECLASSIFIED
PL!HS-pb1-008#A02,PL!HS-pb1-008#A02,PL!HS-pb1-008,桂城泉,MEMBER,常時,相手のステージにいるメンバーはアクティブフェイズにアクティブにならない。,NOT_IMPLEMENTED_WITH_EVIDENCE,NOT_IMPLEMENTED_CONFIRMED,TRIGGER_RECLASSIFIED
PL!HS-pb1-009#A01,PL!HS-pb1-009#A01,PL!HS-pb1-009,日野下花帆,MEMBER,BODY,自分のステージに『蓮ノ空』のメンバーが登場するたび、ライブ終了時まで、<(ブレード)><(ブレード)>を得る。,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,VALID_TOP_LEVEL_ABILITY
PL!HS-pb1-014#A02,PL!HS-pb1-014#A02,PL!HS-pb1-014,安養寺姫芽,MEMBER,常時,このメンバーの正面のエリアにいる相手のメンバーのコストが、このメンバーのコストより高いかぎり、<桃>を得る。,NOT_IMPLEMENTED_WITH_EVIDENCE,NOT_IMPLEMENTED_CONFIRMED,TRIGGER_RECLASSIFIED
PL!HS-pb1-015#A01,PL!HS-pb1-015#A01,PL!HS-pb1-015,セラス 柳田 リリエンフェルト,MEMBER,常時,自分のステージにほかのメンバーがいないかぎり、<(ブレード)><(ブレード)><(ブレード)>を失う。,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,TRIGGER_RECLASSIFIED
PL!HS-pb1-028#A02,PL!HS-pb1-028#A02,PL!HS-pb1-028,COMPASS,LIVE,ライブ開始時,自分のステージにいるコスト10以上の『DOLLCHESTRA』のメンバー1人を選ぶ。そのメンバーの<ライブ開始時>能力1つを発動させてよい。 / （<ライブ開始時>能力がコストを持つ場合、支払って発動させる。）,NOT_IMPLEMENTED_WITH_EVIDENCE,STATIC_ANALYSIS_INCONCLUSIVE,VALID_TOP_LEVEL_ABILITY
PL!HS-sd1-004#A02,PL!HS-sd1-004#A02,PL!HS-sd1-004,百生吟子,MEMBER,常時,自分のステージに「日野下花帆」か「徒町小鈴」か「安養寺姫芽」がいるかぎり、<緑>を得る。,NOT_IMPLEMENTED_WITH_EVIDENCE,NOT_IMPLEMENTED_CONFIRMED,TRIGGER_RECLASSIFIED
PL!HS-sd1-005#A02,PL!HS-sd1-005#A02,PL!HS-sd1-005,徒町小鈴,MEMBER,常時,自分のステージに「村野さやか」か「百生吟子」か「安養寺姫芽」がいるかぎり、<(ブレード)>を得る。,NOT_IMPLEMENTED_WITH_EVIDENCE,NOT_IMPLEMENTED_CONFIRMED,TRIGGER_RECLASSIFIED
PL!HS-sd1-020#A01,PL!HS-sd1-020#A01,PL!HS-sd1-020,Link to the FUTURE（104期Ver.）,LIVE,常時,すべての領域にあるこのカードは『スリーズブーケ』、『DOLLCHESTRA』、『みらくらぱーく！』として扱う。,IMPLEMENTED_ROUTE_UNVERIFIED,STATIC_FALSE_POSITIVE,TRIGGER_RECLASSIFIED
PL!N-PR-003#A01,PL!N-PR-003#A01,PL!N-PR-003,上原歩夢,MEMBER,起動,手札をすべて公開する：自分のステージにほかのメンバーがおり、かつこれにより公開した手札の中にライブカードがない場合、自分のデッキの上からカードを5枚見る。その中からライブカードを1枚公開して手札に加えてもよい。残りを控え室に置く。,IMPLEMENTED_ROUTE_UNVERIFIED,STATIC_FALSE_POSITIVE,TRIGGER_RECLASSIFIED
PL!N-PR-008#A01,PL!N-PR-008#A01,PL!N-PR-008,近江彼方,MEMBER,起動,手札をすべて公開する：自分のステージにほかのメンバーがおり、かつこれにより公開した手札の中にライブカードがない場合、自分のデッキの上からカードを5枚見る。その中からライブカードを1枚公開して手札に加えてもよい。残りを控え室に置く。,IMPLEMENTED_ROUTE_UNVERIFIED,STATIC_FALSE_POSITIVE,TRIGGER_RECLASSIFIED
