priority,canonical_id,cardnumber,family,status,problem,recommended_fix,evidence
P2,LL-bp2-001#A02,LL-bp2-001,stage_entry_or_baton_event,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/LL_bp2_001_A02/positive
P2,PL!-bp3-002#A02,PL!-bp3-002,opponent_reference_continuous,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_bp3_002_A02/positive
P2,PL!-bp4-002#A01,PL!-bp4-002,other_tier3,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_bp4_002_A01/positive
P2,PL!-bp4-018#A01,PL!-bp4-018,opponent_reference_continuous,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_bp4_018_A01/positive
P1,PL!-bp5-111#A02,PL!-bp5-111,activated_runtime,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_bp5_111_A02/positive
P2,PL!-bp6-009#A01,PL!-bp6-009,live_score_continuous,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_bp6_009_A01/positive
P2,PL!-bp6-019#A01,PL!-bp6-019,success_zone_continuous,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_bp6_019_A01/positive
P2,PL!-bp6-022#A01,PL!-bp6-022,success_zone_continuous,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_bp6_022_A01/positive
P2,PL!-pb1-002#A02,PL!-pb1-002,opponent_reference_continuous,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_pb1_002_A02/positive
P2,PL!-pb1-015#A02,PL!-pb1-015,opponent_reference_continuous,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_pb1_015_A02/positive
