original_audit_id,canonical_audit_id,correction_type,exclude_from_backlog,reason
LL-bp2-001#A02,LL-bp2-001#A02,TRIGGER_RECLASSIFIED,NO,"Compiled ability_type is 常時; BODY is parser body marker, not activation timing."
LL-bp7-001#A01,LL-bp7-001#A01,TRIGGER_RECLASSIFIED,NO,"Compiled ability_type is 常時; BODY is parser body marker, not activation timing."
PL!-PR-020#A02,PL!-PR-020#A02,VALID_TOP_LEVEL_ABILITY,NO,Top-level ability retained after DB ability lookup.
PL!-bp3-002#A02,PL!-bp3-002#A02,TRIGGER_RECLASSIFIED,NO,"Compiled ability_type is 常時; BODY is parser body marker, not activation timing."
PL!-bp4-002#A01,PL!-bp4-002#A01,TRIGGER_RECLASSIFIED,NO,"Compiled ability_type is 常時; BODY is parser body marker, not activation timing."
PL!-bp4-002#A03,PL!-bp4-002#A03,VALID_TOP_LEVEL_ABILITY,NO,Top-level ability retained after DB ability lookup.
PL!-bp4-002#A04,PL!-bp4-002#A03,DUPLICATE_OF_OTHER_AUDIT_ID,YES,"Same card, trigger, and normalized effect text as another audit row."
PL!-bp4-014#A02,PL!-bp4-014#A02,VALID_TOP_LEVEL_ABILITY,NO,Top-level ability retained after DB ability lookup.
PL!-bp4-014#A03,PL!-bp4-014#A02,DUPLICATE_OF_OTHER_AUDIT_ID,YES,"Same card, trigger, and normalized effect text as another audit row."
PL!-bp4-018#A01,PL!-bp4-018#A01,TRIGGER_RECLASSIFIED,NO,"Compiled ability_type is 常時; BODY is parser body marker, not activation timing."
PL!-bp5-111#A02,PL!-bp5-111#A02,TRIGGER_RECLASSIFIED,NO,"Compiled ability_type is 起動; BODY is parser body marker, not activation timing."
PL!-bp6-002#A02,PL!-bp6-002#A02,VALID_TOP_LEVEL_ABILITY,NO,Top-level ability retained after DB ability lookup.
PL!-bp6-009#A01,PL!-bp6-009#A01,TRIGGER_RECLASSIFIED,NO,"Compiled ability_type is 常時; BODY is parser body marker, not activation timing."
PL!-bp6-019#A01,PL!-bp6-019#A01,TRIGGER_RECLASSIFIED,NO,"Compiled ability_type is 常時; BODY is parser body marker, not activation timing."
PL!-bp6-020#A03,PL!-bp6-020#A03,VALID_TOP_LEVEL_ABILITY,NO,Top-level ability retained after DB ability lookup.
PL!-bp6-020#A04,PL!-bp6-020#A03,DUPLICATE_OF_OTHER_AUDIT_ID,YES,"Same card, trigger, and normalized effect text as another audit row."
PL!-bp6-022#A01,PL!-bp6-022#A01,TRIGGER_RECLASSIFIED,NO,"Compiled ability_type is 常時; BODY is parser body marker, not activation timing."
PL!-bp6-024#A01,PL!-bp6-024#A01,TRIGGER_RECLASSIFIED,NO,"Compiled ability_type is 常時; BODY is parser body marker, not activation timing."
PL!-pb1-002#A02,PL!-pb1-002#A02,TRIGGER_RECLASSIFIED,NO,"Compiled ability_type is 常時; BODY is parser body marker, not activation timing."
PL!-pb1-013#A02,PL!-pb1-013#A02,VALID_TOP_LEVEL_ABILITY,NO,Top-level ability retained after DB ability lookup.
PL!-pb1-015#A02,PL!-pb1-015#A02,VALID_TOP_LEVEL_ABILITY,NO,Top-level ability retained after DB ability lookup.
PL!HS-bp1-003#A01,PL!HS-bp1-003#A01,TRIGGER_RECLASSIFIED,NO,"Compiled ability_type is 常時; BODY is parser body marker, not activation timing."
PL!HS-bp2-020#A01,PL!HS-bp2-020#A01,TRIGGER_RECLASSIFIED,NO,"Compiled ability_type is 常時; BODY is parser body marker, not activation timing."
PL!HS-bp5-001#A02,PL!HS-bp5-001#A02,TRIGGER_RECLASSIFIED,NO,"Compiled ability_type is 起動; BODY is parser body marker, not activation timing."
PL!HS-bp5-016#A02,PL!HS-bp5-016#A02,TRIGGER_RECLASSIFIED,NO,"Compiled ability_type is 常時; BODY is parser body marker, not activation timing."
PL!HS-bp5-018#A01,PL!HS-bp5-018#A01,TRIGGER_RECLASSIFIED,NO,"Compiled ability_type is 常時; BODY is parser body marker, not activation timing."
PL!HS-bp6-006#A02,PL!HS-bp6-006#A02,TRIGGER_RECLASSIFIED,NO,"Compiled ability_type is 常時; BODY is parser body marker, not activation timing."
PL!HS-bp6-007#A01,PL!HS-bp6-007#A01,VALID_TOP_LEVEL_ABILITY,NO,Top-level ability retained after DB ability lookup.
PL!HS-bp6-014#A01,PL!HS-bp6-014#A01,TRIGGER_RECLASSIFIED,NO,"Compiled ability_type is 起動; BODY is parser body marker, not activation timing."
PL!HS-pb1-001#A01,PL!HS-pb1-001#A01,VALID_TOP_LEVEL_ABILITY,NO,Top-level ability retained after DB ability lookup.
PL!HS-pb1-002#A01,PL!HS-pb1-002#A01,TRIGGER_RECLASSIFIED,NO,"Compiled ability_type is 起動; BODY is parser body marker, not activation timing."
PL!HS-pb1-003#A02,PL!HS-pb1-003#A02,VALID_TOP_LEVEL_ABILITY,NO,Top-level ability retained after DB ability lookup.
PL!HS-pb1-007#A02,PL!HS-pb1-007#A02,TRIGGER_RECLASSIFIED,NO,"Compiled ability_type is 常時; BODY is parser body marker, not activation timing."
PL!HS-pb1-008#A02,PL!HS-pb1-008#A02,TRIGGER_RECLASSIFIED,NO,"Compiled ability_type is 常時; BODY is parser body marker, not activation timing."
PL!HS-pb1-009#A01,PL!HS-pb1-009#A01,VALID_TOP_LEVEL_ABILITY,NO,Top-level ability retained after DB ability lookup.
PL!HS-pb1-014#A02,PL!HS-pb1-014#A02,TRIGGER_RECLASSIFIED,NO,"Compiled ability_type is 常時; BODY is parser body marker, not activation timing."
PL!HS-pb1-015#A01,PL!HS-pb1-015#A01,TRIGGER_RECLASSIFIED,NO,"Compiled ability_type is 常時; BODY is parser body marker, not activation timing."
PL!HS-pb1-028#A02,PL!HS-pb1-028#A02,VALID_TOP_LEVEL_ABILITY,NO,Top-level ability retained after DB ability lookup.
PL!HS-pb1-028#A03,PL!HS-pb1-028#A02,DUPLICATE_OF_OTHER_AUDIT_ID,YES,"Same card, trigger, and normalized effect text as another audit row."
