cardnumber,cardname,ability_type,trigger,status,rule_id,cost_template,effect_template
LL-bp4-001,絢瀬絵里＆朝香果林＆葉月恋,自動,登場/ライブ開始時,implemented_named_member_pick_opponent_wait_cost_blade,look_top_named_members_optional_then_opponent_wait_cost_blade,,自分のデッキの上からカードを5枚見る。その中から「絢瀬絵里」か「朝香果林」か「葉月恋」のメンバーカードを1枚公開して手札に加えてもよい。残りを控え室に置く。その後、相手のステージにいる、これにより公開したカードのコスト以下で、かつ元々持つ<(ブレード)>の数が3つ以下のメンバーをすべてウェイトにする。
LL-bp6-001,南ことり＆黒澤ダイヤ＆徒町小鈴,自動,登場,implemented_existing_topk_or_deck,look_top_k_choose_n_rest_waiting,,自分のデッキの上からカードを6枚見る。その中からカードを2枚手札に加え、残りを控え室に置く。
PL!-bp3-007,東條希,自動,ライブ開始時,implemented_existing_topk_or_deck,look_top3_choose_one_hand_one_top_rest_green,手札を2枚控え室に置いてもよい,自分のデッキの上からカードを3枚見る。その中から1枚を手札に加え、1枚をデッキの上に置き、1枚を控え室に置く。
PL!-bp3-010,高坂穂乃果,自動,登場,implemented_existing_topk_or_deck,look_top_k_optional_type,手札を1枚控え室に置いてもよい,自分のデッキの上からカードを5枚見る。その中からライブカードを1枚公開して手札に加えてもよい。残りを控え室に置く。
PL!-bp3-014,星空凛,自動,登場,implemented_existing_topk_or_deck,enter_ginko_bp2016_reorder_top2,このメンバーをウェイトにしてもよい,自分のデッキの上からカードを2枚見る。その中から好きな枚数を好きな順番でデッキの上に置き、残りを控え室に置く。
PL!-bp3-017,小泉花陽,自動,登場,implemented_existing_topk_or_deck,enter_ginko_bp2016_reorder_top2,このメンバーをウェイトにしてもよい,自分のデッキの上からカードを2枚見る。その中から好きな枚数を好きな順番でデッキの上に置き、残りを控え室に置く。
PL!-bp3-018,矢澤にこ,自動,登場,implemented_existing_topk_or_deck,enter_ginko_bp2016_reorder_top2,このメンバーをウェイトにしてもよい,自分のデッキの上からカードを2枚見る。その中から好きな枚数を好きな順番でデッキの上に置き、残りを控え室に置く。
PL!-bp3-022,ユメノトビラ,自動,ライブ開始時,implemented_stage_count_reveal_live_score,reveal_top_by_all_stage_members_live_score_rest_waiting,,自分のデッキの上から、自分と相手のステージにいるメンバー1人につき、1枚公開する。それらの中にあるライブカード1枚につきこのカードのスコアを+1する。その後、これにより公開したカードを控え室に置く。
PL!-bp4-006,西木野真姫,自動,登場,implemented_existing_topk_or_deck,success_storage_score_sum_wrapper,,自分の成功ライブカード置き場にあるカードのスコア合計が3以上の場合、自分のデッキの上からカードを5枚見る。その中から『μ's』のメンバーカードを1枚公開して手札に加えてもよい。残りを控え室に置く。
PL!-bp5-001,高坂穂乃果,自動,ライブ成功時,implemented_live_total_plus_top_choose,look_top_live_total_plus_n_choose_one_rest_waiting,手札を1枚控え室に置いてもよい,自分のデッキの上から、自分のライブの合計スコアに2を足した数に等しい枚数見る。その中からカードを1枚手札に加える。残りを控え室に置く。
PL!-bp5-002,絢瀬絵里,自動,登場,implemented_existing_topk_or_deck,enter_eri_bp5002_top5_cost9_ge_mus_member_optional,このメンバーをウェイトにし、手札を1枚控え室に置いてもよい,自分のデッキの上からカードを5枚見る。その中からコスト9以上の『μ's』のメンバーカードを1枚公開して手札に加えてもよい。残りを控え室に置く。
PL!-bp5-003,南ことり,起動,BODY,implemented_discarded_group_branch_topk_or_live_retrieve,discarded_group_top4_choose2_else_retrieve_live,<(E)><(E)>手札を1枚控え室に置く,これにより控え室に置いたカードが『μ's』のカードの場合、自分のデッキの上からカードを4枚見る。その中からカードを2枚手札に加える。残りを控え室に置く。『μ's』のカード以外の場合、自分の控え室からライブカードを1枚手札に加える。
PL!-bp5-010,高坂穂乃果,自動,ライブ開始時,implemented_existing_topk_or_deck,mill_top_k_then_retrieve_waiting_group_type,手札を1枚控え室に置いてもよい,自分のデッキの上からカードを3枚控え室に置く。その後、自分の控え室から『A-RISE』のメンバーカードを1枚手札に加える。
PL!-bp5-014,星空凛,自動,登場,implemented_member_heart_any_color,look_top_k_optional_member_heart_any_color,手札を1枚控え室に置いてもよい,自分のデッキの上からカードを4枚見る。その中からハートに<青>か<紫>を持つメンバーカードを1枚公開して手札に加えてもよい。残りを控え室に置く。
PL!-bp5-222,優木あんじゅ,自動,登場,implemented_existing_topk_or_deck,look_top_k_choose_1_rest_waiting_sentence_split,このメンバーをウェイトにし、手札を1枚控え室に置いてもよい,自分のデッキの上からカードを3枚見る。その中から1枚を手札に加える。残りを控え室に置く。
PL!-bp6-002,絢瀬絵里,自動,登場,implemented_existing_topk_or_deck,look_top_k_optional_group_no_ability_or_body,,自分のデッキの上からカードを2枚見る。その中から能力を持たない『μ's』のカードか<常時>能力を持つ『μ's』のカードを1枚公開して手札に加えてもよい。残りを控え室に置く。
