audit_id,cardnumber,cardname,primary_family,effect_text,matcher,resolver,runtime_sampled,runtime_checked,trigger_reached,resolver_reached,effect_resolved,pending_kind,evidence,state_result,cleanup_result,undo_result,ui_result,phase4_result,confirmation_basis
LL-bp7-001#A01,LL-bp7-001,国木田花丸＆優木せつ菜＆嵐千砂都,手札を捨てる,このカードのプレイに際し、自分の手札から「国木田花丸」と「優木せつ菜」と「嵐千砂都」のメンバーカードをそれぞれ1枚ずつ控え室に置いてもよい。そうしたとき、このカードのコストは10になる。,,,YES,YES,NO,NO,NO,,_codex_outputs/effect_full_audit_phase4_20260716/state/LL_bp7_001_A01,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,NOT_IMPLEMENTED_CONFIRMED,Phase3 evidence rechecked; matcher scan performed; runtime sample recorded where selected.
PL!-PR-020#A02,PL!-PR-020,高坂穂乃果,スコア加算,自分のライブカード置き場にあるライブカードのスコアの合計が8以上の場合、『<常時>ライブの合計スコアを+1する。』を得る。,body_always_live_zone_score_sum_gte_score,body_always_noop,YES,YES,NO,NO,NO,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL__PR_020_A02,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_NOT_EXACT_OR_NOT_REACHED,UI_JSON_RECORDED,STATIC_ANALYSIS_INCONCLUSIVE,Phase3 evidence rechecked; matcher scan performed; runtime sample recorded where selected.
PL!-bp4-002#A03,PL!-bp4-002,絢瀬絵里,常時効果,自分のライブ中のライブカードに、<ライブ開始時>能力も<ライブ成功時>能力も持たないカードがあるかぎり、<紫><紫>を加える。,,,YES,YES,NO,NO,NO,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL__bp4_002_A03,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,NOT_IMPLEMENTED_CONFIRMED,Phase3 evidence rechecked; matcher scan performed; runtime sample recorded where selected.
PL!-bp4-002#A04,PL!-bp4-002,絢瀬絵里,常時効果,自分のライブ中のライブカードに、<ライブ開始時>能力も<ライブ成功時>能力も持たないカードがあるかぎり、<紫><紫>を加える。,,,YES,YES,NO,NO,NO,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL__bp4_002_A04,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,NOT_IMPLEMENTED_CONFIRMED,Phase3 evidence rechecked; matcher scan performed; runtime sample recorded where selected.
PL!-bp4-014#A02,PL!-bp4-014,星空凛,ブレード付与,自分のライブ中のライブカードに、<ライブ開始時>能力も<ライブ成功時>能力も持たないカードがある場合、ライブ終了時まで、自分のステージにいるこのメンバー以外のメンバー1人は、<(ブレード)><(ブレード)>を得る。,generic_conditional_stage_member_temp_bonus,__ext__,YES,YES,NO,NO,NO,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL__bp4_014_A02,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_NOT_EXACT_OR_NOT_REACHED,UI_JSON_RECORDED,STATIC_ANALYSIS_INCONCLUSIVE,Phase3 evidence rechecked; matcher scan performed; runtime sample recorded where selected.
PL!-bp4-014#A03,PL!-bp4-014,星空凛,ブレード付与,自分のライブ中のライブカードに、<ライブ開始時>能力も<ライブ成功時>能力も持たないカードがある場合、ライブ終了時まで、自分のステージにいるこのメンバー以外のメンバー1人は、<(ブレード)><(ブレード)>を得る。,generic_conditional_stage_member_temp_bonus,__ext__,YES,YES,NO,NO,NO,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL__bp4_014_A03,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_NOT_EXACT_OR_NOT_REACHED,UI_JSON_RECORDED,STATIC_ANALYSIS_INCONCLUSIVE,Phase3 evidence rechecked; matcher scan performed; runtime sample recorded where selected.
PL!-bp6-002#A02,PL!-bp6-002,絢瀬絵里,手札を捨てる,自分のデッキの上からカードを2枚見る。その中から能力を持たない『μ's』のカードか<常時>能力を持つ『μ's』のカードを1枚公開して手札に加えてもよい。残りを控え室に置く。,look_top_k_optional_group_no_ability_or_body,look_top_choose_filtered,YES,YES,YES,YES,NO,view_topk_no_match,_codex_outputs/effect_full_audit_phase4_20260716/state/PL__bp6_002_A02,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_NOT_EXACT_OR_NOT_REACHED,UI_JSON_RECORDED,STATIC_ANALYSIS_INCONCLUSIVE,Phase3 evidence rechecked; matcher scan performed; runtime sample recorded where selected.
PL!-bp6-020#A03,PL!-bp6-020,Dancing stars on me!,名前・グループ・ユニット条件,自分のステージのセンターエリアにいる『μ's』のメンバーの<ライブ開始時>能力が解決したとき、そのメンバーをポジションチェンジする。,,,YES,YES,NO,NO,NO,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL__bp6_020_A03,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,NOT_IMPLEMENTED_CONFIRMED,Phase3 evidence rechecked; matcher scan performed; runtime sample recorded where selected.
PL!-bp6-020#A04,PL!-bp6-020,Dancing stars on me!,名前・グループ・ユニット条件,自分のステージのセンターエリアにいる『μ's』のメンバーの<ライブ開始時>能力が解決したとき、そのメンバーをポジションチェンジする。,,,YES,YES,NO,NO,NO,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL__bp6_020_A04,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,NOT_IMPLEMENTED_CONFIRMED,Phase3 evidence rechecked; matcher scan performed; runtime sample recorded where selected.
PL!-bp6-024#A01,PL!-bp6-024,錯覚CROSSROADS,成功置き場参照,このカードを成功ライブカード置き場に置く場合、代わりに自分の控え室にある『μ's』のライブカードを1枚置いてもよい。,,,YES,YES,NO,NO,NO,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL__bp6_024_A01,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,NOT_IMPLEMENTED_CONFIRMED,Phase3 evidence rechecked; matcher scan performed; runtime sample recorded where selected.
PL!-pb1-013#A02,PL!-pb1-013,園田海未,スコア加算,<(E)><(E)>自分の手札を、相手は見ないで1枚選び公開する。これにより公開されたカードがライブカードの場合、ライブ終了時まで、このメンバーは『<常時>ライブの合計スコアを+1する。』を得る。,,,NO,NO,NO,NO,NO,,static_evidence/PL_-pb1-013_A02.md,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_IMPLEMENTED_CONFIRMED,Phase3 evidence rechecked; matcher scan performed; runtime sample recorded where selected.
PL!HS-bp5-001#A02,PL!HS-bp5-001,日野下花帆,手札を捨てる,<(E)><(E)>手札のライブカードを1枚公開する：自分の控え室から、これにより公開したカードのカード名がすべて含まれるライブカードを1枚手札に加える。,,,NO,NO,NO,NO,NO,,static_evidence/PL_HS-bp5-001_A02.md,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_IMPLEMENTED_CONFIRMED,Phase3 evidence rechecked; matcher scan performed; runtime sample recorded where selected.
PL!HS-bp6-006#A02,PL!HS-bp6-006,安養寺姫芽,名前・グループ・ユニット条件,このメンバーは『みらくらぱーく！』以外のメンバーカードとのバトンタッチで控え室に置けない。,,,NO,NO,NO,NO,NO,,static_evidence/PL_HS-bp6-006_A02.md,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_IMPLEMENTED_CONFIRMED,Phase3 evidence rechecked; matcher scan performed; runtime sample recorded where selected.
PL!HS-pb1-002#A01,PL!HS-pb1-002,村野さやか,常時効果,手札の「村野さやか」のメンバーカードを1枚公開する：これにより公開したカードをこのメンバーの下に置く。,,,NO,NO,NO,NO,NO,,static_evidence/PL_HS-pb1-002_A01.md,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_IMPLEMENTED_CONFIRMED,Phase3 evidence rechecked; matcher scan performed; runtime sample recorded where selected.
PL!HS-pb1-007#A02,PL!HS-pb1-007,セラス 柳田 リリエンフェルト,常時効果,自分のステージにメンバーがちょうど2人おり、かつ相手のステージにメンバーが3人以上いるかぎり、<紫>を得る。,,,NO,NO,NO,NO,NO,,static_evidence/PL_HS-pb1-007_A02.md,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_IMPLEMENTED_CONFIRMED,Phase3 evidence rechecked; matcher scan performed; runtime sample recorded where selected.
PL!HS-pb1-008#A02,PL!HS-pb1-008,桂城泉,メンバーをアクティブ,相手のステージにいるメンバーはアクティブフェイズにアクティブにならない。,,,NO,NO,NO,NO,NO,,static_evidence/PL_HS-pb1-008_A02.md,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_IMPLEMENTED_CONFIRMED,Phase3 evidence rechecked; matcher scan performed; runtime sample recorded where selected.
PL!HS-pb1-014#A02,PL!HS-pb1-014,安養寺姫芽,常時効果,このメンバーの正面のエリアにいる相手のメンバーのコストが、このメンバーのコストより高いかぎり、<桃>を得る。,,,NO,NO,NO,NO,NO,,static_evidence/PL_HS-pb1-014_A02.md,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_IMPLEMENTED_CONFIRMED,Phase3 evidence rechecked; matcher scan performed; runtime sample recorded where selected.
PL!HS-pb1-028#A02,PL!HS-pb1-028,COMPASS,名前・グループ・ユニット条件,自分のステージにいるコスト10以上の『DOLLCHESTRA』のメンバー1人を選ぶ。そのメンバーの<ライブ開始時>能力1つを発動させてよい。 / （<ライブ開始時>能力がコストを持つ場合、支払って発動させる。）,trigger_stage_cost_group_member_live_start_manual,trigger_stage_cost_group_member_live_start_manual,NO,NO,NO,NO,NO,,static_evidence/PL_HS-pb1-028_A02.md,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,STATIC_ANALYSIS_INCONCLUSIVE,Phase3 evidence rechecked; matcher scan performed; runtime sample recorded where selected.
PL!HS-pb1-028#A03,PL!HS-pb1-028,COMPASS,名前・グループ・ユニット条件,自分のステージにいるコスト10以上の『DOLLCHESTRA』のメンバー1人を選ぶ。そのメンバーの<ライブ開始時>能力1つを発動させてよい。 / （<ライブ開始時>能力がコストを持つ場合、支払って発動させる。）,trigger_stage_cost_group_member_live_start_manual,trigger_stage_cost_group_member_live_start_manual,NO,NO,NO,NO,NO,,static_evidence/PL_HS-pb1-028_A03.md,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,STATIC_ANALYSIS_INCONCLUSIVE,Phase3 evidence rechecked; matcher scan performed; runtime sample recorded where selected.
