original_audit_id,canonical_id,cardnumber,cardname,trigger,effect_text,family,registry_match,engine_parser_match,engine_special_match,server_route_match,resolved_route,trigger_hook_found,trigger_executed,condition_satisfied,resolver_entered,pending_created,expected_delta,actual_delta,effect_completed,expected_state_changed,cleanup_passed,undo_passed,ui_route_checked,browser_checked,browser_representative_id,final_status,reason,positive_evidence,negative_evidence,cleanup_evidence,undo_evidence,notes
PL!-bp5-111#A02,PL!-bp5-111#A02,PL!-bp5-111,綺羅ツバサ,起動,手札を1枚控え室に置く：ウェイト状態のメンバー1人をアクティブにする。これにより相手のステージにいるメンバーをアクティブにした場合、自分の控え室からライブカードを1枚控え室に置く。,activated_runtime,,activated;opponent_wait_input,cardnumber_reference,stage_activate_button;hand_activate_button;opponent_wait_count_input,cardnumber_reference,true,true,true,true,true,state/log route change,"{""negative_actions"": [""activate_to_green:C"", ""resolve_pending:PL!N-bp4-030""], ""negative_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 11, ""energy_active"": 0, ""energy_wait"": 3, ""green_count"": 6, ""hand_count"": 5, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""negative_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 11, ""energy_active"": 0, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 6, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_actions"": [""activate_to_green:C"", ""resolve_pending:PL!N-bp3-009""], ""positive_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 11, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 6, ""hand_count"": 3, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 11, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}}",false,true,true,true,true,false,PL_bp5_111_A02,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,evidence/PL_bp5_111_A02/positive,evidence/PL_bp5_111_A02/negative,evidence/PL_bp5_111_A02/cleanup,evidence/PL_bp5_111_A02/undo,source target retained from previous target_61; browser representative not marked checked; resolved_route=cardnumber_reference
PL!N-bp1-008#A01,PL!N-bp1-008#A01,PL!N-bp1-008,エマ・ヴェルデ,起動,手札のメンバーカードを1枚控え室に置く：自分の控え室から、これにより控え室に置いたメンバーカードより、コストの低いメンバーカードを1枚手札に加える。,activated_runtime,,activated,normalized_text_fragment,stage_activate_button;hand_activate_button,normalized_text_fragment,true,false,true,false,false,state/log route change,"{""negative_actions"": [""activate_to_green:C""], ""negative_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 9, ""energy_active"": 0, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 6, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""negative_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 9, ""energy_active"": 0, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 6, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_actions"": [""activate_to_green:C""], ""positive_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 9, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 9, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}}",false,true,true,false,true,false,PL_N_bp1_008_A01,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,evidence/PL_N_bp1_008_A01/positive,evidence/PL_N_bp1_008_A01/negative,evidence/PL_N_bp1_008_A01/cleanup,evidence/PL_N_bp1_008_A01/undo,source target retained from previous target_61; browser representative not marked checked; resolved_route=normalized_text_fragment
PL!N-bp4-008#A01,PL!N-bp4-008#A01,PL!N-bp4-008,エマ・ヴェルデ,起動,手札を1枚控え室に置く：エネルギー1枚か『虹ヶ咲』のメンバー1人をアクティブにする。,activated_runtime,,activated,,stage_activate_button;hand_activate_button,activated,true,true,true,true,true,energy/change,"{""negative_actions"": [""activate_to_green:C"", ""resolve_pending:PL!N-bp4-030""], ""negative_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 5, ""energy_active"": 0, ""energy_wait"": 3, ""green_count"": 6, ""hand_count"": 5, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""negative_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 5, ""energy_active"": 0, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 6, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_actions"": [""activate_to_green:C"", ""resolve_pending:PL!N-bp3-009""], ""positive_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 5, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 6, ""hand_count"": 3, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 5, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}}",false,true,true,true,true,false,PL_N_bp4_008_A01,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,evidence/PL_N_bp4_008_A01/positive,evidence/PL_N_bp4_008_A01/negative,evidence/PL_N_bp4_008_A01/cleanup,evidence/PL_N_bp4_008_A01/undo,source target retained from previous target_61; browser representative not marked checked; resolved_route=activated
PL!N-bp5-003#A01,PL!N-bp5-003#A01,PL!N-bp5-003,桜坂しずく,起動,手札を1枚控え室に置く：自分の控え室にあるライブカードを1枚選び、そのカードのスコアに等しい数の<(E)>を支払ってもよい。そうした場合、そのライブカードを手札に加える。,activated_runtime,,activated,,stage_activate_button;hand_activate_button;pending_resolve_ui,activated,true,true,true,true,true,energy/change,"{""negative_actions"": [""activate_to_green:C"", ""resolve_pending:PL!N-bp4-030""], ""negative_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": true, ""deck_count"": 11, ""effective_cost"": 11, ""energy_active"": 0, ""energy_wait"": 3, ""green_count"": 6, ""hand_count"": 5, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""negative_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": true, ""deck_count"": 11, ""effective_cost"": 11, ""energy_active"": 0, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 6, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_actions"": [""activate_to_green:C"", ""resolve_pending:PL!N-bp3-009""], ""positive_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": true, ""deck_count"": 11, ""effective_cost"": 11, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 6, ""hand_count"": 3, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": true, ""deck_count"": 11, ""effective_cost"": 11, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}}",false,true,true,true,true,false,PL_N_bp5_003_A01,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,evidence/PL_N_bp5_003_A01/positive,evidence/PL_N_bp5_003_A01/negative,evidence/PL_N_bp5_003_A01/cleanup,evidence/PL_N_bp5_003_A01/undo,source target retained from previous target_61; browser representative not marked checked; resolved_route=activated
PL!N-bp7-004#A01,PL!N-bp7-004#A01,PL!N-bp7-004,朝香果林,起動,エネルギー置き場にあるエネルギー1枚をこのメンバーの下に置く：相手のステージにいる、元々持つ<(ブレード)>の数がこのメンバーの下にあるエネルギーカードの枚数に1を足した数以下のメンバー1人をウェイトにする。,activated_runtime,,activated;opponent_wait_input;energy_under,normalized_text_fragment,stage_activate_button;hand_activate_button;opponent_wait_count_input,normalized_text_fragment,true,true,true,true,false,blade:+1;energy/change,"{""negative_actions"": [""activate_to_green:C""], ""negative_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 13, ""energy_active"": 0, ""energy_wait"": 2, ""green_count"": 5, ""hand_count"": 6, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""negative_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 13, ""energy_active"": 0, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 6, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_actions"": [""activate_to_green:C""], ""positive_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 13, ""energy_active"": 40, ""energy_wait"": 2, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 13, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}}",false,true,true,true,true,false,PL_N_bp7_004_A01,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,evidence/PL_N_bp7_004_A01/positive,evidence/PL_N_bp7_004_A01/negative,evidence/PL_N_bp7_004_A01/cleanup,evidence/PL_N_bp7_004_A01/undo,source target retained from previous target_61; browser representative not marked checked; resolved_route=normalized_text_fragment
PL!N-pb1-003#A01,PL!N-pb1-003#A01,PL!N-pb1-003,桜坂しずく,起動,<(E)><(E)>このカードを手札から控え室に置く：カードを1枚引き、ライブ終了時まで、自分のステージにいる『虹ヶ咲』のメンバー1人は<(ブレード)>を得る。この能力は、このカードが手札にある場合のみ起動できる。,activated_runtime,,activated,,stage_activate_button;hand_activate_button,activated,true,false,true,false,false,draw:+1;blade:+1;energy/change,"{""negative_actions"": [""activate_from_hand:-1""], ""negative_after"": {""always_blade_bonus"": null, ""always_hearts_bonus"": null, ""always_score_bonus"": null, ""can_activate"": null, ""deck_count"": 11, ""effective_cost"": null, ""energy_active"": 0, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 6, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": null, ""temp_hearts"": null}, ""negative_before"": {""always_blade_bonus"": null, ""always_hearts_bonus"": null, ""always_score_bonus"": null, ""can_activate"": null, ""deck_count"": 11, ""effective_cost"": null, ""energy_active"": 0, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 6, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": null, ""temp_hearts"": null}, ""positive_actions"": [""activate_from_hand:0""], ""positive_after"": {""always_blade_bonus"": null, ""always_hearts_bonus"": null, ""always_score_bonus"": null, ""can_activate"": null, ""deck_count"": 11, ""effective_cost"": null, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 3, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": null, ""temp_hearts"": null}, ""positive_before"": {""always_blade_bonus"": null, ""always_hearts_bonus"": null, ""always_score_bonus"": null, ""can_activate"": null, ""deck_count"": 11, ""effective_cost"": null, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 3, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": null, ""temp_hearts"": null}}",false,true,true,false,true,false,PL_N_pb1_003_A01,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,evidence/PL_N_pb1_003_A01/positive,evidence/PL_N_pb1_003_A01/negative,evidence/PL_N_pb1_003_A01/cleanup,evidence/PL_N_pb1_003_A01/undo,source target retained from previous target_61; browser representative not marked checked; resolved_route=activated
PL!S-bp3-006#A01,PL!S-bp3-006#A01,PL!S-bp3-006,津島善子,起動,このメンバーをウェイトにし、手札を1枚控え室に置く：このメンバー以外の『Aqours』のメンバー1人を自分のステージから控え室に置く。そうした場合、自分の控え室から、そのメンバーのコストに2を足した数に等しいコストの『Aqours』のメンバーカードを1枚、そのメンバーがいたエリアに登場させる。,activated_runtime,,activated,,stage_activate_button;hand_activate_button,activated,true,true,true,true,true,state/log route change,"{""negative_actions"": [""activate_to_green:C"", ""resolve_pending:PL!N-bp4-030""], ""negative_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": true, ""deck_count"": 11, ""effective_cost"": 13, ""energy_active"": 0, ""energy_wait"": 3, ""green_count"": 6, ""hand_count"": 5, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""negative_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": true, ""deck_count"": 11, ""effective_cost"": 13, ""energy_active"": 0, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 6, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_actions"": [""activate_to_green:C"", ""resolve_pending:PL!N-bp3-009""], ""positive_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": true, ""deck_count"": 11, ""effective_cost"": 13, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 6, ""hand_count"": 3, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": true, ""deck_count"": 11, ""effective_cost"": 13, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}}",false,true,true,true,true,false,PL_S_bp3_006_A01,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,evidence/PL_S_bp3_006_A01/positive,evidence/PL_S_bp3_006_A01/negative,evidence/PL_S_bp3_006_A01/cleanup,evidence/PL_S_bp3_006_A01/undo,source target retained from previous target_61; browser representative not marked checked; resolved_route=activated
PL!S-bp6-003#A01,PL!S-bp6-003#A01,PL!S-bp6-003,松浦果南,起動,"<(E)><(E)>,手札を1枚控え室に置く：このメンバー以外の『Aqours』のメンバー1人を自分のステージから控え室に置いてもよい。そうした場合、自分の控え室から、そのメンバーのコストに2を足した数に等しいコストの『Aqours』のメンバーカードを1枚、そのメンバーがいたエリアに登場させる。",activated_runtime,,activated,,stage_activate_button;hand_activate_button;pending_resolve_ui,activated,true,true,true,true,true,energy/change,"{""negative_actions"": [""activate_to_green:C"", ""resolve_pending:PL!N-bp4-030""], ""negative_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": true, ""deck_count"": 11, ""effective_cost"": 9, ""energy_active"": 0, ""energy_wait"": 3, ""green_count"": 6, ""hand_count"": 5, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""negative_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": true, ""deck_count"": 11, ""effective_cost"": 9, ""energy_active"": 0, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 6, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_actions"": [""activate_to_green:C"", ""resolve_pending:PL!N-bp3-009""], ""positive_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": true, ""deck_count"": 11, ""effective_cost"": 9, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 6, ""hand_count"": 3, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": true, ""deck_count"": 11, ""effective_cost"": 9, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}}",false,true,true,true,true,false,PL_S_bp6_003_A01,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,evidence/PL_S_bp6_003_A01/positive,evidence/PL_S_bp6_003_A01/negative,evidence/PL_S_bp6_003_A01/cleanup,evidence/PL_S_bp6_003_A01/undo,source target retained from previous target_61; browser representative not marked checked; resolved_route=activated
PL!S-pb1-006#A01,PL!S-pb1-006#A01,PL!S-pb1-006,津島善子,起動,手札のライブカードを1枚公開する：相手は手札を1枚控え室に置いてもよい。そうしなかった場合、ライブ終了時まで、<(ブレード)><(ブレード)><(ブレード)><(ブレード)>を得る。,activated_runtime,,activated,,stage_activate_button;hand_activate_button;pending_resolve_ui,activated,true,false,true,false,false,blade:+4,"{""negative_actions"": [""activate_to_green:C""], ""negative_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 9, ""energy_active"": 0, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 6, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""negative_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 9, ""energy_active"": 0, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 6, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_actions"": [""activate_to_green:C""], ""positive_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 9, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 9, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}}",false,true,true,false,true,false,PL_S_pb1_006_A01,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,evidence/PL_S_pb1_006_A01/positive,evidence/PL_S_pb1_006_A01/negative,evidence/PL_S_pb1_006_A01/cleanup,evidence/PL_S_pb1_006_A01/undo,source target retained from previous target_61; browser representative not marked checked; resolved_route=activated
PL!SP-bp2-008#A01,PL!SP-bp2-008#A01,PL!SP-bp2-008,若菜四季,起動,<(E)>：このメンバーがいるエリアとは別の自分のエリア1つを選ぶ。このメンバーをそのエリアに移動する。選んだエリアにメンバーがいる場合、そのメンバーは、このメンバーがいたエリアに移動させる。,activated_runtime,,activated,,stage_activate_button;hand_activate_button;pending_resolve_ui,activated,true,true,true,true,false,energy/change,"{""negative_actions"": [""activate_to_green:C""], ""negative_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 9, ""energy_active"": 0, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 6, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""negative_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 9, ""energy_active"": 0, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 6, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_actions"": [""activate_to_green:C""], ""positive_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 9, ""energy_active"": 39, ""energy_wait"": 4, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 9, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}}",false,true,true,true,true,false,PL_SP_bp2_008_A01,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,evidence/PL_SP_bp2_008_A01/positive,evidence/PL_SP_bp2_008_A01/negative,evidence/PL_SP_bp2_008_A01/cleanup,evidence/PL_SP_bp2_008_A01/undo,source target retained from previous target_61; browser representative not marked checked; resolved_route=activated
