original_audit_id,canonical_id,cardnumber,cardname,trigger,effect_text,primary_family,secondary_family,setup_id,matcher_route,trigger_reached,resolver_reached,pending_kind,runtime_state_changed,cleanup_checked,undo_checked,ui_required,ui_state_recorded,browser_ui_checked,browser_ui_passed,browser_ui_pending,final_status,reason,recommended_fix_scope,evidence,notes
LL-bp2-001#A02,LL-bp2-001#A02,LL-bp2-001,渡辺曜＆鬼塚夏美＆大沢瑠璃乃,常時,このメンバーはバトンタッチで控え室に置けない。,continuous_attribute,baton_touch / stage_entry_history,LL_bp2_001_A02,NO_MATCH,true,true,,false,false,false,false,true,false,false,false,TRIGGER_REACHED_RESOLVER_BLOCKED,Event-history trigger/hook family has no matching generic route for DB text.,event ledger + resolver family,evidence/state/LL_bp2_001_A02; evidence/ui/LL_bp2_001_A02; evidence/logs/LL_bp2_001_A02.log; evidence/commands/LL_bp2_001_A02.command.sh,db_match=true; phase4_family=常時効果; Continuous/BODY state inspected without mutation; action=state_only
PL!-bp3-002#A02,PL!-bp3-002#A02,PL!-bp3-002,絢瀬絵里,常時,相手のステージにいるウェイト状態のメンバー1人につき、<(ブレード)>を得る。,continuous_attribute,opponent_state_reference,PL_bp3_002_A02,NO_MATCH,true,true,,false,false,false,false,true,false,false,false,BLOCKED_BY_ENGINE_CAPABILITY,Effect needs opponent individual/member/live/hand state beyond current aggregate inputs.,engine capability design,evidence/state/PL_bp3_002_A02; evidence/ui/PL_bp3_002_A02; evidence/logs/PL_bp3_002_A02.log; evidence/commands/PL_bp3_002_A02.command.sh,db_match=true; phase4_family=メンバーをウェイト; Continuous/BODY state inspected without mutation; action=state_only
PL!-bp4-002#A01,PL!-bp4-002#A01,PL!-bp4-002,絢瀬絵里,常時,自分のライブ中のライブカードに、<ライブ開始時>能力も<ライブ成功時>能力も持たないカードがあるかぎり、<紫><紫>を加える。,continuous_attribute,,PL_bp4_002_A01,NO_MATCH,true,true,,false,false,false,false,true,false,false,false,GENERIC_ROUTE_TEXT_NOT_MATCHED,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,generic matcher family,evidence/state/PL_bp4_002_A01; evidence/ui/PL_bp4_002_A01; evidence/logs/PL_bp4_002_A01.log; evidence/commands/PL_bp4_002_A01.command.sh,db_match=true; phase4_family=常時効果; Continuous/BODY state inspected without mutation; action=state_only
PL!-bp4-018#A01,PL!-bp4-018#A01,PL!-bp4-018,矢澤にこ,常時,自分の成功ライブカード置き場にあるカードのスコアの合計が相手より高いかぎり、<(ブレード)><(ブレード)>を得る。,success_zone_reference,other;opponent_state_reference,PL_bp4_018_A01,NO_MATCH,true,true,,false,false,false,false,true,false,false,false,GENERIC_ROUTE_TEXT_NOT_MATCHED,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,generic matcher family,evidence/state/PL_bp4_018_A01; evidence/ui/PL_bp4_018_A01; evidence/logs/PL_bp4_018_A01.log; evidence/commands/PL_bp4_018_A01.command.sh,db_match=true; phase4_family=ブレード付与; Continuous/BODY state inspected without mutation; action=state_only
PL!-bp5-111#A02,PL!-bp5-111#A02,PL!-bp5-111,綺羅ツバサ,起動,手札を1枚控え室に置く：ウェイト状態のメンバー1人をアクティブにする。これにより相手のステージにいるメンバーをアクティブにした場合、自分の控え室からライブカードを1枚控え室に置く。,hand_to_green / discard,opponent_state_reference,PL_bp5_111_A02,NO_MATCH,false,false,,false,false,false,true,true,false,false,true,BLOCKED_BY_ENGINE_CAPABILITY,Effect needs opponent individual/member/live/hand state beyond current aggregate inputs.,engine capability design,evidence/state/PL_bp5_111_A02; evidence/ui/PL_bp5_111_A02; evidence/logs/PL_bp5_111_A02.log; evidence/commands/PL_bp5_111_A02.command.sh,db_match=true; phase4_family=手札を捨てる; UI route did not expose activate button for this setup; action=stage_detail.can_activate=false
PL!-bp6-009#A01,PL!-bp6-009#A01,PL!-bp6-009,矢澤にこ,常時,自分のステージの右サイドエリアと左サイドエリアに、元々持つ<(ブレード)>の数が2つのメンバーがいるかぎり、ライブの合計スコアを+1する。,stage_count_group_unit_name,,PL_bp6_009_A01,NO_MATCH,true,true,,false,false,false,false,true,false,false,false,GENERIC_ROUTE_TEXT_NOT_MATCHED,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,generic matcher family,evidence/state/PL_bp6_009_A01; evidence/ui/PL_bp6_009_A01; evidence/logs/PL_bp6_009_A01.log; evidence/commands/PL_bp6_009_A01.command.sh,db_match=true; phase4_family=ブレード付与; Continuous/BODY state inspected without mutation; action=state_only
PL!-bp6-019#A01,PL!-bp6-019#A01,PL!-bp6-019,Music S.T.A.R.T!!,常時,このカードが自分の成功ライブカード置き場にあるかぎり、元々のコストが17以上の『μ's』のメンバーカードを自分の手札から登場させるためのコストは2減る。この効果は重複しない。,success_zone_reference,other,PL_bp6_019_A01,NO_MATCH,true,true,,false,false,false,false,true,false,false,false,GENERIC_ROUTE_TEXT_NOT_MATCHED,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,generic matcher family,evidence/state/PL_bp6_019_A01; evidence/ui/PL_bp6_019_A01; evidence/logs/PL_bp6_019_A01.log; evidence/commands/PL_bp6_019_A01.command.sh,db_match=true; phase4_family=成功置き場参照; Continuous/BODY state inspected without mutation; action=state_only
PL!-bp6-022#A01,PL!-bp6-022#A01,PL!-bp6-022,Dreamin' Go! Go!!,常時,このカードが自分の成功ライブカード置き場にある限り、自分の元々のスコア5以上の『μ's』のライブカードの必要ハートを<任意><任意>減らす。この効果は重複しない。,success_zone_reference,live_start_required_heart,PL_bp6_022_A01,NO_MATCH,true,true,,false,false,false,false,true,false,false,false,GENERIC_ROUTE_TEXT_NOT_MATCHED,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,generic matcher family,evidence/state/PL_bp6_022_A01; evidence/ui/PL_bp6_022_A01; evidence/logs/PL_bp6_022_A01.log; evidence/commands/PL_bp6_022_A01.command.sh,db_match=true; phase4_family=必要ハート軽減; Continuous/BODY state inspected without mutation; action=state_only
PL!-pb1-002#A02,PL!-pb1-002#A02,PL!-pb1-002,絢瀬絵里,常時,相手のステージにいるウェイト状態のメンバー1人につき、<紫>を得る。,continuous_attribute,opponent_state_reference,PL_pb1_002_A02,NO_MATCH,true,true,,false,false,false,false,true,false,false,false,BLOCKED_BY_ENGINE_CAPABILITY,Effect needs opponent individual/member/live/hand state beyond current aggregate inputs.,engine capability design,evidence/state/PL_pb1_002_A02; evidence/ui/PL_pb1_002_A02; evidence/logs/PL_pb1_002_A02.log; evidence/commands/PL_pb1_002_A02.command.sh,db_match=true; phase4_family=メンバーをウェイト; Continuous/BODY state inspected without mutation; action=state_only
PL!-pb1-015#A02,PL!-pb1-015#A02,PL!-pb1-015,西木野真姫,BODY,自分のカードの効果によって、相手のステージにいるアクティブ状態のコスト4以下のメンバーがウェイト状態になったとき、カードを1枚引く。,draw,opponent_state_reference,PL_pb1_015_A02,NO_MATCH,true,true,,false,false,false,false,true,false,false,false,GENERIC_ROUTE_TEXT_NOT_MATCHED,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,generic matcher family,evidence/state/PL_pb1_015_A02; evidence/ui/PL_pb1_015_A02; evidence/logs/PL_pb1_015_A02.log; evidence/commands/PL_pb1_015_A02.command.sh,db_match=true; phase4_family=ドロー; Continuous/BODY state inspected without mutation; action=state_only
