count	card_no	rarity	name	variant_id
4	PL!-PR-006	PR	西木野真姫	
3	PL!-PR-015	PR	西木野真姫	
1	PL!-bp3-009	SEC	矢澤にこ	
4	PL!-bp3-015	N	西木野真姫	
1	PL!-bp3-026	L	Oh,Love＆Peace!	
1	PL!-bp4-002	SEC	絢瀬絵里	
2	PL!-bp4-005	SEC	星空凛	
4	PL!-bp4-006	P	西木野真姫	
2	PL!-bp4-021	L	？←HEARTBEAT	
1	PL!-bp4-022	SECL	No brand girls	
1	PL!-bp5-006	AR	西木野真姫	
4	PL!-bp5-012	N	南ことり	
2	PL!-bp6-003	SEC	南ことり	
3	PL!-bp6-006	SEC	西木野真姫	
2	PL!-bp6-007	SEC	東條希	
4	PL!-bp6-019	L	Music S.T.A.R.T!!	
1	PL!-bp6-022	L	Dreamin' Go! Go!!	
3	PL!-bp6-024	L	錯覚CROSSROADS	
1	PL!-pb1-006	P+	西木野真姫	
1	PL!-pb1-011	P+	絢瀬絵里	
4	PL!-pb1-015	P+	西木野真姫	
4	PL!-pb1-024	N	西木野真姫	
4	PL!-sd1-002	SD	絢瀬絵里	
3	PL!-sd1-006	SD	西木野真姫	
