cardnumber,cardname,page_title,card_type_raw,work_title,group,unit,cost,blade,blade_heart_raw,base_hearts_raw,required_hearts_raw,score,effect_text_raw,source_url,card_type_norm,base_hearts_counts_json,base_hearts_total,base_hearts_tags_json,required_hearts_counts_json,required_hearts_total,required_hearts_tags_json,blade_heart_counts_json,blade_heart_total,blade_heart_tags_json,effect_text_norm,effect_text_status,effect_text_is_no_ability,effect_tokens_json,tok_blade_icon_n,tok_energy_icon_n,tok_all_heart_n,tok_score_delta_icon,tok_unknown_tags_n,blade_heart_special_counts_json,blade_heart_draw_n,blade_heart_score_n,blade_heart_colorless_n,manual_override_applied,manual_override_reason
LL-PR-004,愛♡スクリ～ム！,LL-PR-004 愛♡スクリ～ム！ - ラブライブ！シリーズ オフィシャルカードゲーム(ラブカ) 非公式 Wiki*,ライブ,-,,AiScReam,,,<ALL>,,<桃> 3 <赤> 3 <緑> 3 (合計9),3.0,"<ライブ開始時>
相手に何が好き？と聞く。
回答がチョコミントかストロベリーフレイバーかクッキー&クリームの場合、自分と相手は手札を1枚控え室に置く。
回答があなたの場合、自分と相手はカードを1枚引く。
回答がそれ以外の場合、ライブ終了時まで、自分と相手のステージにいるメンバーは
<(ブレード)>
を得る。",https://wikiwiki.jp/llocardgame/LL-PR-004%20%E6%84%9B%E2%99%A1%E3%82%B9%E3%82%AF%E3%83%AA%EF%BD%9E%E3%83%A0%EF%BC%81,LIVE,{},0,[],{},9,[],"{""all"": 1}",1,[],"<ライブ開始時>
相手に何が好き？と聞く。
回答がチョコミントかストロベリーフレイバーかクッキー&クリームの場合、自分と相手は手札を1枚控え室に置く。
回答があなたの場合、自分と相手はカードを1枚引く。
回答がそれ以外の場合、ライブ終了時まで、自分と相手のステージにいるメンバーは
<(ブレード)>
を得る。",HAS_TEXT,0,"{""hearts"": {}, ""blade_mentions"": [], ""tags"": [], ""blade_icon_n"": 1, ""energy_icon_n"": 0, ""all_heart_n"": 0, ""score_delta_icon"": 0, ""unknown_tags"": []}",1,0,0,0,0,"{""draw"": 0, ""score"": 0, ""colorless"": 0}",0,0,0,,
LL-bp1-001,上原歩夢＆澁谷かのん＆日野下花帆,LL-bp1-001 上原歩夢＆澁谷かのん＆日野下花帆 - ラブライブ！シリーズ オフィシャルカードゲーム(ラブカ) 非公式 Wiki*,メンバー,ラブライブ！虹ヶ咲学園スクールアイドル同好会 ラブライブ！スーパースター!! ラブライブ！蓮ノ空女学院スクールアイドルクラブ,虹ヶ咲 / Liella! / 蓮ノ空,,20.0,5.0,なし,<桃> 3 <緑> 3 <紫> 3,,,"<登場>
自分の控え室からメンバーカードを1枚手札に加える。
<ライブ開始時>
手札の「上原歩夢」と「澁谷かのん」と「日野下花帆」を、好きな組み合わせで合計3枚、控え室に置いてもよい：ライブ終了時まで、「
<常時>
ライブの合計スコアを+3する。」を得る。",https://wikiwiki.jp/llocardgame/LL-bp1-001%20%E4%B8%8A%E5%8E%9F%E6%AD%A9%E5%A4%A2%EF%BC%86%E6%BE%81%E8%B0%B7%E3%81%8B%E3%81%AE%E3%82%93%EF%BC%86%E6%97%A5%E9%87%8E%E4%B8%8B%E8%8A%B1%E5%B8%86,MEMBER,{},0,[],{},0,[],{},0,[],"<登場>
自分の控え室からメンバーカードを1枚手札に加える。
<ライブ開始時>
手札の「上原歩夢」と「澁谷かのん」と「日野下花帆」を、好きな組み合わせで合計3枚、控え室に置いてもよい：ライブ終了時まで、「
<常時>
ライブの合計スコアを+3する。」を得る。",HAS_TEXT,0,"{""hearts"": {}, ""blade_mentions"": [], ""blade_icon_n"": 0, ""energy_icon_n"": 0, ""all_heart_n"": 0, ""score_delta_icon"": 0, ""unknown_tags"": [], ""tags"": []}",0,0,0,0,0,"{""draw"": 0, ""score"": 0, ""colorless"": 0}",0,0,0,,
LL-bp2-001,渡辺曜＆鬼塚夏美＆大沢瑠璃乃,LL-bp2-001 渡辺曜＆鬼塚夏美＆大沢瑠璃乃 - ラブライブ！シリーズ オフィシャルカードゲーム(ラブカ) 非公式 Wiki*,メンバー,ラブライブ！サンシャイン!! ラブライブ！スーパースター!! ラブライブ！蓮ノ空女学院スクールアイドルクラブ,Aqours / Liella! / 蓮ノ空,,20.0,6.0,なし,<桃> 2 <黄> 2 <緑> 2,,,"<常時>
手札にあるこのメンバーカードのコストは、このカード以外の自分の手札1枚につき、1少なくなる。
<常時>
このメンバーはバトンタッチで控え室に置けない。
<ライブ開始時>
手札の「渡辺曜」と「鬼塚夏美」と「大沢瑠璃乃」を好きな枚数控え室に置いてもよい：ライブ終了時まで、これによって控え室に置いた枚数1枚につき
<(ブレード)>
を得る。",https://wikiwiki.jp/llocardgame/LL-bp2-001%20%E6%B8%A1%E8%BE%BA%E6%9B%9C%EF%BC%86%E9%AC%BC%E5%A1%9A%E5%A4%8F%E7%BE%8E%EF%BC%86%E5%A4%A7%E6%B2%A2%E7%91%A0%E7%92%83%E4%B9%83,MEMBER,{},0,[],{},0,[],{},0,[],"<常時>
手札にあるこのメンバーカードのコストは、このカード以外の自分の手札1枚につき、1少なくなる。
<常時>
このメンバーはバトンタッチで控え室に置けない。
<ライブ開始時>
手札の「渡辺曜」と「鬼塚夏美」と「大沢瑠璃乃」を好きな枚数控え室に置いてもよい：ライブ終了時まで、これによって控え室に置いた枚数1枚につき
<(ブレード)>
を得る。",HAS_TEXT,0,"{""hearts"": {}, ""blade_mentions"": [], ""tags"": [], ""blade_icon_n"": 1, ""energy_icon_n"": 0, ""all_heart_n"": 0, ""score_delta_icon"": 0, ""unknown_tags"": []}",1,0,0,0,0,"{""draw"": 0, ""score"": 0, ""colorless"": 0}",0,0,0,,
LL-bp3-001,園田海未＆津島善子＆天王寺璃奈,LL-bp3-001 園田海未＆津島善子＆天王寺璃奈 - ラブライブ！シリーズ オフィシャルカードゲーム(ラブカ) 非公式 Wiki*,メンバー,ラブライブ！ ラブライブ！サンシャイン!! ラブライブ！虹ヶ咲学園スクールアイドル同好会,μ's / Aqours / 虹ヶ咲,,20.0,5.0,なし,<桃> 2 <青> 2 <紫> 2,,,"<起動>
<ターン1回>
自分の控え室にある「園田海未」と「津島善子」と「天王寺璃奈」を、合計6枚をシャッフルしてデッキの一番下に置く：エネルギーを6枚までアクティブにする。
<ライブ開始時>
<(E)>
<(E)>
<(E)>
<(E)>
<(E)>
<(E)>
支払ってもよい：ライブ終了時まで、
<(ブレード)>
<(ブレード)>
<(ブレード)>
を得る。",https://wikiwiki.jp/llocardgame/LL-bp3-001%20%E5%9C%92%E7%94%B0%E6%B5%B7%E6%9C%AA%EF%BC%86%E6%B4%A5%E5%B3%B6%E5%96%84%E5%AD%90%EF%BC%86%E5%A4%A9%E7%8E%8B%E5%AF%BA%E7%92%83%E5%A5%88,MEMBER,{},0,[],{},0,[],{},0,[],"<起動>
<ターン1回>
自分の控え室にある「園田海未」と「津島善子」と「天王寺璃奈」を、合計6枚をシャッフルしてデッキの一番下に置く：エネルギーを6枚までアクティブにする。
<ライブ開始時>
<(E)>
<(E)>
<(E)>
<(E)>
<(E)>
<(E)>
支払ってもよい：ライブ終了時まで、
<(ブレード)>
<(ブレード)>
<(ブレード)>
を得る。",HAS_TEXT,0,"{""hearts"": {}, ""blade_mentions"": [], ""tags"": [], ""blade_icon_n"": 3, ""energy_icon_n"": 6, ""all_heart_n"": 0, ""score_delta_icon"": 0, ""unknown_tags"": []}",3,6,0,0,0,"{""draw"": 0, ""score"": 0, ""colorless"": 0}",0,0,0,,
LL-bp4-001,絢瀬絵里＆朝香果林＆葉月恋,LL-bp4-001 絢瀬絵里＆朝香果林＆葉月恋 - ラブライブ！シリーズ オフィシャルカードゲーム(ラブカ) 非公式 Wiki*,メンバー,ラブライブ！ ラブライブ！虹ヶ咲学園スクールアイドル同好会 ラブライブ！スーパースター!!,μ's / 虹ヶ咲 / Liella!,,20.0,6.0,なし,<赤> 2 <青> 2 <紫> 2,,,"<登場>
/
<ライブ開始時>
自分のデッキの上からカードを5枚見る。その中から「絢瀬絵里」か「朝香果林」か「葉月恋」のメンバーカードを1枚公開して手札に加えてもよい。残りを控え室に置く。その後、相手のステージにいる、これにより公開したカードのコスト以下で、かつ元々持つ
<(ブレード)>
の数が3つ以下のメンバーをすべてウェイトにする。",https://wikiwiki.jp/llocardgame/LL-bp4-001%20%E7%B5%A2%E7%80%AC%E7%B5%B5%E9%87%8C%EF%BC%86%E6%9C%9D%E9%A6%99%E6%9E%9C%E6%9E%97%EF%BC%86%E8%91%89%E6%9C%88%E6%81%8B,MEMBER,{},0,[],{},0,[],{},0,[],"<登場>
/
<ライブ開始時>
自分のデッキの上からカードを5枚見る。その中から「絢瀬絵里」か「朝香果林」か「葉月恋」のメンバーカードを1枚公開して手札に加えてもよい。残りを控え室に置く。その後、相手のステージにいる、これにより公開したカードのコスト以下で、かつ元々持つ
<(ブレード)>
の数が3つ以下のメンバーをすべてウェイトにする。",HAS_TEXT,0,"{""hearts"": {}, ""blade_mentions"": [], ""tags"": [], ""blade_icon_n"": 1, ""energy_icon_n"": 0, ""all_heart_n"": 0, ""score_delta_icon"": 0, ""unknown_tags"": []}",1,0,0,0,0,"{""draw"": 0, ""score"": 0, ""colorless"": 0}",0,0,0,,
LL-bp5-001,Live with a smile!,LL-bp5-001 Live with a smile! - ラブライブ！シリーズ オフィシャルカードゲーム(ラブカ) 非公式 Wiki*,ライブ,ラブライブ！サンシャイン!! ラブライブ！虹ヶ咲学園スクールアイドル同好会 ラブライブ！スーパースター!!,,,,,<スコア+1>,,<赤> 1 <任意> 3 (合計4),1.0,"<ライブ成功時>
エールにより公開された自分のカードの中にライブカードが2枚以上あるか、自分のステージにいるメンバーが持つハートの中に
<桃>
、
<赤>
、
<黄>
、
<緑>
、
<青>
、
<紫>
のうち合計5種類以上あるか、このターンに自分のステージにいるメンバーがエリアを移動している場合、このカードのスコアを+1する。",https://wikiwiki.jp/llocardgame/LL-bp5-001%20Live%20with%20a%20smile%21,LIVE,{},0,[],{},4,[],{},0,[],"<ライブ成功時>
エールにより公開された自分のカードの中にライブカードが2枚以上あるか、自分のステージにいるメンバーが持つハートの中に
<桃>
、
<赤>
、
<黄>
、
<緑>
、
<青>
、
<紫>
のうち合計5種類以上あるか、このターンに自分のステージにいるメンバーがエリアを移動している場合、このカードのスコアを+1する。",HAS_TEXT,0,"{""hearts"": {}, ""blade_mentions"": [], ""blade_icon_n"": 0, ""energy_icon_n"": 0, ""all_heart_n"": 0, ""score_delta_icon"": 0, ""unknown_tags"": [], ""tags"": []}",0,0,0,0,0,"{""draw"": 0, ""score"": 1, ""colorless"": 0}",0,1,0,,
LL-bp5-002,Bring the LOVE！,LL-bp5-002 Bring the LOVE！ - ラブライブ！シリーズ オフィシャルカードゲーム(ラブカ) 非公式 Wiki*,ライブ,-,,,,,<ALL>,,<桃> 2 <赤> 2 <黄> 1 <任意> 5 (合計10),4.0,"<ライブ開始時>
自分のステージにグループ名がそれぞれ異なるメンバーが3人以上いる場合、ライブ終了時まで、自分のセンターエリアにいるメンバーは
<ALL>
を得る。
<ライブ成功時>
自分の控え室にある、自分のステージにいるすべてのメンバーと異なるグループ名を持つカード1枚を手札に加える。",https://wikiwiki.jp/llocardgame/LL-bp5-002%20Bring%20the%20LOVE%EF%BC%81,LIVE,{},0,[],{},10,[],"{""all"": 1}",1,[],"<ライブ開始時>
自分のステージにグループ名がそれぞれ異なるメンバーが3人以上いる場合、ライブ終了時まで、自分のセンターエリアにいるメンバーは
<ALL>
を得る。
<ライブ成功時>
自分の控え室にある、自分のステージにいるすべてのメンバーと異なるグループ名を持つカード1枚を手札に加える。",HAS_TEXT,0,"{""hearts"": {}, ""blade_mentions"": [], ""blade_icon_n"": 0, ""energy_icon_n"": 0, ""all_heart_n"": 0, ""score_delta_icon"": 0, ""unknown_tags"": [], ""tags"": []}",0,0,0,0,0,"{""draw"": 0, ""score"": 0, ""colorless"": 0}",0,0,0,,
LL-bp6-001,南ことり＆黒澤ダイヤ＆徒町小鈴,LL-bp6-001 南ことり＆黒澤ダイヤ＆徒町小鈴 - ラブライブ！シリーズ オフィシャルカードゲーム(ラブカ) 非公式 Wiki*,メンバー,ラブライブ！ ラブライブ！サンシャイン!! ラブライブ！蓮ノ空女学院スクールアイドルクラブ,μ's / Aqours / 蓮ノ空,,20.0,7.0,なし,<赤> 2 <黄> 2 <青> 2,,,"<登場>
自分のデッキの上からカードを6枚見る。その中からカードを2枚手札に加え、残りを控え室に置く。
<ライブ開始時>
手札の「南ことり」と「黒澤ダイヤ」と「徒町小鈴」を好きな枚数控え室に置いてもよい：ライブ終了時まで、これにより控え室に置いたそれらのカードが持つハートの色1つにつき、その色のハートを1つずつ得る。",https://wikiwiki.jp/llocardgame/LL-bp6-001%20%E5%8D%97%E3%81%93%E3%81%A8%E3%82%8A%EF%BC%86%E9%BB%92%E6%BE%A4%E3%83%80%E3%82%A4%E3%83%A4%EF%BC%86%E5%BE%92%E7%94%BA%E5%B0%8F%E9%88%B4,MEMBER,{},0,[],{},0,[],{},0,[],"<登場>
自分のデッキの上からカードを6枚見る。その中からカードを2枚手札に加え、残りを控え室に置く。
<ライブ開始時>
手札の「南ことり」と「黒澤ダイヤ」と「徒町小鈴」を好きな枚数控え室に置いてもよい：ライブ終了時まで、これにより控え室に置いたそれらのカードが持つハートの色1つにつき、その色のハートを1つずつ得る。",HAS_TEXT,0,"{""hearts"": {}, ""blade_mentions"": [], ""blade_icon_n"": 0, ""energy_icon_n"": 0, ""all_heart_n"": 0, ""score_delta_icon"": 0, ""unknown_tags"": [], ""tags"": []}",0,0,0,0,0,"{""draw"": 0, ""score"": 0, ""colorless"": 0}",0,0,0,,
LL-bp7-001,国木田花丸＆優木せつ菜＆嵐千砂都,LL-bp7-001 国木田花丸＆優木せつ菜＆嵐千砂都 - ラブライブ！シリーズ オフィシャルカードゲーム(ラブカ) 非公式 Wiki*,メンバー,ラブライブ！サンシャイン!! ラブライブ！虹ヶ咲学園スクールアイドル同好会 ラブライブ！スーパースター!!,,,15.0,4.0,なし,<赤> 2 <緑> 2 <紫> 2,,,"<常時>
このカードのプレイに際し、自分の手札から「国木田花丸」と「優木せつ菜」と「嵐千砂都」のメンバーカードをそれぞれ1枚ずつ控え室に置いてもよい。そうしたとき、このカードのコストは10になる。
<登場>
自分の控え室からライブカードを1枚手札に加える。
<ライブ成功時>
自分の控え室からメンバーカードを1枚手札に加える。",https://wikiwiki.jp/llocardgame/LL-bp7-001%20%E5%9B%BD%E6%9C%A8%E7%94%B0%E8%8A%B1%E4%B8%B8%EF%BC%86%E5%84%AA%E6%9C%A8%E3%81%9B%E3%81%A4%E8%8F%9C%EF%BC%86%E5%B5%90%E5%8D%83%E7%A0%82%E9%83%BD,MEMBER,{},0,[],{},0,[],{},0,[],"<常時>
このカードのプレイに際し、自分の手札から「国木田花丸」と「優木せつ菜」と「嵐千砂都」のメンバーカードをそれぞれ1枚ずつ控え室に置いてもよい。そうしたとき、このカードのコストは10になる。
<登場>
自分の控え室からライブカードを1枚手札に加える。
<ライブ成功時>
自分の控え室からメンバーカードを1枚手札に加える。",HAS_TEXT,0,"{""hearts"": {}, ""blade_mentions"": [], ""blade_icon_n"": 0, ""energy_icon_n"": 0, ""all_heart_n"": 0, ""score_delta_icon"": 0, ""unknown_tags"": [], ""tags"": []}",0,0,0,0,0,"{""draw"": 0, ""score"": 0, ""colorless"": 0}",0,0,0,,
PL!-PR-001,高坂穂乃果,PL!-PR-001 高坂穂乃果 - ラブライブ！シリーズ オフィシャルカードゲーム(ラブカ) 非公式 Wiki*,メンバー,ラブライブ！,μ's,Printemps,4.0,1.0,なし,<黄> 2,,,"<自動>
このメンバーがステージから控え室に置かれたとき、メンバー1人をアクティブにしてもよい。",https://wikiwiki.jp/llocardgame/PL%21-PR-001%20%E9%AB%98%E5%9D%82%E7%A9%82%E4%B9%83%E6%9E%9C,MEMBER,{},0,[],{},0,[],{},0,[],"<自動>
このメンバーがステージから控え室に置かれたとき、メンバー1人をアクティブにしてもよい。",HAS_TEXT,0,"{""hearts"": {}, ""blade_mentions"": [], ""blade_icon_n"": 0, ""energy_icon_n"": 0, ""all_heart_n"": 0, ""score_delta_icon"": 0, ""unknown_tags"": [], ""tags"": []}",0,0,0,0,0,"{""draw"": 0, ""score"": 0, ""colorless"": 0}",0,0,0,,
