audit_id,cardnumber,cardname,trigger,previous_status,phase2_status,matcher_parser,trigger_queue_path,pending_kind,resolve_dispatch,state_helper,ui_renderer,cleanup_path,reachability_evidence,code_evidence
LL-bp2-001#A02,LL-bp2-001,渡辺曜＆鬼塚夏美＆大沢瑠璃乃,常時,NOT_IMPLEMENTED,NOT_IMPLEMENTED_CONFIRMED,,,,,,,not proven in static mapping; requires runtime/state probe for temporary effects,No previous static matcher/resolve route; no pending/dispatch evidence in mapping,
LL-bp7-001#A01,LL-bp7-001,国木田花丸＆優木せつ菜＆嵐千砂都,常時,NOT_IMPLEMENTED,NOT_IMPLEMENTED_CONFIRMED,,,,,,,not proven in static mapping; requires runtime/state probe for temporary effects,No previous static matcher/resolve route; no pending/dispatch evidence in mapping,
PL!-PR-020#A02,PL!-PR-020,高坂穂乃果,常時,UNREACHABLE,UNREACHABLE_TRIGGER_CONFIRMED,,,,,,,not proven in static mapping; requires runtime/state probe for temporary effects,"Route candidate exists or text matched, but previous reachable flag is not YES; trigger collection path is not proven",
PL!-bp3-002#A02,PL!-bp3-002,絢瀬絵里,常時,NOT_IMPLEMENTED,NOT_IMPLEMENTED_CONFIRMED,,,,,,,not proven in static mapping; requires runtime/state probe for temporary effects,No previous static matcher/resolve route; no pending/dispatch evidence in mapping,
PL!-bp4-002#A01,PL!-bp4-002,絢瀬絵里,常時,NOT_IMPLEMENTED,NOT_IMPLEMENTED_CONFIRMED,,,,,,,not proven in static mapping; requires runtime/state probe for temporary effects,No previous static matcher/resolve route; no pending/dispatch evidence in mapping,
PL!-bp4-002#A03,PL!-bp4-002,絢瀬絵里,ライブ成功時,UNREACHABLE,UNREACHABLE_TRIGGER_CONFIRMED,,,,,,,not proven in static mapping; requires runtime/state probe for temporary effects,"Route candidate exists or text matched, but previous reachable flag is not YES; trigger collection path is not proven",
PL!-bp4-002#A04,PL!-bp4-002,絢瀬絵里,起動,UNREACHABLE,UNREACHABLE_TRIGGER_CONFIRMED,,,,,,,not proven in static mapping; requires runtime/state probe for temporary effects,"Route candidate exists or text matched, but previous reachable flag is not YES; trigger collection path is not proven",
PL!-bp4-014#A02,PL!-bp4-014,星空凛,ライブ開始時,UNREACHABLE,UNREACHABLE_TRIGGER_CONFIRMED,,,,,,,not proven in static mapping; requires runtime/state probe for temporary effects,"Route candidate exists or text matched, but previous reachable flag is not YES; trigger collection path is not proven",
PL!-bp4-014#A03,PL!-bp4-014,星空凛,ライブ成功時,UNREACHABLE,UNREACHABLE_TRIGGER_CONFIRMED,,,,,,,not proven in static mapping; requires runtime/state probe for temporary effects,"Route candidate exists or text matched, but previous reachable flag is not YES; trigger collection path is not proven",
PL!-bp4-018#A01,PL!-bp4-018,矢澤にこ,常時,NOT_IMPLEMENTED,NOT_IMPLEMENTED_CONFIRMED,,,,,,,not proven in static mapping; requires runtime/state probe for temporary effects,No previous static matcher/resolve route; no pending/dispatch evidence in mapping,
PL!-bp5-111#A02,PL!-bp5-111,綺羅ツバサ,起動,NOT_IMPLEMENTED,NOT_IMPLEMENTED_CONFIRMED,,,,,,,not proven in static mapping; requires runtime/state probe for temporary effects,No previous static matcher/resolve route; no pending/dispatch evidence in mapping,
PL!-bp6-002#A02,PL!-bp6-002,絢瀬絵里,常時,UNREACHABLE,UNREACHABLE_TRIGGER_CONFIRMED,,,,,,,not proven in static mapping; requires runtime/state probe for temporary effects,"Route candidate exists or text matched, but previous reachable flag is not YES; trigger collection path is not proven",
PL!-bp6-009#A01,PL!-bp6-009,矢澤にこ,常時,NOT_IMPLEMENTED,NOT_IMPLEMENTED_CONFIRMED,,,,,,,not proven in static mapping; requires runtime/state probe for temporary effects,No previous static matcher/resolve route; no pending/dispatch evidence in mapping,
PL!-bp6-019#A01,PL!-bp6-019,Music S.T.A.R.T!!,常時,NOT_IMPLEMENTED,NOT_IMPLEMENTED_CONFIRMED,,,,,,,not proven in static mapping; requires runtime/state probe for temporary effects,No previous static matcher/resolve route; no pending/dispatch evidence in mapping,
PL!-bp6-020#A03,PL!-bp6-020,Dancing stars on me!,自動,UNREACHABLE,UNREACHABLE_TRIGGER_CONFIRMED,,,,,,,not proven in static mapping; requires runtime/state probe for temporary effects,"Route candidate exists or text matched, but previous reachable flag is not YES; trigger collection path is not proven",
PL!-bp6-020#A04,PL!-bp6-020,Dancing stars on me!,ライブ成功時,UNREACHABLE,UNREACHABLE_TRIGGER_CONFIRMED,,,,,,,not proven in static mapping; requires runtime/state probe for temporary effects,"Route candidate exists or text matched, but previous reachable flag is not YES; trigger collection path is not proven",
PL!-bp6-022#A01,PL!-bp6-022,Dreamin' Go! Go!!,常時,NOT_IMPLEMENTED,NOT_IMPLEMENTED_CONFIRMED,,,,,,,not proven in static mapping; requires runtime/state probe for temporary effects,No previous static matcher/resolve route; no pending/dispatch evidence in mapping,
PL!-bp6-024#A01,PL!-bp6-024,錯覚CROSSROADS,常時,NOT_IMPLEMENTED,NOT_IMPLEMENTED_CONFIRMED,,,,,,,not proven in static mapping; requires runtime/state probe for temporary effects,No previous static matcher/resolve route; no pending/dispatch evidence in mapping,
PL!-pb1-002#A02,PL!-pb1-002,絢瀬絵里,常時,NOT_IMPLEMENTED,NOT_IMPLEMENTED_CONFIRMED,,,,,,,not proven in static mapping; requires runtime/state probe for temporary effects,No previous static matcher/resolve route; no pending/dispatch evidence in mapping,
PL!-pb1-013#A02,PL!-pb1-013,園田海未,常時,UNREACHABLE,UNREACHABLE_TRIGGER_CONFIRMED,,,,,,,not proven in static mapping; requires runtime/state probe for temporary effects,"Route candidate exists or text matched, but previous reachable flag is not YES; trigger collection path is not proven",
PL!-pb1-015#A02,PL!-pb1-015,西木野真姫,自動,NOT_IMPLEMENTED,NOT_IMPLEMENTED_CONFIRMED,,,,,,,not proven in static mapping; requires runtime/state probe for temporary effects,No previous static matcher/resolve route; no pending/dispatch evidence in mapping,
PL!HS-bp1-003#A01,PL!HS-bp1-003,乙宗梢,常時,NOT_IMPLEMENTED,NOT_IMPLEMENTED_CONFIRMED,,,,,,,not proven in static mapping; requires runtime/state probe for temporary effects,No previous static matcher/resolve route; no pending/dispatch evidence in mapping,
PL!HS-bp2-020#A01,PL!HS-bp2-020,Link to the FUTURE,常時,NOT_IMPLEMENTED,NOT_IMPLEMENTED_CONFIRMED,,,,,,,not proven in static mapping; requires runtime/state probe for temporary effects,No previous static matcher/resolve route; no pending/dispatch evidence in mapping,
PL!HS-bp5-001#A02,PL!HS-bp5-001,日野下花帆,起動,NOT_IMPLEMENTED,NOT_IMPLEMENTED_CONFIRMED,,,,,,,not proven in static mapping; requires runtime/state probe for temporary effects,No previous static matcher/resolve route; no pending/dispatch evidence in mapping,
PL!HS-bp5-016#A02,PL!HS-bp5-016,桂城泉,常時,NOT_IMPLEMENTED,NOT_IMPLEMENTED_CONFIRMED,,,,,,,not proven in static mapping; requires runtime/state probe for temporary effects,No previous static matcher/resolve route; no pending/dispatch evidence in mapping,
PL!HS-bp5-018#A01,PL!HS-bp5-018,AURORA FLOWER,常時,NOT_IMPLEMENTED,NOT_IMPLEMENTED_CONFIRMED,,,,,,,not proven in static mapping; requires runtime/state probe for temporary effects,No previous static matcher/resolve route; no pending/dispatch evidence in mapping,
