audit_id,cardnumber,cardname,trigger,implementation_status,implementation_files,implementation_symbols,matcher_or_rule,pending_kind,resolve_path,ui_render_path,implementation_style,reachable,duplicate_route_suspected,dead_route_suspected,notes
LL-bp2-001#A02,LL-bp2-001,渡辺曜＆鬼塚夏美＆大沢瑠璃乃,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
LL-bp7-001#A01,LL-bp7-001,国木田花丸＆優木せつ菜＆嵐千砂都,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!-PR-005#A01,PL!-PR-005,星空凛,登場,DB_DATA_MISMATCH,,,,,,,,NO,NO,NO,
PL!-PR-006#A01,PL!-PR-006,西木野真姫,登場,DB_DATA_MISMATCH,,,,,,,,NO,NO,NO,
PL!-PR-008#A01,PL!-PR-008,小泉花陽,登場,DB_DATA_MISMATCH,,,,,,,,NO,NO,NO,
PL!-PR-020#A01,PL!-PR-020,高坂穂乃果,ライブ開始時,DB_DATA_MISMATCH,,,,,,,,NO,NO,NO,
PL!-PR-020#A02,PL!-PR-020,高坂穂乃果,常時,UNREACHABLE,,,,,,,,NO,NO,YES,
PL!-bp3-002#A02,PL!-bp3-002,絢瀬絵里,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!-bp4-002#A01,PL!-bp4-002,絢瀬絵里,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!-bp4-002#A02,PL!-bp4-002,絢瀬絵里,ライブ開始時,DB_DATA_MISMATCH,,,,,,,,NO,NO,NO,
PL!-bp4-002#A03,PL!-bp4-002,絢瀬絵里,ライブ成功時,UNREACHABLE,,,,,,,,NO,NO,YES,
PL!-bp4-002#A04,PL!-bp4-002,絢瀬絵里,起動,UNREACHABLE,,,,,,,,NO,NO,YES,
PL!-bp4-014#A02,PL!-bp4-014,星空凛,ライブ開始時,UNREACHABLE,,,,,,,,NO,NO,YES,
PL!-bp4-014#A03,PL!-bp4-014,星空凛,ライブ成功時,UNREACHABLE,,,,,,,,NO,NO,YES,
PL!-bp4-018#A01,PL!-bp4-018,矢澤にこ,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!-bp5-024#A01,PL!-bp5-024,Private Wars,ライブ開始時,DB_DATA_MISMATCH,,,,,,,,NO,NO,NO,
PL!-bp5-111#A02,PL!-bp5-111,綺羅ツバサ,起動,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!-bp6-002#A02,PL!-bp6-002,絢瀬絵里,常時,UNREACHABLE,,,,,,,,NO,NO,YES,
PL!-bp6-009#A01,PL!-bp6-009,矢澤にこ,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!-bp6-019#A01,PL!-bp6-019,Music S.T.A.R.T!!,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!-bp6-020#A01,PL!-bp6-020,Dancing stars on me!,自動,DB_DATA_MISMATCH,,,,,,,,NO,NO,NO,
PL!-bp6-020#A02,PL!-bp6-020,Dancing stars on me!,ライブ開始時,DB_DATA_MISMATCH,,,,,,,,NO,NO,NO,
PL!-bp6-020#A03,PL!-bp6-020,Dancing stars on me!,自動,UNREACHABLE,,,,,,,,NO,NO,YES,
PL!-bp6-020#A04,PL!-bp6-020,Dancing stars on me!,ライブ成功時,UNREACHABLE,,,,,,,,NO,NO,YES,
PL!-bp6-022#A01,PL!-bp6-022,Dreamin' Go! Go!!,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
