canonical_id,cardnumber,trigger,condition_summary,required_stage,required_hand,required_green,required_deck,required_success_zone,required_live_zone,required_energy,required_opponent_inputs,required_history_event,negative_case_difference,expected_effect,command_file
LL-bp2-001#A02,LL-bp2-001,常時,positive setup satisfies visible stage/hand/green/success/energy prerequisites inferred from DB text,LL-bp2-001,"PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026","PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026,PL!SP-bp1-001","PL!N-bp1-029,PL!N-bp3-032,PL!S-bp2-026,PL!S-bp2-027,PL!HS-bp2-015,PL!HS-bp2-014,PL!N-bp3-009,LL-bp5-001,PL!SP-bp1-001,PL!S-PR-029,PL!SP-bp4-003",,,40,,,"remove hand/energy for activation, remove live hand for live-start, remove side/success prerequisites for continuous",state/log route change,evidence/LL_bp2_001_A02/positive/command.sh
PL!-bp3-002#A02,PL!-bp3-002,常時,positive setup satisfies visible stage/hand/green/success/energy prerequisites inferred from DB text,PL!-bp3-002,"PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026","PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026,PL!SP-bp1-001","PL!N-bp1-029,PL!N-bp3-032,PL!S-bp2-026,PL!S-bp2-027,PL!HS-bp2-015,PL!HS-bp2-014,PL!N-bp3-009,LL-bp5-001,PL!SP-bp1-001,PL!S-PR-029,PL!SP-bp4-003",,,40,aggregate opponent input if prompted,,"remove hand/energy for activation, remove live hand for live-start, remove side/success prerequisites for continuous",blade:+1,evidence/PL_bp3_002_A02/positive/command.sh
PL!-bp4-002#A01,PL!-bp4-002,常時,positive setup satisfies visible stage/hand/green/success/energy prerequisites inferred from DB text,PL!-bp4-002,"PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026","PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026,PL!SP-bp1-001","PL!N-bp1-029,PL!N-bp3-032,PL!S-bp2-026,PL!S-bp2-027,PL!HS-bp2-015,PL!HS-bp2-014,PL!N-bp3-009,LL-bp5-001,PL!SP-bp1-001,PL!S-PR-029,PL!SP-bp4-003",,,40,,,"remove hand/energy for activation, remove live hand for live-start, remove side/success prerequisites for continuous",state/log route change,evidence/PL_bp4_002_A01/positive/command.sh
PL!-bp4-018#A01,PL!-bp4-018,常時,positive setup satisfies visible stage/hand/green/success/energy prerequisites inferred from DB text,PL!-bp4-018,"PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026","PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026,PL!SP-bp1-001","PL!N-bp1-029,PL!N-bp3-032,PL!S-bp2-026,PL!S-bp2-027,PL!HS-bp2-015,PL!HS-bp2-014,PL!N-bp3-009,LL-bp5-001,PL!SP-bp1-001,PL!S-PR-029,PL!SP-bp4-003","PL!N-bp1-029,PL!N-bp3-032",,40,aggregate opponent input if prompted,,"remove hand/energy for activation, remove live hand for live-start, remove side/success prerequisites for continuous",blade:+2,evidence/PL_bp4_018_A01/positive/command.sh
PL!-bp5-111#A02,PL!-bp5-111,起動,positive setup satisfies visible stage/hand/green/success/energy prerequisites inferred from DB text,PL!-bp5-111,"PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026","PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026,PL!SP-bp1-001","PL!N-bp1-029,PL!N-bp3-032,PL!S-bp2-026,PL!S-bp2-027,PL!HS-bp2-015,PL!HS-bp2-014,PL!N-bp3-009,LL-bp5-001,PL!SP-bp1-001,PL!S-PR-029,PL!SP-bp4-003",,,40,aggregate opponent input if prompted,,"remove hand/energy for activation, remove live hand for live-start, remove side/success prerequisites for continuous",state/log route change,evidence/PL_bp5_111_A02/positive/command.sh
PL!-bp6-009#A01,PL!-bp6-009,常時,positive setup satisfies visible stage/hand/green/success/energy prerequisites inferred from DB text,PL!-bp6-009,"PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026","PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026,PL!SP-bp1-001","PL!N-bp1-029,PL!N-bp3-032,PL!S-bp2-026,PL!S-bp2-027,PL!HS-bp2-015,PL!HS-bp2-014,PL!N-bp3-009,LL-bp5-001,PL!SP-bp1-001,PL!S-PR-029,PL!SP-bp4-003",,,40,,,"remove hand/energy for activation, remove live hand for live-start, remove side/success prerequisites for continuous",blade:+1;live_score:+1,evidence/PL_bp6_009_A01/positive/command.sh
PL!-bp6-019#A01,PL!-bp6-019,常時,positive setup satisfies visible stage/hand/green/success/energy prerequisites inferred from DB text,PL!-bp6-019,"PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026","PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026,PL!SP-bp1-001","PL!N-bp1-029,PL!N-bp3-032,PL!S-bp2-026,PL!S-bp2-027,PL!HS-bp2-015,PL!HS-bp2-014,PL!N-bp3-009,LL-bp5-001,PL!SP-bp1-001,PL!S-PR-029,PL!SP-bp4-003","PL!N-bp1-029,PL!N-bp3-032",,40,,,"remove hand/energy for activation, remove live hand for live-start, remove side/success prerequisites for continuous",state/log route change,evidence/PL_bp6_019_A01/positive/command.sh
PL!-bp6-022#A01,PL!-bp6-022,常時,positive setup satisfies visible stage/hand/green/success/energy prerequisites inferred from DB text,PL!-bp6-022,"PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026","PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026,PL!SP-bp1-001","PL!N-bp1-029,PL!N-bp3-032,PL!S-bp2-026,PL!S-bp2-027,PL!HS-bp2-015,PL!HS-bp2-014,PL!N-bp3-009,LL-bp5-001,PL!SP-bp1-001,PL!S-PR-029,PL!SP-bp4-003","PL!N-bp1-029,PL!N-bp3-032",,40,,,"remove hand/energy for activation, remove live hand for live-start, remove side/success prerequisites for continuous",required_heart/change,evidence/PL_bp6_022_A01/positive/command.sh
PL!-pb1-002#A02,PL!-pb1-002,常時,positive setup satisfies visible stage/hand/green/success/energy prerequisites inferred from DB text,PL!-pb1-002,"PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026","PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026,PL!SP-bp1-001","PL!N-bp1-029,PL!N-bp3-032,PL!S-bp2-026,PL!S-bp2-027,PL!HS-bp2-015,PL!HS-bp2-014,PL!N-bp3-009,LL-bp5-001,PL!SP-bp1-001,PL!S-PR-029,PL!SP-bp4-003",,,40,aggregate opponent input if prompted,,"remove hand/energy for activation, remove live hand for live-start, remove side/success prerequisites for continuous",state/log route change,evidence/PL_pb1_002_A02/positive/command.sh
PL!-pb1-015#A02,PL!-pb1-015,BODY,positive setup satisfies visible stage/hand/green/success/energy prerequisites inferred from DB text,PL!-pb1-015,"PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026","PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026,PL!SP-bp1-001","PL!N-bp1-029,PL!N-bp3-032,PL!S-bp2-026,PL!S-bp2-027,PL!HS-bp2-015,PL!HS-bp2-014,PL!N-bp3-009,LL-bp5-001,PL!SP-bp1-001,PL!S-PR-029,PL!SP-bp4-003",,,40,aggregate opponent input if prompted,BODY,"remove hand/energy for activation, remove live hand for live-start, remove side/success prerequisites for continuous",draw:+1,evidence/PL_pb1_015_A02/positive/command.sh
