cardnumber,cardname,category,implemented,ability_excerpt
PL!-bp3-024,"夏色えがおで1,2,Jump!",candidate_success_count_conditional_wrapper,candidate,自動ライブ開始時自分の成功ライブカード置き場にカードがある場合、<桃>か<黄>か<紫>のうち、1つを選ぶ。ライブ終了時まで、自分のステージにいる『μ's』のメンバー1人は、選んだハートを1つ得る。自分の成功ライブカード置き場にカードがある場合、<桃>か<黄>か<紫>のうち、1つを選ぶ。ライブ終了時まで、自分のステージにいる『μ's』のメンバー1人は、選んだハートを1つ得る。自動ライブ開始時自分の成功ライブカード置き場にカードが2枚以上ある場合、このカードのスコアを+1する。自分の成功ライブカード置き場にカードが2枚以上ある場合、このカードのスコアを+1する。
PL!-pb1-005,星空凛,implemented_enter_success_nonempty_draw,yes,自動登場自分の成功ライブカード置き場にカードがある場合、カードを1枚引く。自分の成功ライブカード置き場にカードがある場合、カードを1枚引く。
PL!-pb1-007,東條希,implemented_activated_discard_cost_reduction_per_success_count,yes,起動BODYターン1回手札を3枚控え室に置く自分のステージにほかの『lily white』のメンバーがいる場合、自分の控え室から『μ's』のライブカードを1枚手札に加える。この能力を起動するためのコストは、自分の成功ライブカード置き場にあるカード1枚につき、控え室に置く手札の数が1枚減る。手札を3枚控え室に置く：自分のステージにほかの『lily white』のメンバーがいる場合、自分の控え室から『μ's』のライブカードを1枚手札に加える。この能力を起動するためのコストは、自分の成功ライブカード置き場にあるカード1枚につき、控え室に置く手札の数が1枚減る。
PL!-pb1-014,星空凛,implemented_hand_cost_reduction_if_success_group,yes,常時BODY自分の成功ライブカード置き場に『lily white』のカードがある場合、手札にあるこのメンバーカードのコストは2減る。自分の成功ライブカード置き場に『lily white』のカードがある場合、手札にあるこのメンバーカードのコストは2減る。
PL!-sd1-001,高坂穂乃果,implemented_enter_success_count_retrieve_live_and_body_blade,yes,自動登場自分の成功ライブカード置き場にカードが2枚以上ある場合、自分の控え室からライブカードを1枚手札に加える。自分の成功ライブカード置き場にカードが2枚以上ある場合、自分の控え室からライブカードを1枚手札に加える。常時BODY自分の成功ライブカード置き場にあるカード1枚につき、<(ブレード)>を得る。自分の成功ライブカード置き場にあるカード1枚につき、<(ブレード)>を得る。
PL!S-bp2-001,高海千歌,candidate_success_count_conditional_wrapper,candidate,常時BODY自分の成功ライブカード置き場のカードが0枚で、かつ相手の成功ライブカード置き場にカードが1枚以上ある場合、<(ブレード)><(ブレード)><(ブレード)>を得る。自分の成功ライブカード置き場のカードが0枚で、かつ相手の成功ライブカード置き場にカードが1枚以上ある場合、<(ブレード)><(ブレード)><(ブレード)>を得る。
PL!S-bp2-025,青空Jumping Heart,candidate_success_count_conditional_wrapper,candidate,自動ライブ開始時自分の成功ライブカード置き場にカードが2枚以上ある場合、ライブ終了時まで、自分のステージにいるメンバー1人は、<(ブレード)><(ブレード)>を得る。自分の成功ライブカード置き場にカードが2枚以上ある場合、ライブ終了時まで、自分のステージにいるメンバー1人は、<(ブレード)><(ブレード)>を得る。
PL!S-bp3-016,国木田花丸,implemented_body_success_count_cost_bonus,yes,常時BODY自分の成功ライブカード置き場にあるカード1枚につき、ステージにいるこのメンバーのコストを+1する。自分の成功ライブカード置き場にあるカード1枚につき、ステージにいるこのメンバーのコストを+1する。
PL!S-bp5-019,not ALONE not HITORI,candidate_success_count_conditional_wrapper,candidate,自動ライブ成功時自分か相手の成功ライブカード置き場にカードが2枚以上ある場合、エールにより公開された自分のカードの中から、メンバーカードを2枚まで手札に加える。自分か相手の成功ライブカード置き場にカードが2枚以上ある場合、エールにより公開された自分のカードの中から、メンバーカードを2枚まで手札に加える。
PL!S-bp6-007,国木田花丸,candidate_success_count_conditional_wrapper,candidate,自動ライブ開始時<(E)>支払うか手札を2枚控え室に置いてもよい自分の成功ライブカード置き場にカードがなく、かつ相手の成功ライブカード置き場にカードが2枚以上ある場合、ライブ終了時まで、自分のステージにいる『Aqours』のメンバー2人までは「<常時>ライブの合計スコアを+1する。」を得る。<(E)>支払うか手札を2枚控え室に置いてもよい：自分の成功ライブカード置き場にカードがなく、かつ相手の成功ライブカード置き場にカードが2枚以上ある場合、ライブ終了時まで、自分のステージにいる『Aqours』のメンバー2人までは「<常時>ライブの合計スコアを+1する。」を得る。
PL!S-bp6-020,"冒険Type A, B, C!!",candidate_success_count_conditional_wrapper,candidate,自動ライブ開始時以下から1つを選ぶ。以下から1つを選ぶ。このカードは「<ライブ成功時>カードを1枚引く。」を得る。・このカードは「<ライブ成功時>カードを1枚引く。」を得る。ライブ終了時まで、このターンにバトンタッチして登場した『Aqours』のメンバー1人は<赤>を得る。・ライブ終了時まで、このターンにバトンタッチして登場した『Aqours』のメンバー1人は<赤>を得る。自分の成功ライブカード置き場にカードが2枚以上ある場合、このカードのスコアを+1する。・自分の成功ライブカード置き場にカードが2枚以上ある場合、このカードのスコアを+1する。
PL!SP-sd2-023,始まりは君の空,candidate_success_count_conditional_wrapper,candidate,自動ライブ開始時自分の成功ライブカード置き場にカードが2枚以上ある場合、このカードのスコアを+5し、必要ハートは<赤><赤><赤><黄><黄><黄><紫><紫><紫><任意><任意><任意>になる。自分の成功ライブカード置き場にカードが2枚以上ある場合、このカードのスコアを+5し、必要ハートは<赤><赤><赤><黄><黄><黄><紫><紫><紫><任意><任意><任意>になる。
