canonical_id,registry_rule_id,registry_match_evidence,engine_function,engine_function_evidence,effects_module,effects_function,server_action,server_action_evidence,pending_kind,route_confidence,route_notes
LL-bp2-001#A02,,,prohibition / rule-gate family,"prohibition text requires a rule hook, not a generic word-presence match",,,phase/action gate,,,WEAK_GLOBAL_PRESENCE,Pilot must confirm actual rule gate; global support alone is not implementation evidence.
PL!-bp3-002#A02,,,continuous computed values via state_json/stage_detail and engine helpers,family-level continuous calculator exists; exact text confirmation required by pilot,,,state_json,no UI action; computed value is observed,,STRONG_FAMILY_MATCH,Route confidence is not a final implementation status.
PL!-bp4-002#A01,,,,,,,,,,NO_ROUTE_FOUND,Route confidence is not a final implementation status.
PL!-bp4-018#A01,,,continuous computed values via state_json/stage_detail and engine helpers,family-level continuous calculator exists; exact text confirmation required by pilot,,,state_json,no UI action; computed value is observed,,STRONG_FAMILY_MATCH,Route confidence is not a final implementation status.
PL!-bp5-111#A02,,,cmd_activate_to_green / cmd_activate_from_hand,activated timing uses normal activation commands; exact effect resolver is pilot-gated,,,activate_to_green or activate_from_hand,server exposes normal activate actions,discard_from_hand / effect-specific pending,STRONG_FAMILY_MATCH,Route confidence is not a final implementation status.
PL!-bp6-009#A01,,,continuous computed values via state_json/stage_detail and engine helpers,family-level continuous calculator exists; exact text confirmation required by pilot,,,state_json,no UI action; computed value is observed,,STRONG_FAMILY_MATCH,Route confidence is not a final implementation status.
PL!-bp6-019#A01,,,continuous computed values via state_json/stage_detail and engine helpers,family-level continuous calculator exists; exact text confirmation required by pilot,,,state_json,no UI action; computed value is observed,,STRONG_FAMILY_MATCH,Route confidence is not a final implementation status.
PL!-bp6-022#A01,,,continuous computed values via state_json/stage_detail and engine helpers,family-level continuous calculator exists; exact text confirmation required by pilot,,,state_json,no UI action; computed value is observed,,STRONG_FAMILY_MATCH,Route confidence is not a final implementation status.
PL!-pb1-002#A02,,,continuous computed values via state_json/stage_detail and engine helpers,family-level continuous calculator exists; exact text confirmation required by pilot,,,state_json,no UI action; computed value is observed,,STRONG_FAMILY_MATCH,Route confidence is not a final implementation status.
PL!-pb1-015#A02,,,continuous computed values via state_json/stage_detail and engine helpers,family-level continuous calculator exists; exact text confirmation required by pilot,,,state_json,no UI action; computed value is observed,,STRONG_FAMILY_MATCH,Route confidence is not a final implementation status.
PL!HS-bp1-003#A01,,,continuous computed values via state_json/stage_detail and engine helpers,family-level continuous calculator exists; exact text confirmation required by pilot,,,state_json,no UI action; computed value is observed,,STRONG_FAMILY_MATCH,Route confidence is not a final implementation status.
PL!HS-bp5-016#A02,,,continuous computed values via state_json/stage_detail and engine helpers,family-level continuous calculator exists; exact text confirmation required by pilot,,,state_json,no UI action; computed value is observed,,STRONG_FAMILY_MATCH,Route confidence is not a final implementation status.
PL!HS-bp6-007#A01,,,,,,,,,,NO_ROUTE_FOUND,Route confidence is not a final implementation status.
PL!HS-pb1-001#A01,,,,,,,,,,NO_ROUTE_FOUND,Route confidence is not a final implementation status.
PL!HS-pb1-003#A02,,,continuous blade/heart global support,only global presence; not target-specific,,,state_json,,,WEAK_GLOBAL_PRESENCE,Route confidence is not a final implementation status.
PL!HS-pb1-009#A01,,,continuous blade/heart global support,only global presence; not target-specific,,,state_json,,,WEAK_GLOBAL_PRESENCE,Route confidence is not a final implementation status.
PL!HS-pb1-015#A01,,,continuous blade/heart global support,only global presence; not target-specific,,,state_json,,,WEAK_GLOBAL_PRESENCE,Route confidence is not a final implementation status.
PL!N-PR-024#A01,,,continuous computed values via state_json/stage_detail and engine helpers,family-level continuous calculator exists; exact text confirmation required by pilot,,,state_json,no UI action; computed value is observed,,STRONG_FAMILY_MATCH,Route confidence is not a final implementation status.
PL!N-PR-025#A01,,,,,,,,,,NO_ROUTE_FOUND,Route confidence is not a final implementation status.
PL!N-bp1-008#A01,,,cmd_activate_to_green / cmd_activate_from_hand,activated timing uses normal activation commands; exact effect resolver is pilot-gated,,,activate_to_green or activate_from_hand,server exposes normal activate actions,discard_from_hand / effect-specific pending,STRONG_FAMILY_MATCH,Route confidence is not a final implementation status.
PL!N-bp4-008#A01,,,cmd_activate_to_green / cmd_activate_from_hand,activated timing uses normal activation commands; exact effect resolver is pilot-gated,,,activate_to_green or activate_from_hand,server exposes normal activate actions,discard_from_hand / effect-specific pending,STRONG_FAMILY_MATCH,Route confidence is not a final implementation status.
PL!N-bp4-012#A01,,,continuous computed values via state_json/stage_detail and engine helpers,family-level continuous calculator exists; exact text confirmation required by pilot,,,state_json,no UI action; computed value is observed,,STRONG_FAMILY_MATCH,Route confidence is not a final implementation status.
PL!N-bp4-018#A01,,,continuous computed values via state_json/stage_detail and engine helpers,family-level continuous calculator exists; exact text confirmation required by pilot,,,state_json,no UI action; computed value is observed,,STRONG_FAMILY_MATCH,Route confidence is not a final implementation status.
PL!N-bp4-026#A01,,,,,,,,,,NO_ROUTE_FOUND,Route confidence is not a final implementation status.
