audit_id,cardnumber,cardname,previous_classification,primary_family,secondary_families,trigger,generic_matcher_candidate,resolver_candidate,ui_candidate,representative_candidate,risk,notes
LL-bp2-001#A02,LL-bp2-001,渡辺曜＆鬼塚夏美＆大沢瑠璃乃,STATIC_ANALYSIS_INCONCLUSIVE,常時効果,,BODY,,,,YES,MEDIUM,Search evidence is insufficient to confirm either implementation or absence.
LL-bp7-001#A01,LL-bp7-001,国木田花丸＆優木せつ菜＆嵐千砂都,NOT_IMPLEMENTED_WITH_EVIDENCE,手札を捨てる,常時効果,BODY,,,,YES,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!-PR-020#A02,PL!-PR-020,高坂穂乃果,NOT_IMPLEMENTED_WITH_EVIDENCE,スコア加算,名前・グループ・ユニット条件;ライブ開始時効果,ライブ開始時,body_always_live_zone_score_sum_gte_score,body_always_noop,pending/UI route expected,YES,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!-bp3-002#A02,PL!-bp3-002,絢瀬絵里,STATIC_ANALYSIS_INCONCLUSIVE,メンバーをウェイト,相手人数入力;ブレード付与;常時効果,BODY,,,,YES,HIGH,Search evidence is insufficient to confirm either implementation or absence.
PL!-bp4-002#A01,PL!-bp4-002,絢瀬絵里,STATIC_ANALYSIS_INCONCLUSIVE,常時効果,,BODY,,,,NO,MEDIUM,Search evidence is insufficient to confirm either implementation or absence.
PL!-bp4-002#A03,PL!-bp4-002,絢瀬絵里,NOT_IMPLEMENTED_WITH_EVIDENCE,常時効果,,BODY,,,,NO,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!-bp4-002#A04,PL!-bp4-002,絢瀬絵里,NOT_IMPLEMENTED_WITH_EVIDENCE,常時効果,,BODY,,,,NO,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!-bp4-014#A02,PL!-bp4-014,星空凛,NOT_IMPLEMENTED_WITH_EVIDENCE,ブレード付与,ライブ終了時cleanup;ライブ開始時効果,ライブ開始時,generic_conditional_stage_member_temp_bonus,__ext__,pending/UI route expected,YES,HIGH,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!-bp4-014#A03,PL!-bp4-014,星空凛,NOT_IMPLEMENTED_WITH_EVIDENCE,ブレード付与,ライブ終了時cleanup;ライブ開始時効果,ライブ開始時,generic_conditional_stage_member_temp_bonus,__ext__,pending/UI route expected,YES,HIGH,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!-bp4-018#A01,PL!-bp4-018,矢澤にこ,STATIC_ANALYSIS_INCONCLUSIVE,ブレード付与,成功置き場参照;相手成功置き場参照;常時効果,BODY,,,,YES,MEDIUM,Search evidence is insufficient to confirm either implementation or absence.
