audit_id,cardnumber,cardname,trigger,effect_text,matcher,resolver,runtime_checked,trigger_reached,resolver_reached,effect_resolved,pending_kind,evidence,state_result,cleanup_result,undo_result,ui_result,phase4_result,notes
PL!HS-bp2-020#A01,PL!HS-bp2-020,Link to the FUTURE,BODY,すべての領域にあるこのカードは『スリーズブーケ』、『DOLLCHESTRA』、『みらくらぱーく！』として扱う。,,,YES,NO,NO,NO,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL_HS_bp2_020_A01,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,STATIC_FALSE_POSITIVE,"Some route/op evidence exists, but this static pass does not prove end-to-end reachability."
PL!HS-bp5-018#A01,PL!HS-bp5-018,AURORA FLOWER,BODY,すべての領域にあるこのカードは『スリーズブーケ』、『DOLLCHESTRA』、『みらくらぱーく！』として扱う。,,,YES,NO,NO,NO,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL_HS_bp5_018_A01,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,STATIC_FALSE_POSITIVE,"Some route/op evidence exists, but this static pass does not prove end-to-end reachability."
PL!HS-bp6-014#A01,PL!HS-bp6-014,安養寺姫芽,BODY,このカードを手札から控え室に置く：カードを1枚引き、ライブ終了時まで、自分のステージにいる「藤島慈」か「大沢瑠璃乃」のうち1人は<(ブレード)>を得る。この能力は、このカードが手札にある場合のみ起動できる。,,,YES,NO,NO,NO,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL_HS_bp6_014_A01,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,STATIC_FALSE_POSITIVE,"Some route/op evidence exists, but this static pass does not prove end-to-end reachability."
PL!HS-sd1-020#A01,PL!HS-sd1-020,Link to the FUTURE（104期Ver.）,BODY,すべての領域にあるこのカードは『スリーズブーケ』、『DOLLCHESTRA』、『みらくらぱーく！』として扱う。,,,YES,NO,NO,NO,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL_HS_sd1_020_A01,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,STATIC_FALSE_POSITIVE,"Some route/op evidence exists, but this static pass does not prove end-to-end reachability."
PL!N-PR-003#A01,PL!N-PR-003,上原歩夢,BODY,手札をすべて公開する：自分のステージにほかのメンバーがおり、かつこれにより公開した手札の中にライブカードがない場合、自分のデッキの上からカードを5枚見る。その中からライブカードを1枚公開して手札に加えてもよい。残りを控え室に置く。,,,YES,NO,NO,NO,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL_N_PR_003_A01,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,STATIC_FALSE_POSITIVE,"Some route/op evidence exists, but this static pass does not prove end-to-end reachability."
PL!N-PR-008#A01,PL!N-PR-008,近江彼方,BODY,手札をすべて公開する：自分のステージにほかのメンバーがおり、かつこれにより公開した手札の中にライブカードがない場合、自分のデッキの上からカードを5枚見る。その中からライブカードを1枚公開して手札に加えてもよい。残りを控え室に置く。,,,YES,NO,NO,NO,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL_N_PR_008_A01,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,STATIC_FALSE_POSITIVE,"Some route/op evidence exists, but this static pass does not prove end-to-end reachability."
PL!N-PR-010#A01,PL!N-PR-010,エマ・ヴェルデ,BODY,手札をすべて公開する：自分のステージにほかのメンバーがおり、かつこれにより公開した手札の中にライブカードがない場合、自分のデッキの上からカードを5枚見る。その中からライブカードを1枚公開して手札に加えてもよい。残りを控え室に置く。,,,YES,NO,NO,NO,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL_N_PR_010_A01,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,STATIC_FALSE_POSITIVE,"Some route/op evidence exists, but this static pass does not prove end-to-end reachability."
PL!SP-bp1-003#A01,PL!SP-bp1-003,嵐千砂都,BODY,手札にあるメンバーカードを好きな枚数公開する：公開したカードのコストの合計が、10、20、30、40、50のいずれかの場合、ライブ終了時まで、「<常時>ライブの合計スコアを+1する。」を得る。,,,YES,NO,NO,NO,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL_SP_bp1_003_A01,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,STATIC_FALSE_POSITIVE,"Some route/op evidence exists, but this static pass does not prove end-to-end reachability."
PL!SP-bp5-011#A01,PL!SP-bp5-011,鬼塚冬毬,BODY,を得る。,,,YES,NO,NO,NO,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL_SP_bp5_011_A01,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,STATIC_FALSE_POSITIVE,"Some route/op evidence exists, but this static pass does not prove end-to-end reachability."
PL!SP-bp5-011#A02,PL!SP-bp5-011,鬼塚冬毬,BODY,を得る。,,,YES,NO,NO,NO,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL_SP_bp5_011_A02,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,STATIC_FALSE_POSITIVE,"Some route/op evidence exists, but this static pass does not prove end-to-end reachability."
PL!SP-bp5-011#A03,PL!SP-bp5-011,鬼塚冬毬,BODY,を得る。,,,YES,NO,NO,NO,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL_SP_bp5_011_A03,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,STATIC_FALSE_POSITIVE,"Some route/op evidence exists, but this static pass does not prove end-to-end reachability."
