audit_id,cardnumber,cardname,effect_text,trigger,families,phase3_classification,phase4_classification,runtime_checked,trigger_reached,resolver_reached,effect_resolved,state_result,cleanup_result,undo_result,ui_result,implementation_files,functions,pending_kind,evidence,confidence,notes
LL-bp2-001#A02,LL-bp2-001,渡辺曜＆鬼塚夏美＆大沢瑠璃乃,このメンバーはバトンタッチで控え室に置けない。,BODY,常時効果,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,YES,NO,NO,NO,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,,,,_codex_outputs/effect_full_audit_phase4_20260716/state/LL_bp2_001_A02,low,Search evidence is insufficient to confirm either implementation or absence.
LL-bp7-001#A01,LL-bp7-001,国木田花丸＆優木せつ菜＆嵐千砂都,このカードのプレイに際し、自分の手札から「国木田花丸」と「優木せつ菜」と「嵐千砂都」のメンバーカードをそれぞれ1枚ずつ控え室に置いてもよい。そうしたとき、このカードのコストは10になる。,BODY,手札を捨てる;常時効果,NOT_IMPLEMENTED_WITH_EVIDENCE,NOT_IMPLEMENTED_CONFIRMED,YES,NO,NO,NO,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,,,,_codex_outputs/effect_full_audit_phase4_20260716/state/LL_bp7_001_A01,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!-PR-020#A02,PL!-PR-020,高坂穂乃果,自分のライブカード置き場にあるライブカードのスコアの合計が8以上の場合、『<常時>ライブの合計スコアを+1する。』を得る。,ライブ開始時,スコア加算;名前・グループ・ユニット条件;ライブ開始時効果,NOT_IMPLEMENTED_WITH_EVIDENCE,STATIC_ANALYSIS_INCONCLUSIVE,YES,NO,NO,NO,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_NOT_EXACT_OR_NOT_REACHED,UI_JSON_RECORDED,llocg_ui/engine.py,body_always_live_zone_score_sum_gte_score;body_always_noop,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL__PR_020_A02,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!-bp3-002#A02,PL!-bp3-002,絢瀬絵里,相手のステージにいるウェイト状態のメンバー1人につき、<(ブレード)>を得る。,BODY,メンバーをウェイト;相手人数入力;ブレード付与;常時効果,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,YES,NO,NO,NO,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,,,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL__bp3_002_A02,low,Search evidence is insufficient to confirm either implementation or absence.
PL!-bp4-002#A01,PL!-bp4-002,絢瀬絵里,自分のライブ中のライブカードに、<ライブ開始時>能力も<ライブ成功時>能力も持たないカードがあるかぎり、<紫><紫>を加える。,BODY,常時効果,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,NO,NO,NO,NO,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,,,,static_evidence/PL_-bp4-002_A01.md,low,Search evidence is insufficient to confirm either implementation or absence.
PL!-bp4-002#A03,PL!-bp4-002,絢瀬絵里,自分のライブ中のライブカードに、<ライブ開始時>能力も<ライブ成功時>能力も持たないカードがあるかぎり、<紫><紫>を加える。,BODY,常時効果,NOT_IMPLEMENTED_WITH_EVIDENCE,NOT_IMPLEMENTED_CONFIRMED,YES,NO,NO,NO,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,,,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL__bp4_002_A03,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!-bp4-002#A04,PL!-bp4-002,絢瀬絵里,自分のライブ中のライブカードに、<ライブ開始時>能力も<ライブ成功時>能力も持たないカードがあるかぎり、<紫><紫>を加える。,BODY,常時効果,NOT_IMPLEMENTED_WITH_EVIDENCE,NOT_IMPLEMENTED_CONFIRMED,YES,NO,NO,NO,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,,,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL__bp4_002_A04,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!-bp4-014#A02,PL!-bp4-014,星空凛,自分のライブ中のライブカードに、<ライブ開始時>能力も<ライブ成功時>能力も持たないカードがある場合、ライブ終了時まで、自分のステージにいるこのメンバー以外のメンバー1人は、<(ブレード)><(ブレード)>を得る。,ライブ開始時,ブレード付与;ライブ終了時cleanup;ライブ開始時効果,NOT_IMPLEMENTED_WITH_EVIDENCE,STATIC_ANALYSIS_INCONCLUSIVE,YES,NO,NO,NO,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_NOT_EXACT_OR_NOT_REACHED,UI_JSON_RECORDED,llocg_ui/engine.py;llocg_ui/effects/,generic_conditional_stage_member_temp_bonus;__ext__;live_start_pick_stage_member_temp_bonus,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL__bp4_014_A02,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!-bp4-014#A03,PL!-bp4-014,星空凛,自分のライブ中のライブカードに、<ライブ開始時>能力も<ライブ成功時>能力も持たないカードがある場合、ライブ終了時まで、自分のステージにいるこのメンバー以外のメンバー1人は、<(ブレード)><(ブレード)>を得る。,ライブ開始時,ブレード付与;ライブ終了時cleanup;ライブ開始時効果,NOT_IMPLEMENTED_WITH_EVIDENCE,STATIC_ANALYSIS_INCONCLUSIVE,YES,NO,NO,NO,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_NOT_EXACT_OR_NOT_REACHED,UI_JSON_RECORDED,llocg_ui/engine.py;llocg_ui/effects/,generic_conditional_stage_member_temp_bonus;__ext__;live_start_pick_stage_member_temp_bonus,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL__bp4_014_A03,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!-bp4-018#A01,PL!-bp4-018,矢澤にこ,自分の成功ライブカード置き場にあるカードのスコアの合計が相手より高いかぎり、<(ブレード)><(ブレード)>を得る。,BODY,ブレード付与;成功置き場参照;相手成功置き場参照;常時効果,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,YES,NO,NO,NO,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,,,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL__bp4_018_A01,low,Search evidence is insufficient to confirm either implementation or absence.
