original_audit_id,canonical_id,cardnumber,cardname,trigger,effect_text,family,registry_match,engine_parser_match,engine_special_match,server_route_match,resolved_route,trigger_hook_found,trigger_executed,condition_satisfied,resolver_entered,pending_created,expected_delta,actual_delta,effect_completed,expected_state_changed,cleanup_passed,undo_passed,ui_route_checked,browser_checked,browser_representative_id,final_status,reason,positive_evidence,negative_evidence,cleanup_evidence,undo_evidence,notes
PL!-bp3-002#A02,PL!-bp3-002#A02,PL!-bp3-002,絢瀬絵里,常時,相手のステージにいるウェイト状態のメンバー1人につき、<(ブレード)>を得る。,opponent_reference_continuous,,continuous_blade;continuous_score;opponent_wait_input,normalized_text_fragment,opponent_wait_count_input,normalized_text_fragment,true,true,true,true,false,blade:+1,"{""negative_actions"": [""state_json continuous/BODY positive-negative compare""], ""negative_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 9, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""negative_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 9, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_actions"": [""state_json continuous/BODY positive-negative compare""], ""positive_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 9, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 9, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}}",false,true,true,false,true,false,,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,evidence/PL_bp3_002_A02/positive,evidence/PL_bp3_002_A02/negative,evidence/PL_bp3_002_A02/cleanup,evidence/PL_bp3_002_A02/undo,source target retained from previous target_61; browser representative not marked checked; resolved_route=normalized_text_fragment
PL!-bp4-018#A01,PL!-bp4-018#A01,PL!-bp4-018,矢澤にこ,常時,自分の成功ライブカード置き場にあるカードのスコアの合計が相手より高いかぎり、<(ブレード)><(ブレード)>を得る。,opponent_reference_continuous,,continuous_blade;continuous_score;opponent_success_input;success_zone,cardnumber_reference;normalized_text_fragment,opponent_success_count_input,cardnumber_reference;normalized_text_fragment,true,true,true,true,false,blade:+2,"{""negative_actions"": [""state_json continuous/BODY positive-negative compare""], ""negative_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 11, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""negative_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 11, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_actions"": [""state_json continuous/BODY positive-negative compare""], ""positive_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 11, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [""PL!N-bp1-029"", ""PL!N-bp3-032""], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 11, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [""PL!N-bp1-029"", ""PL!N-bp3-032""], ""temp_blade"": 0, ""temp_hearts"": {}}}",false,true,true,false,true,false,,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,evidence/PL_bp4_018_A01/positive,evidence/PL_bp4_018_A01/negative,evidence/PL_bp4_018_A01/cleanup,evidence/PL_bp4_018_A01/undo,source target retained from previous target_61; browser representative not marked checked; resolved_route=cardnumber_reference;normalized_text_fragment
PL!-pb1-002#A02,PL!-pb1-002#A02,PL!-pb1-002,絢瀬絵里,常時,相手のステージにいるウェイト状態のメンバー1人につき、<紫>を得る。,opponent_reference_continuous,,continuous_blade;continuous_score;opponent_wait_input,cardnumber_reference;normalized_text_fragment,opponent_wait_count_input,cardnumber_reference;normalized_text_fragment,true,true,true,true,false,state/log route change,"{""negative_actions"": [""state_json continuous/BODY positive-negative compare""], ""negative_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 13, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""negative_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 13, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_actions"": [""state_json continuous/BODY positive-negative compare""], ""positive_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 13, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 13, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}}",false,true,true,false,true,false,,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,evidence/PL_pb1_002_A02/positive,evidence/PL_pb1_002_A02/negative,evidence/PL_pb1_002_A02/cleanup,evidence/PL_pb1_002_A02/undo,source target retained from previous target_61; browser representative not marked checked; resolved_route=cardnumber_reference;normalized_text_fragment
PL!-pb1-015#A02,PL!-pb1-015#A02,PL!-pb1-015,西木野真姫,BODY,自分のカードの効果によって、相手のステージにいるアクティブ状態のコスト4以下のメンバーがウェイト状態になったとき、カードを1枚引く。,opponent_reference_continuous,,continuous_blade;continuous_score;opponent_wait_input,,opponent_wait_count_input,continuous_blade;continuous_score;opponent_wait_input,true,true,true,true,false,draw:+1,"{""negative_actions"": [""state_json continuous/BODY positive-negative compare""], ""negative_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 11, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""negative_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 11, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_actions"": [""state_json continuous/BODY positive-negative compare""], ""positive_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 11, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 11, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}}",false,true,true,false,true,false,,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,evidence/PL_pb1_015_A02/positive,evidence/PL_pb1_015_A02/negative,evidence/PL_pb1_015_A02/cleanup,evidence/PL_pb1_015_A02/undo,source target retained from previous target_61; browser representative not marked checked; resolved_route=continuous_blade;continuous_score;opponent_wait_input
PL!HS-bp5-016#A02,PL!HS-bp5-016#A02,PL!HS-bp5-016,桂城泉,常時,相手のステージにウェイト状態のメンバーが2人以上いるかぎり、<紫>を得る。,opponent_reference_continuous,,continuous_blade;continuous_score;opponent_wait_input,,opponent_wait_count_input,continuous_blade;continuous_score;opponent_wait_input,true,true,true,true,false,state/log route change,"{""negative_actions"": [""state_json continuous/BODY positive-negative compare""], ""negative_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 9, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""negative_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 9, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_actions"": [""state_json continuous/BODY positive-negative compare""], ""positive_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 9, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 9, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}}",false,true,true,false,true,false,,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,evidence/PL_HS_bp5_016_A02/positive,evidence/PL_HS_bp5_016_A02/negative,evidence/PL_HS_bp5_016_A02/cleanup,evidence/PL_HS_bp5_016_A02/undo,source target retained from previous target_61; browser representative not marked checked; resolved_route=continuous_blade;continuous_score;opponent_wait_input
PL!HS-bp6-007#A01,PL!HS-bp6-007#A01,PL!HS-bp6-007,セラス 柳田 リリエンフェルト,BODY,自分のステージに『Edel Note』のメンバーが登場したとき、相手は、自身のステージにいるアクティブ状態のメンバー1人をウェイトにする。,opponent_reference_continuous,,continuous_blade;continuous_score;opponent_wait_input,,opponent_wait_count_input,continuous_blade;continuous_score;opponent_wait_input,true,true,true,true,false,state/log route change,"{""negative_actions"": [""state_json continuous/BODY positive-negative compare""], ""negative_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 15, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""negative_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 15, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_actions"": [""state_json continuous/BODY positive-negative compare""], ""positive_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 15, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 15, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}}",false,true,true,false,true,false,,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,evidence/PL_HS_bp6_007_A01/positive,evidence/PL_HS_bp6_007_A01/negative,evidence/PL_HS_bp6_007_A01/cleanup,evidence/PL_HS_bp6_007_A01/undo,source target retained from previous target_61; browser representative not marked checked; resolved_route=continuous_blade;continuous_score;opponent_wait_input
PL!N-PR-024#A01,PL!N-PR-024#A01,PL!N-PR-024,桜坂しずく,常時,自分と相手の成功ライブカード置き場にカードが合計4枚以上あるかぎり、<(ブレード)><(ブレード)>を得る。,opponent_reference_continuous,,continuous_blade;continuous_score;opponent_success_input;success_zone,normalized_text_fragment,opponent_success_count_input,normalized_text_fragment,true,true,true,true,false,blade:+2,"{""negative_actions"": [""state_json continuous/BODY positive-negative compare""], ""negative_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 11, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""negative_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 11, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_actions"": [""state_json continuous/BODY positive-negative compare""], ""positive_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 11, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [""PL!N-bp1-029"", ""PL!N-bp3-032""], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 11, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [""PL!N-bp1-029"", ""PL!N-bp3-032""], ""temp_blade"": 0, ""temp_hearts"": {}}}",false,true,true,false,true,false,,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,evidence/PL_N_PR_024_A01/positive,evidence/PL_N_PR_024_A01/negative,evidence/PL_N_PR_024_A01/cleanup,evidence/PL_N_PR_024_A01/undo,source target retained from previous target_61; browser representative not marked checked; resolved_route=normalized_text_fragment
PL!N-bp4-012#A01,PL!N-bp4-012#A01,PL!N-bp4-012,鐘嵐珠,常時,相手の成功ライブカード置き場にあるカードのスコアの合計が6以上であるかぎり、ライブの合計スコアを+1する。,opponent_reference_continuous,,continuous_blade;continuous_score;opponent_success_input;success_zone,normalized_text_fragment,opponent_success_count_input,normalized_text_fragment,true,true,true,true,false,live_score:+1,"{""negative_actions"": [""state_json continuous/BODY positive-negative compare""], ""negative_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 13, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""negative_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 13, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_actions"": [""state_json continuous/BODY positive-negative compare""], ""positive_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 13, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [""PL!N-bp1-029"", ""PL!N-bp3-032""], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 13, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [""PL!N-bp1-029"", ""PL!N-bp3-032""], ""temp_blade"": 0, ""temp_hearts"": {}}}",false,true,true,false,true,false,,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,evidence/PL_N_bp4_012_A01/positive,evidence/PL_N_bp4_012_A01/negative,evidence/PL_N_bp4_012_A01/cleanup,evidence/PL_N_bp4_012_A01/undo,source target retained from previous target_61; browser representative not marked checked; resolved_route=normalized_text_fragment
PL!N-bp5-002#A01,PL!N-bp5-002#A01,PL!N-bp5-002,中須かすみ,常時,自分と相手のステージの中で、このメンバーがほかのすべてのメンバーより多くのハートを持つかぎり、ライブの合計スコアを+1する。,opponent_reference_continuous,,continuous_blade;continuous_score,,,continuous_blade;continuous_score,true,true,true,true,false,live_score:+1,"{""negative_actions"": [""state_json continuous/BODY positive-negative compare""], ""negative_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 15, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""negative_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 15, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_actions"": [""state_json continuous/BODY positive-negative compare""], ""positive_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 15, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 15, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}}",false,true,true,false,false,false,,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,evidence/PL_N_bp5_002_A01/positive,evidence/PL_N_bp5_002_A01/negative,evidence/PL_N_bp5_002_A01/cleanup,evidence/PL_N_bp5_002_A01/undo,source target retained from previous target_61; browser representative not marked checked; resolved_route=continuous_blade;continuous_score
PL!S-PR-029#A01,PL!S-PR-029#A01,PL!S-PR-029,渡辺曜,常時,自分か相手のステージにコスト13以上のメンバーがいる場合、<(ブレード)><(ブレード)>を得る。,opponent_reference_continuous,,continuous_blade;continuous_score,cardnumber_reference;normalized_text_fragment,,cardnumber_reference;normalized_text_fragment,true,true,true,true,false,blade:+2,"{""negative_actions"": [""state_json continuous/BODY positive-negative compare""], ""negative_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 9, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""negative_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 9, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_actions"": [""state_json continuous/BODY positive-negative compare""], ""positive_after"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 9, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}, ""positive_before"": {""always_blade_bonus"": 0, ""always_hearts_bonus"": {}, ""always_score_bonus"": 0, ""can_activate"": false, ""deck_count"": 11, ""effective_cost"": 9, ""energy_active"": 40, ""energy_wait"": 3, ""green_count"": 5, ""hand_count"": 4, ""pending_kind"": """", ""phase"": ""MAIN"", ""set_zone"": [], ""success_zone"": [], ""temp_blade"": 0, ""temp_hearts"": {}}}",false,true,true,false,false,false,,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,evidence/PL_S_PR_029_A01/positive,evidence/PL_S_PR_029_A01/negative,evidence/PL_S_PR_029_A01/cleanup,evidence/PL_S_PR_029_A01/undo,source target retained from previous target_61; browser representative not marked checked; resolved_route=cardnumber_reference;normalized_text_fragment
