original_audit_id,canonical_audit_id,mapping_type,cardnumber,canonical_trigger,canonical_effect_text,reason,evidence
LL-bp2-001#A02,LL-bp2-001#A02,CANONICAL,LL-bp2-001,常時,このメンバーはバトンタッチで控え室に置けない。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
LL-bp7-001#A01,LL-bp7-001#A01,CANONICAL,LL-bp7-001,常時,このカードのプレイに際し、自分の手札から「国木田花丸」と「優木せつ菜」と「嵐千砂都」のメンバーカードをそれぞれ1枚ずつ控え室に置いてもよい。そうしたとき、このカードのコストは10になる。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!-PR-020#A02,PL!-PR-020#A02,CANONICAL,PL!-PR-020,ライブ開始時,自分のライブカード置き場にあるライブカードのスコアの合計が8以上の場合、『<常時>ライブの合計スコアを+1する。』を得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!-bp3-002#A02,PL!-bp3-002#A02,CANONICAL,PL!-bp3-002,常時,相手のステージにいるウェイト状態のメンバー1人につき、<(ブレード)>を得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!-bp4-002#A01,PL!-bp4-002#A01,CANONICAL,PL!-bp4-002,常時,自分のライブ中のライブカードに、<ライブ開始時>能力も<ライブ成功時>能力も持たないカードがあるかぎり、<紫><紫>を加える。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!-bp4-002#A03,PL!-bp4-002#A01,POST_TRIGGER_DUPLICATE,PL!-bp4-002,常時,自分のライブ中のライブカードに、<ライブ開始時>能力も<ライブ成功時>能力も持たないカードがあるかぎり、<紫><紫>を加える。,Merged after final trigger recanonicalization.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!-bp4-014#A02,PL!-bp4-014#A02,CANONICAL,PL!-bp4-014,ライブ開始時,自分のライブ中のライブカードに、<ライブ開始時>能力も<ライブ成功時>能力も持たないカードがある場合、ライブ終了時まで、自分のステージにいるこのメンバー以外のメンバー1人は、<(ブレード)><(ブレード)>を得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!-bp4-018#A01,PL!-bp4-018#A01,CANONICAL,PL!-bp4-018,常時,自分の成功ライブカード置き場にあるカードのスコアの合計が相手より高いかぎり、<(ブレード)><(ブレード)>を得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!-bp5-111#A02,PL!-bp5-111#A02,CANONICAL,PL!-bp5-111,起動,手札を1枚控え室に置く：ウェイト状態のメンバー1人をアクティブにする。これにより相手のステージにいるメンバーをアクティブにした場合、自分の控え室からライブカードを1枚控え室に置く。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!-bp6-002#A02,PL!-bp6-002#A02,CANONICAL,PL!-bp6-002,登場,自分のデッキの上からカードを2枚見る。その中から能力を持たない『μ's』のカードか<常時>能力を持つ『μ's』のカードを1枚公開して手札に加えてもよい。残りを控え室に置く。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
