cardnumber,audit_id,field,audit_value,runtime_min_value,compiled_value,runtime_usage_symbol,runtime_usage_file,classification,impact_on_debug_setup,impact_on_runtime,human_confirmation_required,evidence
PL!-PR-005,PL!-PR-005#A01,effect_text,"<登場>
以下から1つを選ぶ。
・カードを1枚引き、手札を1枚控え室に置く。
・相手のステージにいるすべてのコスト2以下のメンバーをウェイトにする。","<登場>
以下から1つを選ぶ。
・カードを1枚引き、手札を1枚控え室に置く。
・相手のステージにいるすべてのコスト2以下のメンバーをウェイトにする。","<登場>
以下から1つを選ぶ。
カードを1枚引き、手札を1枚控え室に置く。
相手のステージにいるすべてのコスト2以下のメンバーをウェイトにする。",_match_effect_template / CardInfo.abilities,llocg_ui/engine.py; llocg_ui/effects/registry.py; llocg_ui/db.py,MIN_COMPILED_DIVERGENCE,Use runtime min/compiled text for trigger setup; do not trust stale audit text when divergent,"Runtime behavior follows current DB loaded by llocg_ui.db and matcher/parser, not previous audit source",YES,audit_norm_len=71; runtime_norm_len=71; compiled_norm_len=69
PL!-PR-006,PL!-PR-006#A01,effect_text,"<登場>
以下から1つを選ぶ。
・カードを1枚引き、手札を1枚控え室に置く。
・相手のステージにいるすべてのコスト2以下のメンバーをウェイトにする。","<登場>
以下から1つを選ぶ。
・カードを1枚引き、手札を1枚控え室に置く。
・相手のステージにいるすべてのコスト2以下のメンバーをウェイトにする。","<登場>
以下から1つを選ぶ。
カードを1枚引き、手札を1枚控え室に置く。
相手のステージにいるすべてのコスト2以下のメンバーをウェイトにする。",_match_effect_template / CardInfo.abilities,llocg_ui/engine.py; llocg_ui/effects/registry.py; llocg_ui/db.py,MIN_COMPILED_DIVERGENCE,Use runtime min/compiled text for trigger setup; do not trust stale audit text when divergent,"Runtime behavior follows current DB loaded by llocg_ui.db and matcher/parser, not previous audit source",YES,audit_norm_len=71; runtime_norm_len=71; compiled_norm_len=69
PL!-PR-008,PL!-PR-008#A01,effect_text,"<登場>
以下から1つを選ぶ。
・カードを1枚引き、手札を1枚控え室に置く。
・相手のステージにいるすべてのコスト2以下のメンバーをウェイトにする。","<登場>
以下から1つを選ぶ。
・カードを1枚引き、手札を1枚控え室に置く。
・相手のステージにいるすべてのコスト2以下のメンバーをウェイトにする。","<登場>
以下から1つを選ぶ。
カードを1枚引き、手札を1枚控え室に置く。
相手のステージにいるすべてのコスト2以下のメンバーをウェイトにする。",_match_effect_template / CardInfo.abilities,llocg_ui/engine.py; llocg_ui/effects/registry.py; llocg_ui/db.py,MIN_COMPILED_DIVERGENCE,Use runtime min/compiled text for trigger setup; do not trust stale audit text when divergent,"Runtime behavior follows current DB loaded by llocg_ui.db and matcher/parser, not previous audit source",YES,audit_norm_len=71; runtime_norm_len=71; compiled_norm_len=69
PL!-PR-020,PL!-PR-020#A01,effect_text,"<ライブ開始時>
<センター>
自分のライブカード置き場にあるライブカードのスコアの合計が8以上の場合、『","<ライブ開始時>
<センター>
自分のライブカード置き場にあるライブカードのスコアの合計が8以上の場合、『
<常時>
ライブの合計スコアを+1する。』を得る。","<ライブ開始時>
【センター】
自分のライブカード置き場にあるライブカードのスコアの合計が8以上の場合、『<常時>ライブの合計スコアを+1する。』を得る。",_match_effect_template / CardInfo.abilities,llocg_ui/engine.py; llocg_ui/effects/registry.py; llocg_ui/db.py,MIN_COMPILED_DIVERGENCE,Use runtime min/compiled text for trigger setup; do not trust stale audit text when divergent,"Runtime behavior follows current DB loaded by llocg_ui.db and matcher/parser, not previous audit source",YES,audit_norm_len=51; runtime_norm_len=75; compiled_norm_len=75
PL!-bp4-002,PL!-bp4-002#A02,effect_text,"<ライブ開始時>
能力も","<常時>
自分のライブ中のライブカードに、
<ライブ開始時>
能力も
<ライブ成功時>
能力も持たないカードがあるかぎり、
<紫>
<紫>
を加える。
<起動>
<ターン1回>
手札を2枚控え室に置く：自分の控え室から『μ's』のライブカードを1枚手札に加える。この能力は、自分の成功ライブカード置き場にあるカードのスコアの合計が6以上の場合のみ起動できる。","<BODY>
【ターン1回】
手札を2枚控え室に置く：自分の控え室から『μ's』のライブカードを1枚手札に加える。この能力は、自分の成功ライブカード置き場にあるカードのスコアの合計が6以上の場合のみ起動できる。",_match_effect_template / CardInfo.abilities,llocg_ui/engine.py; llocg_ui/effects/registry.py; llocg_ui/db.py,MIN_COMPILED_DIVERGENCE,Use runtime min/compiled text for trigger setup; do not trust stale audit text when divergent,"Runtime behavior follows current DB loaded by llocg_ui.db and matcher/parser, not previous audit source",YES,audit_norm_len=11; runtime_norm_len=168; compiled_norm_len=103
PL!-bp5-024,PL!-bp5-024#A01,effect_text,"<ライブ開始時>
自分のステージに『A-RISE』のメンバーがいる場合、以下から1つを選ぶ。
・ウェイト状態のメンバー1人をアクティブにし、ライブ終了時まで、そのメンバーは
<(ブレード)>
を得る。
・相手のステージにいる元々持つ
<(ブレード)>
が3つ以下のメンバー1人をウェイトにする。","<ライブ開始時>
自分のステージに『A-RISE』のメンバーがいる場合、以下から1つを選ぶ。
・ウェイト状態のメンバー1人をアクティブにし、ライブ終了時まで、そのメンバーは
<(ブレード)>
を得る。
・相手のステージにいる元々持つ
<(ブレード)>
が3つ以下のメンバー1人をウェイトにする。","<ライブ開始時>
自分のステージに『A-RISE』のメンバーがいる場合、以下から1つを選ぶ。
ウェイト状態のメンバー1人をアクティブにし、ライブ終了時まで、そのメンバーは<(ブレード)>を得る。
相手のステージにいる元々持つ<(ブレード)>が3つ以下のメンバー1人をウェイトにする。",_match_effect_template / CardInfo.abilities,llocg_ui/engine.py; llocg_ui/effects/registry.py; llocg_ui/db.py,MIN_COMPILED_DIVERGENCE,Use runtime min/compiled text for trigger setup; do not trust stale audit text when divergent,"Runtime behavior follows current DB loaded by llocg_ui.db and matcher/parser, not previous audit source",YES,audit_norm_len=140; runtime_norm_len=140; compiled_norm_len=138
PL!-bp6-020,PL!-bp6-020#A01,effect_text,"<自動>
<ターン1回>
自分のステージのセンターエリアにいる『μ's』のメンバーの","<自動>
<ターン1回>
自分のステージのセンターエリアにいる『μ's』のメンバーの
<ライブ開始時>
能力が解決したとき、そのメンバーをポジションチェンジする。
<自動>
<ターン1回>
自分のステージのセンターエリアにいる『μ's』のメンバーの
<ライブ成功時>
能力が解決したとき、そのメンバーがこのターン中に移動している場合、このカードのスコアを+1する。","<BODY>
【ターン1回】
自分のステージのセンターエリアにいる『μ's』のメンバーの<ライブ開始時>能力が解決したとき、そのメンバーをポジションチェンジする。",_match_effect_template / CardInfo.abilities,llocg_ui/engine.py; llocg_ui/effects/registry.py; llocg_ui/db.py,MIN_COMPILED_DIVERGENCE,Use runtime min/compiled text for trigger setup; do not trust stale audit text when divergent,"Runtime behavior follows current DB loaded by llocg_ui.db and matcher/parser, not previous audit source",YES,audit_norm_len=40; runtime_norm_len=173; compiled_norm_len=79
PL!-bp6-020,PL!-bp6-020#A02,effect_text,"<ライブ開始時>
能力が解決したとき、そのメンバーをポジションチェンジする。","<自動>
<ターン1回>
自分のステージのセンターエリアにいる『μ's』のメンバーの
<ライブ開始時>
能力が解決したとき、そのメンバーをポジションチェンジする。
<自動>
<ターン1回>
自分のステージのセンターエリアにいる『μ's』のメンバーの
<ライブ成功時>
能力が解決したとき、そのメンバーがこのターン中に移動している場合、このカードのスコアを+1する。","<BODY>
【ターン1回】
自分のステージのセンターエリアにいる『μ's』のメンバーの<ライブ成功時>能力が解決したとき、そのメンバーがこのターン中に移動している場合、このカードのスコアを+1する。",_match_effect_template / CardInfo.abilities,llocg_ui/engine.py; llocg_ui/effects/registry.py; llocg_ui/db.py,MIN_COMPILED_DIVERGENCE,Use runtime min/compiled text for trigger setup; do not trust stale audit text when divergent,"Runtime behavior follows current DB loaded by llocg_ui.db and matcher/parser, not previous audit source",YES,audit_norm_len=37; runtime_norm_len=173; compiled_norm_len=98
PL!-pb1-013,PL!-pb1-013#A01,effect_text,"<起動>
<ターン1回>
<(E)>
<(E)>
自分の手札を、相手は見ないで1枚選び公開する。これにより公開されたカードがライブカードの場合、ライブ終了時まで、このメンバーは『","<起動>
<ターン1回>
<(E)>
<(E)>
自分の手札を、相手は見ないで1枚選び公開する。これにより公開されたカードがライブカードの場合、ライブ終了時まで、このメンバーは『
<常時>
ライブの合計スコアを+1する。』を得る。","<BODY>
【ターン1回】
<(E)><(E)>自分の手札を、相手は見ないで1枚選び公開する。これにより公開されたカードがライブカードの場合、ライブ終了時まで、このメンバーは『<常時>ライブの合計スコアを+1する。』を得る。",_match_effect_template / CardInfo.abilities,llocg_ui/engine.py; llocg_ui/effects/registry.py; llocg_ui/db.py,MIN_COMPILED_DIVERGENCE,Use runtime min/compiled text for trigger setup; do not trust stale audit text when divergent,"Runtime behavior follows current DB loaded by llocg_ui.db and matcher/parser, not previous audit source",YES,audit_norm_len=85; runtime_norm_len=109; compiled_norm_len=111
PL!HS-bp5-022,PL!HS-bp5-022#A01,effect_text,"<ライブ開始時>
<(E)>
<(E)>
支払ってもよい：自分のステージにコスト9以上の『Edel Note』のメンバーがいる場合、以下から1つを選ぶ。
・自分の控え室からコスト4以下の『Edel Note』のメンバーカードを1枚、メンバーのいないエリアに登場させる。
・このカードの必要ハートを
<紫>
減らす。","<ライブ開始時>
<(E)>
<(E)>
支払ってもよい：自分のステージにコスト9以上の『Edel Note』のメンバーがいる場合、以下から1つを選ぶ。
・自分の控え室からコスト4以下の『Edel Note』のメンバーカードを1枚、メンバーのいないエリアに登場させる。
・このカードの必要ハートを
<紫>
減らす。","<ライブ開始時>
<(E)><(E)>支払ってもよい：自分のステージにコスト9以上の『Edel Note』のメンバーがいる場合、以下から1つを選ぶ。
自分の控え室からコスト4以下の『Edel Note』のメンバーカードを1枚、メンバーのいないエリアに登場させる。
このカードの必要ハートを<紫>減らす。",_match_effect_template / CardInfo.abilities,llocg_ui/engine.py; llocg_ui/effects/registry.py; llocg_ui/db.py,MIN_COMPILED_DIVERGENCE,Use runtime min/compiled text for trigger setup; do not trust stale audit text when divergent,"Runtime behavior follows current DB loaded by llocg_ui.db and matcher/parser, not previous audit source",YES,audit_norm_len=148; runtime_norm_len=148; compiled_norm_len=146
