cardnumber,field,audit_value,runtime_value,severity,notes
LL-PR-004,required_hearts_counts_json,<桃> 3 <赤> 3 <緑> 3 (合計9),{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
LL-PR-004,required_hearts_counts_json_vs_reparsed,{},"{""pink"": 3, ""red"": 3, ""green"": 3}",S2,reparsed heart facts differ from source derived counts
LL-bp1-001,base_hearts_counts_json,<桃> 3 <緑> 3 <紫> 3,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
LL-bp1-001,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 3, ""green"": 3, ""purple"": 3}",S2,reparsed heart facts differ from source derived counts
LL-bp2-001,base_hearts_counts_json,<桃> 2 <黄> 2 <緑> 2,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
LL-bp2-001,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 2, ""yellow"": 2, ""green"": 2}",S2,reparsed heart facts differ from source derived counts
LL-bp3-001,base_hearts_counts_json,<桃> 2 <青> 2 <紫> 2,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
LL-bp3-001,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 2, ""blue"": 2, ""purple"": 2}",S2,reparsed heart facts differ from source derived counts
LL-bp4-001,base_hearts_counts_json,<赤> 2 <青> 2 <紫> 2,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
LL-bp4-001,base_hearts_counts_json_vs_reparsed,{},"{""red"": 2, ""blue"": 2, ""purple"": 2}",S2,reparsed heart facts differ from source derived counts
LL-bp5-001,required_hearts_counts_json,<赤> 1 <任意> 3 (合計4),{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
LL-bp5-001,required_hearts_counts_json_vs_reparsed,{},"{""red"": 1, ""any"": 3}",S2,reparsed heart facts differ from source derived counts
LL-bp5-002,required_hearts_counts_json,<桃> 2 <赤> 2 <黄> 1 <任意> 5 (合計10),{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
